Calculating phonons on sampling mesh...
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000       4.5968611      0.0000000      0.0000000      4.5968611
      10.000       4.5967084      0.0673372      0.2462014      4.5973818
      20.000       4.5929005      0.9309004      3.2405820      4.6115185
      30.000       4.5730828      3.2488240      8.7467976      4.6705475
      40.000       4.5245731      6.5777312     14.6660905      4.7876823
      50.000       4.4397042     10.4589783     20.2311270      4.9626531
      60.000       4.3145750     14.5892721     25.0927997      5.1899313
      70.000       4.1477510     18.7724629     29.1537393      5.4618234
      80.000       3.9393520     22.8895125     32.4685108      5.7705130
      90.000       3.6904056     26.8741982     35.1503263      6.1090834
     100.000       3.4024201     30.6939049     37.3189421      6.4718106
     110.000       3.0771200     34.3362307     39.0798251      6.8541054
     120.000       2.7162901     37.8003904     40.5190388      7.2523369
     130.000       2.3216879     41.0919530     41.7044271      7.6636418
     140.000       1.8949972     44.2197084     42.6886867      8.0857564
     150.000       1.4378058     47.1938407     43.5125686      8.5168819
     160.000       0.9515973     50.0248862     44.2076256      8.9555791
     170.000       0.4377506     52.7231576     44.7983965      9.4006874
     180.000      -0.1024560     55.2984435     45.3040824      9.8512639
     190.000      -0.6678388     57.7598685     45.7398138     10.3065362
     200.000      -1.2573019     60.1158459     46.1176024     10.7658673
     210.000      -1.8698300     62.3740826     46.4470558     11.2287274
     220.000      -2.5044813     64.5416114     46.7359162     11.6946732
     230.000      -3.1603813     66.6248379     46.9904674     12.1633314
     240.000      -3.8367165     68.6295915     47.2158454     12.6343854
     250.000      -4.5327293     70.5611782     47.4162762     13.1075653
     260.000      -5.2477124     72.4244303     47.5952590     13.5826395
     270.000      -5.9810048     74.2237539     47.7557090     14.0594087
     280.000      -6.7319878     75.9631711     47.9000688     14.5377001
     290.000      -7.5000808     77.6463593     48.0303964     15.0173634
     300.000      -8.2847388     79.2766863     48.1484343     15.4982671
     310.000      -9.0854487     80.8572411     48.2556658     15.9802961
     320.000      -9.9017272     82.3908620     48.3533589     16.4633486
     330.000     -10.7331182     83.8801615     48.4426026     16.9473351
     340.000     -11.5791907     85.3275483     48.5243363     17.4321757
     350.000     -12.4395369     86.7352469     48.5993733     17.9177995
     360.000     -13.3137703     88.1053151     48.6684203     18.4041432
     370.000     -14.2015241     89.4396599     48.7320943     18.8911500
     380.000     -15.1024503     90.7400507     48.7909350     19.3787690
     390.000     -16.0162175     92.0081325     48.8454165     19.8669542
     400.000     -16.9425104     93.2454363     48.8959566     20.3556642
     410.000     -17.8810284     94.4533897     48.9429244     20.8448614
     420.000     -18.8314848     95.6333253     48.9866472     21.3345118
     430.000     -19.7936057     96.7864887     49.0274156     21.8245845
     440.000     -20.7671292     97.9140463     49.0654886     22.3150512
     450.000     -21.7518049     99.0170910     49.1010977     22.8058861
     460.000     -22.7473927    100.0966486     49.1344501     23.2970656
     470.000     -23.7536628    101.1536829     49.1657317     23.7885682
     480.000     -24.7703943    102.1891005     49.1951099     24.2803739
     490.000     -25.7973756    103.2037553     49.2227352     24.7724645
     500.000     -26.8344029    104.1984523     49.2487441     25.2648232
     510.000     -27.8812806    105.1739511     49.2732597     25.7574344
     520.000     -28.9378204    106.1309695     49.2963937     26.2502838
     530.000     -30.0038407    107.0701863     49.3182479     26.7433580
     540.000     -31.0791669    107.9922439     49.3389145     27.2366448
     550.000     -32.1636304    108.8977510     49.3584779     27.7301327
     560.000     -33.2570687    109.7872850     49.3770148     28.2238109
     570.000     -34.3593247    110.6613938     49.3945958     28.7176698
     580.000     -35.4702469    111.5205979     49.4112853     29.2116999
     590.000     -36.5896886    112.3653921     49.4271423     29.7058927
     600.000     -37.7175082    113.1962473     49.4422212     30.2002401
     610.000     -38.8535686    114.0136120     49.4565719     30.6947347
     620.000     -39.9977369    114.8179133     49.4702406     31.1893693
     630.000     -41.1498847    115.6095588     49.4832696     31.6841374
     640.000     -42.3098872    116.3889374     49.4956981     32.1790327
     650.000     -43.4776238    117.1564204     49.5075624     32.6740495
     660.000     -44.6529772    117.9123626     49.5188961     33.1691822
     670.000     -45.8358337    118.6571036     49.5297303     33.6644257
     680.000     -47.0260830    119.3909679     49.5400938     34.1597752
     690.000     -48.2236178    120.1142666     49.5500135     34.6552261
     700.000     -49.4283341    120.8272974     49.5595143     35.1507741
     710.000     -50.6401305    121.5303459     49.5686195     35.6464151
     720.000     -51.8589087    122.2236860     49.5773506     36.1421452
     730.000     -53.0845728    122.9075804     49.5857278     36.6379609
     740.000     -54.3170296    123.5822815     49.5937700     37.1338587
     750.000     -55.5561885    124.2480317     49.6014948     37.6298353
     760.000     -56.8019612    124.9050642     49.6089186     38.1258876
     770.000     -58.0542615    125.5536028     49.6160569     38.6220127
     780.000     -59.3130057    126.1938634     49.6229240     39.1182078
     790.000     -60.5781119    126.8260534     49.6295336     39.6144703
     800.000     -61.8495005    127.4503727     49.6358983     40.1107977
     810.000     -63.1270937    128.0670139     49.6420300     40.6071875
     820.000     -64.4108158    128.6761626     49.6479400     41.1036375
     830.000     -65.7005926    129.2779978     49.6536389     41.6001456
     840.000     -66.9963519    129.8726923     49.6591365     42.0967096
     850.000     -68.2980232    130.4604128     49.6644421     42.5933277
     860.000     -69.6055375    131.0413202     49.6695647     43.0899979
     870.000     -70.9188274    131.6155699     49.6745126     43.5867184
     880.000     -72.2378272    132.1833122     49.6792935     44.0834875
     890.000     -73.5624725    132.7446923     49.6839149     44.5803037
     900.000     -74.8927003    133.2998507     49.6883839     45.0771653
     910.000     -76.2284492    133.8489232     49.6927070     45.5740709
     920.000     -77.5696589    134.3920412     49.6968905     46.0710190
     930.000     -78.9162706    134.9293321     49.7009403     46.5680083
     940.000     -80.2682266    135.4609191     49.7048622     47.0650374
     950.000     -81.6254704    135.9869216     49.7086613     47.5621051
     960.000     -82.9879468    136.5074552     49.7123428     48.0592102
     970.000     -84.3556016    137.0226322     49.7159115     48.5563516
     980.000     -85.7283819    137.5325612     49.7193719     49.0535281
     990.000     -87.1062357    138.0373479     49.7227284     49.5507387
    1000.000     -88.4891121    138.5370944     49.7259851     50.0479823

Summary of calculation was written in "phonopy.yaml".
                 _
   ___ _ __   __| |
  / _ \ '_ \ / _` |
 |  __/ | | | (_| |
  \___|_| |_|\__,_|

