#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      27.3224029      0.0000000      0.0000000     27.3224029
      10.000      27.3166830      2.1425717      5.6508511     27.3381087
      20.000      27.2543461     11.5111595     25.4492702     27.4845693
      30.000      27.0672620     26.6173259     51.0389630     27.8657818
      40.000      26.7119046     44.7930228     76.2507715     28.5036255
      50.000      26.1669536     64.3266445     99.2384875     29.3832858
      60.000      25.4241325     84.2445433    119.3660557     30.4788051
      70.000      24.4827289    103.9704049    136.5201248     31.7606572
      80.000      23.3464985    123.1691395    150.9257949     33.2000297
      90.000      22.0217101    141.6619184    162.9648920     34.7712827
     100.000      20.5158852    159.3691448    173.0440823     36.4527996
     110.000      18.8370145    176.2713011    181.5290826     38.2268576
     120.000      16.9930951    192.3832650    188.7237041     40.0790869
     130.000      14.9918733    207.7382537    194.8709966     41.9978463
     140.000      12.8407139    222.3781767    200.1624670     43.9736586
     150.000      10.5465433    236.3480322    204.7486422     45.9987481
     160.000       8.1158367    249.6927663    208.7483922     48.0666793
     170.000       5.5546274    262.4555965    212.2563712     50.1720788
     180.000       2.8685286    274.6771901    215.3486937     52.3104228
     190.000       0.0627614    286.3953317    218.0871836     54.4778744
     200.000      -2.8578163    297.6448667    220.5225402     56.6711570
     210.000      -5.8886808    308.4577916    222.6967079     58.8874554
     220.000      -9.0256148    318.8634206    224.6446640     61.1243378
     230.000     -12.2646813    328.8885841    226.3957835     63.3796930
     240.000     -15.6022003    338.5578366    227.9748927     65.6516805
     250.000     -19.0347268    347.8936600    229.4030929     67.9386882
     260.000     -22.5590309    356.9166562    230.6984105     70.2392997
     270.000     -26.1720803    365.6457245    231.8763176     72.5522653
     280.000     -29.8710237    374.0982250    232.9501497     74.8764793
     290.000     -33.6531763    382.2901252    233.9314464     77.2109600
     300.000     -37.5160067    390.2361334    234.8302297     79.5548333
     310.000     -41.4571247    397.9498176    235.6552339     81.9073188
     320.000     -45.4742705    405.4437129    236.4140950     84.2677176
     330.000     -49.5653051    412.7294172    237.1135098     86.6354026
     340.000     -53.7282008    419.8176770    237.7593686     89.0098094
     350.000     -57.9610338    426.7184646    238.3568665     91.3904289
     360.000     -62.2619761    433.4410473    238.9105978     93.7768009
     370.000     -66.6292895    439.9940488    239.4246357     96.1685086
     380.000     -71.0613187    446.3855055    239.9026006     98.5651734
     390.000     -75.5564862    452.6229161    240.3477179    100.9664511
     400.000     -80.1132869    458.7132871    240.7628675    103.3720279
     410.000     -84.7302837    464.6631729    241.1506267    105.7816172
     420.000     -89.4061026    470.4787130    241.5133065    108.1949569
     430.000     -94.1394294    476.1656652    241.8529841    110.6118067
     440.000     -98.9290054    481.7294352    242.1715294    113.0319461
     450.000    -103.7736244    487.1751042    242.4706294    115.4551725
     460.000    -108.6721297    492.5074537    242.7518089    117.8812990
     470.000    -113.6234108    497.7309879    243.0164485    120.3101535
     480.000    -118.6264010    502.8499541    243.2658003    122.7415770
     490.000    -123.6800747    507.8683614    243.5010020    125.1754224
     500.000    -128.7834456    512.7899980    243.7230888    127.6115533
     510.000    -133.9355641    517.6184464    243.9330043    130.0498436
     520.000    -139.1355153    522.3570981    244.1316100    132.4901757
     530.000    -144.3824174    527.0091663    244.3196933    134.9324407
     540.000    -149.6754202    531.5776983    244.4979752    137.3765369
     550.000    -155.0137026    536.0655861    244.6671168    139.8223698
     560.000    -160.3964722    540.4755769    244.8277249    142.2698508
     570.000    -165.8229632    544.8102823    244.9803576    144.7188977
     580.000    -171.2924352    549.0721868    245.1255283    147.1694331
     590.000    -176.8041722    553.2636562    245.2637105    149.6213849
     600.000    -182.3574811    557.3869443    245.3953409    152.0746855
     610.000    -187.9516910    561.4442004    245.5208230    154.5292713
     620.000    -193.5861518    565.4374751    245.6405302    156.9850827
     630.000    -199.2602337    569.3687262    245.7548079    159.4420638
     640.000    -204.9733259    573.2398245    245.8639766    161.9001618
     650.000    -210.7248357    577.0525584    245.9683337    164.3593273
     660.000    -216.5141882    580.8086388    246.0681552    166.8195134
     670.000    -222.3408251    584.5097033    246.1636980    169.2806761
     680.000    -228.2042041    588.1573206    246.2552012    171.7427739
     690.000    -234.1037984    591.7529939    246.3428875    174.2057674
     700.000    -240.0390957    595.2981647    246.4269646    176.6696196
     710.000    -246.0095979    598.7942159    246.5076263    179.1342953
     720.000    -252.0148207    602.2424750    246.5850538    181.5997614
     730.000    -258.0542924    605.6442172    246.6594165    184.0659862
     740.000    -264.1275540    609.0006676    246.7308728    186.5329400
     750.000    -270.2341587    612.3130042    246.7995712    189.0005945
     760.000    -276.3736709    615.5823599    246.8656508    191.4689227
     770.000    -282.5456663    618.8098252    246.9292423    193.9378992
     780.000    -288.7497312    621.9964499    246.9904681    196.4074997
     790.000    -294.9854625    625.1432450    247.0494435    198.8777010
     800.000    -301.2524666    628.2511850    247.1062767    201.3484814
     810.000    -307.5503598    631.3212094    247.1610696    203.8198198
     820.000    -313.8787675    634.3542241    247.2139181    206.2916963
     830.000    -320.2373238    637.3511034    247.2649127    208.7640920
     840.000    -326.6256719    640.3126911    247.3141385    211.2369887
     850.000    -333.0434627    643.2398022    247.3616760    213.7103691
     860.000    -339.4903556    646.1332238    247.4076011    216.1842168
     870.000    -345.9660175    648.9937166    247.4519855    218.6585160
     880.000    -352.4701227    651.8220162    247.4948971    221.1332516
     890.000    -359.0023529    654.6188338    247.5363999    223.6084092
     900.000    -365.5623967    657.3848576    247.5765546    226.0839751
     910.000    -372.1499496    660.1207534    247.6154188    228.5599360
     920.000    -378.7647135    662.8271661    247.6530468    231.0362794
     930.000    -385.4063967    665.5047201    247.6894903    233.5129930
     940.000    -392.0747137    668.1540203    247.7247984    235.9900654
     950.000    -398.7693849    670.7756529    247.7590174    238.4674854
     960.000    -405.4901364    673.3701861    247.7921915    240.9452422
     970.000    -412.2367001    675.9381711    247.8243626    243.4233258
     980.000    -419.0088131    678.4801423    247.8555706    245.9017263
     990.000    -425.8062180    680.9966183    247.8858535    248.3804342
    1000.000    -432.6286622    683.4881026    247.9152471    250.8594404
    1010.000    -439.4758984    685.9550838    247.9437860    253.3387363
    1020.000    -446.3476838    688.3980364    247.9715028    255.8183134
    1030.000    -453.2437805    690.8174216    247.9984287    258.2981637
    1040.000    -460.1639552    693.2136871    248.0245933    260.7782794
    1050.000    -467.1079787    695.5872683    248.0500250    263.2586531
    1060.000    -474.0756263    697.9385886    248.0747507    265.7392776
    1070.000    -481.0666776    700.2680593    248.0987964    268.2201459
    1080.000    -488.0809160    702.5760808    248.1221866    270.7012513
    1090.000    -495.1181290    704.8630427    248.1449449    273.1825875
    1100.000    -502.1781079    707.1293237    248.1670937    275.6641482
    1110.000    -509.2606478    709.3752930    248.1886545    278.1459274
    1120.000    -516.3655473    711.6013095    248.2096479    280.6279194
    1130.000    -523.4926086    713.8077232    248.2300936    283.1101185
    1140.000    -530.6416375    715.9948746    248.2500104    285.5925195
    1150.000    -537.8124430    718.1630957    248.2694163    288.0751170
    1160.000    -545.0048374    720.3127100    248.2883287    290.5579062
    1170.000    -552.2186363    722.4440327    248.3067640    293.0408820
    1180.000    -559.4536581    724.5573712    248.3247381    295.5240399
    1190.000    -566.7097247    726.6530252    248.3422662    298.0073753
    1200.000    -573.9866607    728.7312870    248.3593630    300.4908838
    1210.000    -581.2842935    730.7924418    248.3760423    302.9745612
