#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      19.0105895      0.0000000      0.0000000     19.0105895
      10.000      19.0051296      1.8281430      4.3846573     19.0234110
      20.000      18.9548141      9.1595436     19.7571426     19.1380050
      30.000      18.8080530     20.6683651     38.2584085     19.4281039
      40.000      18.5352195     34.0805937     55.4416878     19.8984433
      50.000      18.1245363     48.0853459     70.2187025     20.5288036
      60.000      17.5737810     62.0206688     82.6644614     21.2950211
      70.000      16.8854173     75.5732539     93.1452168     22.1755451
      80.000      16.0640548     88.6069425    102.0289302     23.1526102
      90.000      15.1151726    101.0737417    109.6160556     24.2118094
     100.000      14.0444872    112.9690378    116.1393264     25.3413910
     110.000      12.8576434    124.3091899    121.7788404     26.5316542
     120.000      11.5600674    135.1202528    126.6764382     27.7744978
     130.000      10.1569020    145.4322348    130.9462100     29.0630925
     140.000       8.6529829    155.2761393    134.6815966     30.3916424
     150.000       7.0528378    164.6824354    137.9601503     31.7552031
     160.000       5.3606955    173.6802797    140.8468191     33.1495403
     170.000       3.5805019    182.2971447    143.3963191     34.5710165
     180.000       1.7159369    190.5586718    145.6549308     36.0164978
     190.000      -0.2295666    198.4886503    147.6619117     37.4832770
     200.000      -2.2528044    206.1090676    149.4506399     38.9690091
     210.000      -4.3507838    213.4401969    151.0495544     40.4716575
     220.000      -6.5207065    220.5007057    152.4829360     41.9894488
     230.000      -8.7599533    227.3077710    153.7715598     43.5208340
     240.000     -11.0660699    233.8771959    154.9332411     45.0644571
     250.000     -13.4367537    240.2235227    155.9832926     46.6191270
     260.000     -15.8698414    246.3601403    156.9349083     48.1837950
     270.000     -18.3632987    252.2993847    157.7994845     49.7575352
     280.000     -20.9152092    258.0526317    158.5868906     51.3395276
     290.000     -23.5237664    263.6303823    159.3056954     52.9290445
     300.000     -26.1872643    269.0423406    159.9633580     54.5254378
     310.000     -28.9040906    274.2974845    160.5663884     56.1281296
     320.000     -31.6727191    279.4041302    161.1204828     57.7366026
     330.000     -34.4917039    284.3699904    161.6306384     59.3503929
     340.000     -37.3596735    289.2022268    162.1012501     60.9690836
     350.000     -40.2753253    293.9074981    162.5361928     62.5922990
     360.000     -43.2374210    298.4920027    162.9388908     64.2197000
     370.000     -46.2447821    302.9615179    163.3123782     65.8509795
     380.000     -49.2962861    307.3214349    163.6593489     67.4858592
     390.000     -52.3908623    311.5767909    163.9822007     69.1240861
     400.000     -55.5274891    315.7322976    164.2830720     70.7654300
     410.000     -58.7051902    319.7923680    164.5638747     72.4096807
     420.000     -61.9230321    323.7611391    164.8263212     74.0566463
     430.000     -65.1801216    327.6424946    165.0719486     75.7061511
     440.000     -68.4756028    331.4400833    165.3021394     77.3580338
     450.000     -71.8086555    335.1573379    165.5181391     79.0121466
     460.000     -75.1784926    338.7974906    165.7210725     80.6683531
     470.000     -78.5843585    342.3635880    165.9119566     82.3265279
     480.000     -82.0255271    345.8585047    166.0917132     83.9865551
     490.000     -85.5013004    349.2849555    166.2611784     85.6483278
     500.000     -89.0110066    352.6455070    166.4211128     87.3117469
     510.000     -92.5539990    355.9425874    166.5722086     88.9767206
     520.000     -96.1296544    359.1784965    166.7150973     90.6431638
     530.000     -99.7373723    362.3554140    166.8503556     92.3109972
     540.000    -103.3765730    365.4754077    166.9785110     93.9801472
     550.000    -107.0466972    368.5404410    167.1000468     95.6505453
     560.000    -110.7472048    371.5523792    167.2154063     97.3221275
     570.000    -114.4775738    374.5129964    167.3249966     98.9948342
     580.000    -118.2372993    377.4239807    167.4291924    100.6686095
     590.000    -122.0258933    380.2869399    167.5283385    102.3434012
     600.000    -125.8428831    383.1034061    167.6227529    104.0191605
     610.000    -129.6878113    385.8748407    167.7127294    105.6958415
     620.000    -133.5602345    388.6026383    167.7985394    107.3734012
     630.000    -137.4597231    391.2881306    167.8804339    109.0517992
     640.000    -141.3858604    393.9325906    167.9586457    110.7309976
     650.000    -145.3382422    396.5372350    168.0333905    112.4109606
     660.000    -149.3164762    399.1032284    168.1048687    114.0916545
     670.000    -153.3201816    401.6316856    168.1732665    115.7730477
     680.000    -157.3489884    404.1236743    168.2387571    117.4551102
     690.000    -161.4025370    406.5802183    168.3015017    119.1378137
     700.000    -165.4804779    409.0022992    168.3616508    120.8211316
     710.000    -169.5824712    411.3908588    168.4193445    122.5050385
     720.000    -173.7081863    413.7468014    168.4747138    124.1895107
     730.000    -177.8573014    416.0709957    168.5278812    125.8745255
     740.000    -182.0295032    418.3642764    168.5789611    127.5600614
     750.000    -186.2244866    420.6274462    168.6280607    129.2460981
     760.000    -190.4419543    422.8612772    168.6752806    130.9326163
     770.000    -194.6816168    425.0665124    168.7207148    132.6195977
     780.000    -198.9431916    427.2438674    168.7644519    134.3070250
     790.000    -203.2264035    429.3940315    168.8065748    135.9948814
     800.000    -207.5309839    431.5176690    168.8471616    137.6831513
     810.000    -211.8566706    433.6154202    168.8862856    139.3718198
     820.000    -216.2032080    435.6879030    168.9240161    141.0608724
     830.000    -220.5703464    437.7357134    168.9604180    142.7502956
     840.000    -224.9578420    439.7594268    168.9955528    144.4400765
     850.000    -229.3654565    441.7595990    169.0294782    146.1302027
     860.000    -233.7929573    443.7367669    169.0622489    147.8206623
     870.000    -238.2401169    445.6914493    169.0939165    149.5114440
     880.000    -242.7067130    447.6241478    169.1245297    151.2025371
     890.000    -247.1925282    449.5353476    169.1541347    152.8939312
     900.000    -251.6973499    451.4255182    169.1827749    154.5856165
     910.000    -256.2209700    453.2951139    169.2104918    156.2775836
     920.000    -260.7631850    455.1445744    169.2373244    157.9698234
     930.000    -265.3237958    456.9743259    169.2633098    159.6623273
     940.000    -269.9026072    458.7847810    169.2884831    161.3550869
     950.000    -274.4994284    460.5763397    169.3128777    163.0480944
     960.000    -279.1140723    462.3493899    169.3365254    164.7413420
     970.000    -283.7463558    464.1043075    169.3594561    166.4348225
     980.000    -288.3960992    465.8414572    169.3816984    168.1285288
     990.000    -293.0631269    467.5611930    169.4032796    169.8224542
    1000.000    -297.7472662    469.2638585    169.4242255    171.5165923
    1010.000    -302.4483482    470.9497871    169.4445606    173.2109367
    1020.000    -307.1662072    472.6193027    169.4643085    174.9054815
    1030.000    -311.9006806    474.2727200    169.4834915    176.6002210
    1040.000    -316.6516090    475.9103448    169.5021308    178.2951496
    1050.000    -321.4188359    477.5324740    169.5202467    179.9902619
    1060.000    -326.2022078    479.1393968    169.5378586    181.6855528
    1070.000    -331.0015741    480.7313939    169.5549850    183.3810174
    1080.000    -335.8167868    482.3087387    169.5716434    185.0766510
    1090.000    -340.6477009    483.8716969    169.5878508    186.7724488
    1100.000    -345.4941737    485.4205274    169.6036232    188.4684065
    1110.000    -350.3560652    486.9554820    169.6189759    190.1645199
    1120.000    -355.2332379    488.4768059    169.6339238    191.8607847
    1130.000    -360.1255567    489.9847378    169.6484809    193.5571970
    1140.000    -365.0328888    491.4795104    169.6626607    195.2537530
    1150.000    -369.9551038    492.9613502    169.6764760    196.9504490
    1160.000    -374.8920734    494.4304783    169.6899392    198.6472814
    1170.000    -379.8436717    495.8871097    169.7030621    200.3442467
    1180.000    -384.8097746    497.3314544    169.7158561    202.0413415
    1190.000    -389.7902605    498.7637170    169.7283321    203.7385627
    1200.000    -394.7850094    500.1840971    169.7405005    205.4359072
    1210.000    -399.7939035    501.5927894    169.7523713    207.1333718
    1220.000    -404.8168268    502.9899840    169.7639540    208.8309536
    1230.000    -409.8536654    504.3758661    169.7752580    210.5286499
    1240.000    -414.9043071    505.7506169    169.7862921    212.2264579
    1250.000    -419.9686413    507.1144129    169.7970647    213.9243749
    1260.000    -425.0465594    508.4674267    169.8075841    215.6223983
    1270.000    -430.1379544    509.8098269    169.8178581    217.3205257
    1280.000    -435.2427211    511.1417780    169.8278943    219.0187547
    1290.000    -440.3607557    512.4634407    169.8376999    220.7170829
    1300.000    -445.4919561    513.7749724    169.8472820    222.4155080
    1310.000    -450.6362219    515.0765264    169.8566472    224.1140278
    1320.000    -455.7934539    516.3682531    169.8658021    225.8126402
    1330.000    -460.9635547    517.6502991    169.8747528    227.5113431
    1340.000    -466.1464281    518.9228080    169.8835055    229.2101346
    1350.000    -471.3419795    520.1859201    169.8920658    230.9090126
    1360.000    -476.5501156    521.4397727    169.9004395    232.6079753
    1370.000    -481.7707445    522.6845002    169.9086317    234.3070208
    1380.000    -487.0037756    523.9202340    169.9166479    236.0061473
    1390.000    -492.2491197    525.1471028    169.9244928    237.7053532
    1400.000    -497.5066886    526.3652323    169.9321715    239.4046366
    1410.000    -502.7763956    527.5747459    169.9396885    241.1039961
    1420.000    -508.0581552    528.7757641    169.9470483    242.8034299
    1430.000    -513.3518830    529.9684052    169.9542553    244.5029365
    1440.000    -518.6574957    531.1527849    169.9613137    246.2025145
    1450.000    -523.9749115    532.3290164    169.9682276    247.9021623
    1460.000    -529.3040493    533.4972109    169.9750007    249.6018786
    1470.000    -534.6448293    534.6574770    169.9816370    251.3016619
    1480.000    -539.9971727    535.8099214    169.9881401    253.0015109
    1490.000    -545.3610020    536.9546485    169.9945135    254.7014242
    1500.000    -550.7362403    538.0917607    170.0007606    256.4014007
    1510.000    -556.1228121    539.2213584    170.0068848    258.1014391
    1520.000    -561.5206428    540.3435400    170.0128893    259.8015380
    1530.000    -566.9296585    541.4584020    170.0187770    261.5016964
    1540.000    -572.3497867    542.5660389    170.0245512    263.2019132
    1550.000    -577.7809556    543.6665436    170.0302145    264.9021871
    1560.000    -583.2230941    544.7600072    170.0357700    266.6025171
