#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      66.2342763      0.0000000      0.0000000     66.2342763
      10.000      66.2145153      7.2730358     19.5489437     66.2872457
      20.000      66.0036365     38.2024614     78.9501752     66.7676857
      30.000      65.4081724     82.1336005    141.1379075     67.8721804
      40.000      64.3467034    130.4912903    196.3191029     69.5663551
      50.000      62.7964231    179.4902109    243.2688196     71.7709336
      60.000      60.7604817    227.4445164    282.8569382     74.4071527
      70.000      58.2534579    273.6357936    316.4066373     77.4079634
      80.000      55.2945173    317.8084211    345.1182793     80.7191910
      90.000      51.9041560    359.9240806    369.9200266     84.2973233
     100.000      48.1027001    400.0416364    391.4977623     88.1068638
     110.000      43.9096553    438.2600013    410.3648326     92.1182554
     120.000      39.3434557    474.6917253    426.9201029     96.3064627
     130.000      34.4213950    509.4510534    441.4859503    100.6500319
     140.000      29.1596397    542.6486441    454.3309219    105.1304499
     150.000      23.5732777    574.3893331    465.6830114    109.7316777
     160.000      17.6763814    604.7712956    475.7377699    114.4397887
     170.000      11.4820757    633.8858658    484.6637068    119.2426729
     180.000       5.0026059    661.8176734    492.6062704    124.1297871
     190.000      -1.7505966    688.6449343    499.6910422    129.0919409
     200.000      -8.7668522    714.4398191    506.0264354    134.1211117
     210.000     -16.0361741    739.2688530    511.7060351    139.2102850
     220.000     -23.5492146    763.1933250    516.8106423    144.3533169
     230.000     -31.2972141    786.2696914    521.4100583    149.5448150
     240.000     -39.2719552    808.5499642    525.5646366    154.7800362
     250.000     -47.4657199    830.0820789    529.3266255    160.0547998
     260.000     -55.8712506    850.9102399    532.7413241    165.3654117
     270.000     -64.4817145    871.0752403    535.8480740    170.7086004
     280.000     -73.2906708    890.6147576    538.6811075    176.0814613
     290.000     -82.2920411    909.5636247    541.2702718    181.4814100
     300.000     -91.4800822    927.9540778    543.6416454    186.9061411
     310.000    -100.8493611    945.8159823    545.8180648    192.3535934
     320.000    -110.3947326    963.1770382    547.8195714    197.8219197
     330.000    -120.1113183    980.0629670    549.6637940    203.3094608
     340.000    -129.9944880    996.4976803    551.3662736    208.8147233
     350.000    -140.0398422   1012.5034341    552.9407421    214.3363597
     360.000    -150.2431961   1028.1009673    554.3993600    219.8731521
     370.000    -160.6005655   1043.3096279    555.7529194    225.4239969
     380.000    -171.1081528   1058.1474874    557.0110195    230.9878924
     390.000    -181.7623356   1072.6314444    558.1822161    236.5639277
     400.000    -192.5596549   1086.7773187    559.2741515    242.1512726
     410.000    -203.4968046   1100.5999366    560.2936654    247.7491694
     420.000    -214.5706225   1114.1132085    561.2468920    253.3569250
     430.000    -225.7780813   1127.3301999    562.1393432    258.9739047
     440.000    -237.1162800   1140.2631952    562.9759811    264.5995259
     450.000    -248.5824371   1152.9237564    563.7612813    270.2332533
     460.000    -260.1738834   1165.3227767    564.4992879    275.8745939
     470.000    -271.8880552   1177.4705293    565.1936613    281.5230936
     480.000    -283.7224888   1189.3767116    565.8477206    287.1783328
     490.000    -295.6748148   1201.0504867    566.4644801    292.8399237
     500.000    -307.7427528   1212.5005200    567.0466819    298.5075072
     510.000    -319.9241067   1223.7350142    567.5968243    304.1807505
     520.000    -332.2167605   1234.7617404    568.1171873    309.8593445
     530.000    -344.6186736   1245.5880671    568.6098542    315.5430020
     540.000    -357.1278772   1256.2209867    569.0767317    321.2314556
     550.000    -369.7424708   1266.6671405    569.5195675    326.9244565
     560.000    -382.4606185   1276.9328406    569.9399652    332.6217722
     570.000    -395.2805462   1287.0240913    570.3393986    338.3231859
     580.000    -408.2005380   1296.9466082    570.7192238    344.0284948
     590.000    -421.2189341   1306.7058360    571.0806901    349.7375092
