#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000     140.7515955      0.0000000      0.0000000    140.7515955
      10.000     140.7317231      8.0382150     23.2304647    140.8121053
      20.000     140.4736208     49.2041704    113.2877602    141.4577042
      30.000     139.6625902    116.0368163    224.9605439    143.1436947
      40.000     138.1091824    196.1554605    336.4329658    145.9554008
      50.000     135.7191637    282.4577933    439.0040773    149.8420534
      60.000     132.4538183    370.6804531    529.4326083    154.6946454
      70.000     128.3076049    458.3243782    607.7792712    160.3903113
      80.000     123.2939494    544.0040967    675.3440353    166.8142772
      90.000     117.4365185    626.9974577    733.6326573    173.8662896
     100.000     110.7641100    706.9649395    784.0165416    181.4606040
     110.000     103.3077205    783.7862121    827.6693450    189.5242038
     120.000      95.0988625    857.4667836    865.5827570    197.9948765
     130.000      86.1685999    928.0841280    898.5951929    206.8195365
     140.000      76.5470008    995.7558801    927.4171475    215.9528240
     150.000      66.2628400   1060.6206059    952.6514947    225.3559309
     160.000      55.3434534   1122.8259753    974.8099179    234.9956094
     170.000      43.8146865   1182.5214368    994.3266120    244.8433308
     180.000      31.7009013   1239.8537150   1011.5699528    254.8745700
     190.000      19.0250177   1294.9641128   1026.8525193    265.0681992
     200.000       5.8085766   1347.9869845   1040.4396998    275.4059735
     210.000      -7.9281866   1399.0489715   1052.5570511    285.8720974
     220.000     -22.1662630   1448.2687324   1063.3965565    296.4528582
     230.000     -36.8877904   1495.7569905   1073.1219214    307.1363174
     240.000     -52.0759753   1541.6167777   1081.8730336    317.9120513
     250.000     -67.7150175   1585.9437973   1089.7697084    328.7709318
     260.000     -83.7900388   1628.8268487   1096.9148273    339.7049419
     270.000    -100.2870164   1670.3482821   1103.3969635    350.7070198
     280.000    -117.1927208   1710.5844574   1109.2925796    361.7709272
     290.000    -134.4946580   1749.6061927   1114.6678651    372.8911379
     300.000    -152.1810161   1787.4791951   1119.5802761    384.0627424
     310.000    -170.2406166   1824.2644662   1124.0798260    395.2813679
     320.000    -188.6628690   1860.0186809   1128.2101697    406.5431089
     330.000    -207.4377294   1894.7945392   1132.0095154    417.8444685
     340.000    -226.5556625   1928.6410899   1135.5113940    429.1823081
     350.000    -246.0076062   1961.6040279   1138.7453084    440.5538035
     360.000    -265.7849400   1993.7259670   1141.7372847    451.9564081
     370.000    -285.8794551   2025.0466889   1144.5103392    463.3878198
     380.000    -306.2833273   2055.6033702   1147.0848759    474.8459534
     390.000    -326.9890919   2085.4307901   1149.4790266    486.3289162
     400.000    -347.9896210   2114.5615192   1151.7089408    497.8349867
     410.000    -369.2781020   2143.0260922   1153.7890348    509.3625958
     420.000    -390.8480180   2170.8531646   1155.7322060    520.9103111
     430.000    -412.6931302   2198.0696567   1157.5500170    532.4768222
     440.000    -434.8074604   2224.7008836   1159.2528556    544.0609283
     450.000    -457.1852765   2250.7706753   1160.8500721    555.6615274
     460.000    -479.8210775   2276.3014856   1162.3500996    567.2776059
     470.000    -502.7095804   2301.3144920   1163.7605584    578.9082309
     480.000    -525.8457081   2325.8296868   1165.0883462    590.5525416
     490.000    -549.2245778   2349.8659611   1166.3397184    602.2097431
     500.000    -572.8414906   2373.4411816   1167.5203569    613.8791002
     510.000    -596.6919211   2396.5722605   1168.6354319    625.5599318
     520.000    -620.7715088   2419.2752209   1169.6896549    637.2516061
     530.000    -645.0760492   2441.5652558   1170.6873266    648.9535364
     540.000    -669.6014856   2463.4567831   1171.6323785    660.6651772
     550.000    -694.3439022   2484.9634960   1172.5284098    672.3860206
     560.000    -719.2995163   2506.0984096   1173.3787201    684.1155931
     570.000    -744.4646724   2526.8739037   1174.1863388    695.8534527
     580.000    -769.8358356   2547.3017629   1174.9540509    707.5991868
     590.000    -795.4095863   2567.3932129   1175.6844198    719.3524093
     600.000    -821.1826143   2587.1589549   1176.3798083    731.1127587
     610.000    -847.1517138   2606.6091967   1177.0423968    742.8798961
     620.000    -873.3137791   2625.7536823   1177.6741997    754.6535040
     630.000    -899.6657993   2644.6017192   1178.2770804    766.4332837
     640.000    -926.2048550   2663.1622030   1178.8527644    778.2189550
     650.000    -952.9281133   2681.4436416   1179.4028516    790.0102537
     660.000    -979.8328248   2699.4541764   1179.9288265    801.8069316
     670.000   -1006.9163198   2717.2016035   1180.4320685    813.6087545
     680.000   -1034.1760048   2734.6933916   1180.9138603    825.4155015
     690.000   -1061.6093594   2751.9367009   1181.3753961    837.2269642
     700.000   -1089.2139335   2768.9383987   1181.8177885    849.0429456
     710.000   -1116.9873440   2785.7050756   1182.2420754    860.8632596
     720.000   -1144.9272727   2802.2430593   1182.6492256    872.6877300
     730.000   -1173.0314632   2818.5584291   1183.0401444    884.5161900
     740.000   -1201.2977187   2834.6570275   1183.4156784    896.3484816
     750.000   -1229.7238999   2850.5444732   1183.7766200    908.1844550
     760.000   -1258.3079224   2866.2261714   1184.1237115    920.0239679
     770.000   -1287.0477549   2881.7073250   1184.4576490    931.8668853
     780.000   -1315.9414171   2896.9929440   1184.7790855    943.7130792
     790.000   -1344.9869781   2912.0878551   1185.0886342    955.5624274
     800.000   -1374.1825541   2926.9967103   1185.3868713    967.4148142
     810.000   -1403.5263071   2941.7239951   1185.6743388    979.2701290
     820.000   -1433.0164432   2956.2740365   1185.9515465    991.1282667
     830.000   -1462.6512109   2970.6510099   1186.2189750   1002.9891273
     840.000   -1492.4288999   2984.8589465   1186.4770767   1014.8526152
     850.000   -1522.3478394   2998.9017395   1186.7262785   1026.7186392
     860.000   -1552.4063968   3012.7831502   1186.9669833   1038.5871124
     870.000   -1582.6029766   3026.5068142   1187.1995714   1050.4579518
     880.000   -1612.9360190   3040.0762466   1187.4244023   1062.3310780
     890.000   -1643.4039988   3053.4948471   1187.6418158   1074.2064151
     900.000   -1674.0054241   3066.7659053   1187.8521334   1086.0838906
     910.000   -1704.7388357   3079.8926053   1188.0556594   1097.9634351
     920.000   -1735.6028053   3092.8780299   1188.2526820   1109.8449822
     930.000   -1766.5959353   3105.7251649   1188.4434743   1121.7284680
     940.000   -1797.7168573   3118.4369033   1188.6282955   1133.6138317
     950.000   -1828.9642314   3131.0160487   1188.8073913   1145.5010148
     960.000   -1860.3367454   3143.4653194   1188.9809949   1157.3899613
     970.000   -1891.8331137   3155.7873514   1189.1493279   1169.2806172
     980.000   -1923.4520768   3167.9847018   1189.3126009   1181.1729309
     990.000   -1955.1924004   3180.0598519   1189.4710139   1193.0668530
    1000.000   -1987.0528746   3192.0152102   1189.6247574   1204.9623357
    1010.000   -2019.0323131   3203.8531152   1189.7740125   1216.8593332
    1020.000   -2051.1295529   3215.5758377   1189.9189518   1228.7578015
    1030.000   -2083.3434533   3227.1855841   1190.0597395   1240.6576984
    1040.000   -2115.6728952   3238.6844983   1190.1965323   1252.5589830
    1050.000   -2148.1167808   3250.0746638   1190.3294795   1264.4616162
    1060.000   -2180.6740327   3261.3581066   1190.4587235   1276.3655602
    1070.000   -2213.3435937   3272.5367967   1190.5844002   1288.2707788
    1080.000   -2246.1244259   3283.6126506   1190.7066393   1300.1772368
    1090.000   -2279.0155102   3294.5875328   1190.8255648   1312.0849005
    1100.000   -2312.0158460   3305.4632577   1190.9412949   1323.9937374
    1110.000   -2345.1244507   3316.2415918   1191.0539430   1335.9037162
    1120.000   -2378.3403590   3326.9242548   1191.1636171   1347.8148064
    1130.000   -2411.6626225   3337.5129216   1191.2704209   1359.7269789
    1140.000   -2445.0903095   3348.0092238   1191.3744534   1371.6402056
    1150.000   -2478.6225044   3358.4147508   1191.4758093   1383.5544591
    1160.000   -2512.2583071   3368.7310519   1191.5745796   1395.4697131
    1170.000   -2545.9968330   3378.9596371   1191.6708512   1407.3859423
    1180.000   -2579.8372124   3389.1019784   1191.7647075   1419.3031221
    1190.000   -2613.7785899   3399.1595114   1191.8562285   1431.2212287
    1200.000   -2647.8201246   3409.1336364   1191.9454908   1443.1402392
    1210.000   -2681.9609892   3419.0257193   1192.0325681   1455.0601312
    1220.000   -2716.2003699   3428.8370930   1192.1175308   1466.9808835
    1230.000   -2750.5374663   3438.5690580   1192.2004468   1478.9024750
    1240.000   -2784.9714906   3448.2228842   1192.2813812   1490.8248858
    1250.000   -2819.5016677   3457.7998112   1192.3603964   1502.7480963
    1260.000   -2854.1272346   3467.3010493   1192.4375526   1514.6720875
    1270.000   -2888.8474403   3476.7277808   1192.5129074   1526.5968413
    1280.000   -2923.6615457   3486.0811606   1192.5865166   1538.5223399
    1290.000   -2958.5688228   3495.3623169   1192.6584333   1550.4485660
    1300.000   -2993.5685550   3504.5723523   1192.7287091   1562.3755031
    1310.000   -3028.6600364   3513.7123445   1192.7973935   1574.3031349
    1320.000   -3063.8425719   3522.7833467   1192.8645339   1586.2314458
    1330.000   -3099.1154768   3531.7863890   1192.9301762   1598.1604206
    1340.000   -3134.4780765   3540.7224783   1192.9943647   1610.0900445
    1350.000   -3169.9297065   3549.5925997   1193.0571419   1622.0203031
    1360.000   -3205.4697118   3558.3977166   1193.1185487   1633.9511827
    1370.000   -3241.0974472   3567.1387715   1193.1786247   1645.8826697
    1380.000   -3276.8122768   3575.8166867   1193.2374080   1657.8147509
    1390.000   -3312.6135735   3584.4323649   1193.2949353   1669.7474137
    1400.000   -3348.5007196   3592.9866894   1193.3512423   1681.6806455
    1410.000   -3384.4731057   3601.4805250   1193.4063630   1693.6144345
    1420.000   -3420.5301313   3609.9147185   1193.4603304   1705.5487690
    1430.000   -3456.6712040   3618.2900989   1193.5131766   1717.4836374
    1440.000   -3492.8957399   3626.6074783   1193.5649324   1729.4190289
    1450.000   -3529.2031629   3634.8676520   1193.6156273   1741.3549325
    1460.000   -3565.5929049   3643.0713992   1193.6652903   1753.2913380
    1470.000   -3602.0644053   3651.2194832   1193.7139490   1765.2282350
    1480.000   -3638.6171115   3659.3126521   1193.7616305   1777.1656137
    1490.000   -3675.2504778   3667.3516391   1193.8083605   1789.1034644
    1500.000   -3711.9639660   3675.3371626   1193.8541642   1801.0417778
    1510.000   -3748.7570452   3683.2699271   1193.8990659   1812.9805447
    1520.000   -3785.6291910   3691.1506232   1193.9430892   1824.9197562
    1530.000   -3822.5798863   3698.9799281   1193.9862566   1836.8594036
    1540.000   -3859.6086205   3706.7585059   1194.0285903   1848.7994786
    1550.000   -3896.7148895   3714.4870079   1194.0701116   1860.7399727
    1560.000   -3933.8981959   3722.1660731   1194.1108411   1872.6808781
    1570.000   -3971.1580483   3729.7963282   1194.1507987   1884.6221870
    1580.000   -4008.4939618   3737.3783882   1194.1900038   1896.5638916
    1590.000   -4045.9054574   3744.9128566   1194.2284752   1908.5059846
    1600.000   -4083.3920622   3752.4003256   1194.2662311   1920.4484587
    1610.000   -4120.9533092   3759.8413765   1194.3032890   1932.3913069
    1620.000   -4158.5887370   3767.2365797   1194.3396660   1944.3345222
    1630.000   -4196.2978898   3774.5864956   1194.3753788   1956.2780980
    1640.000   -4234.0803177   3781.8916740   1194.4104433   1968.2220277
    1650.000   -4271.9355760   3789.1526550   1194.4448751   1980.1663048
    1660.000   -4309.8632253   3796.3699689   1194.4786894   1992.1109231
    1670.000   -4347.8628316   3803.5441366   1194.5119008   2004.0558765
    1680.000   -4385.9339659   3810.6756697   1194.5445235   2016.0011592
    1690.000   -4424.0762045   3817.7650708   1194.5765714   2027.9467651
    1700.000   -4462.2891285   3824.8128337   1194.6080578   2039.8926887
    1710.000   -4500.5723240   3831.8194435   1194.6389959   2051.8389244
    1720.000   -4538.9253818   3838.7853771   1194.6693981   2063.7854668
    1730.000   -4577.3478975   3845.7111030   1194.6992769   2075.7323107
    1740.000   -4615.8394714   3852.5970816   1194.7286442   2087.6794507
    1750.000   -4654.3997082   3859.4437657   1194.7575115   2099.6268819
    1760.000   -4693.0282172   3866.2516003   1194.7858902   2111.5745993
    1770.000   -4731.7246121   3873.0210227   1194.8137911   2123.5225981
    1780.000   -4770.4885110   3879.7524633   1194.8412250   2135.4708735
    1790.000   -4809.3195362   3886.4463448   1194.8682022   2147.4194211
    1800.000   -4848.2173141   3893.1030835   1194.8947327   2159.3682361
    1810.000   -4887.1814754   3899.7230882   1194.9208264   2171.3173143
    1820.000   -4926.2116548   3906.3067615   1194.9464928   2183.2666512
    1830.000   -4965.3074909   3912.8544992   1194.9717412   2195.2162427
    1840.000   -5004.4686263   3919.3666907   1194.9965806   2207.1660847
    1850.000   -5043.6947075   3925.8437192   1195.0210197   2219.1161730
    1860.000   -5082.9853847   3932.2859615   1195.0450671   2231.0665038
    1870.000   -5122.3403120   3938.6937888   1195.0687312   2243.0170731
    1880.000   -5161.7591470   3945.0675660   1195.0920200   2254.9678771
    1890.000   -5201.2415510   3951.4076525   1195.1149414   2266.9189122
    1900.000   -5240.7871889   3957.7144019   1195.1375031   2278.8701748
    1910.000   -5280.3957291   3963.9881624   1195.1597126   2290.8216611
    1920.000   -5320.0668434   3970.2292767   1195.1815771   2302.7733679
    1930.000   -5359.8002069   3976.4380821   1195.2031038   2314.7252915
    1940.000   -5399.5954984   3982.6149109   1195.2242996   2326.6774288
    1950.000   -5439.4523997   3988.7600903   1195.2451712   2338.6297765
    1960.000   -5479.3705958   3994.8739423   1195.2657252   2350.5823312
    1970.000   -5519.3497751   4000.9567843   1195.2859680   2362.5350899
    1980.000   -5559.3896292   4007.0089286   1195.3059058   2374.4880495
    1990.000   -5599.4898524   4013.0306831   1195.3255448   2386.4412070
    2000.000   -5639.6501425   4019.0223510   1195.3448909   2398.3945595
