#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000     145.1964291      0.0000000      0.0000000    145.1964291
      10.000     145.1780890      7.2288216     20.3994248    145.2503772
      20.000     144.9479870     44.0542851    103.1356429    145.8290727
      30.000     144.2140634    105.7764101    209.8799681    147.3873557
      40.000     142.7876832    181.0941583    318.3212054    150.0314496
      50.000     140.5698376    263.1954957    419.6787005    153.7296124
      60.000     137.5153348    347.8820942    510.1189037    158.3882604
      70.000     133.6122328    432.5928336    589.1260199    163.8937312
      80.000     128.8684219    515.8421206    657.6462280    170.1357915
      90.000     123.3030312    596.8120559    717.0021191    177.0161162
     100.000     116.9412002    675.0837510    768.4750196    184.4495753
     110.000     109.8109758    750.4740468    813.1938192    192.3631210
     120.000     101.9414786    822.9392036    852.1272853    200.6941831
     130.000      93.3618183    892.5179459    886.1020918    209.3891513
     140.000      84.1004544    959.2971663    915.8232752    218.4020577
     150.000      74.1848283   1023.3908247    941.8920882    227.6934520
     160.000      63.6411643   1084.9267334    964.8210386    237.2294416
     170.000      52.4943751   1144.0381995    985.0467026    246.9808691
     180.000      40.7680363   1200.8587418   1002.9407850    256.9226099
     190.000      28.4844014   1255.5187969   1018.8197127    267.0329728
     200.000      15.6644434   1308.1437304   1032.9529410    277.2931895
     210.000       2.3279125   1358.8527109   1045.5701085    287.6869818
     220.000     -11.5065998   1407.7581556   1056.8671621    298.2001945
     230.000     -25.8215912   1454.9655511   1067.0115685    308.8204855
     240.000     -40.6005801   1500.5735168   1076.1467289    319.5370639
     250.000     -55.8280374   1544.6740218   1084.3957023    330.3404681
     260.000     -71.4893217   1587.3526932   1091.8643399    341.2223785
     270.000     -87.5706179   1628.6891751   1098.6439174    352.1754594
     280.000    -104.0588787   1668.7575101   1104.8133454    363.1932242
     290.000    -120.9417709   1707.6265253   1110.4410241    374.2699214
     300.000    -138.2076252   1745.3602102   1115.5864019    385.4004378
     310.000    -155.8453895   1782.0180798   1120.3012847    396.5802152
     320.000    -173.8445858   1817.6555183   1124.6309393    407.8051800
     330.000    -192.1952708   1852.3241012   1128.6150228    419.0716826
     340.000    -210.8879989   1886.0718943   1132.2883680    430.3764452
     350.000    -229.9137891   1918.9437313   1135.6816493    441.7165168
     360.000    -249.2640935   1950.9814687   1138.8219462    453.0892352
     370.000    -268.9307688   1982.2242202   1141.7332233    464.4921927
     380.000    -288.9060502   2012.7085726   1144.4367398    475.9232074
     390.000    -309.1825267   2042.4687817   1146.9513985    487.3802982
     400.000    -329.7531192   2071.5369536   1149.2940453    498.8616622
     410.000    -350.6110596   2099.9432088   1151.4797260    510.3656560
     420.000    -371.7498715   2127.7158334   1153.5219081    521.8907785
     430.000    -393.1633530   2154.8814168   1155.4326706    533.4356563
     440.000    -414.8455599   2181.4649776   1157.2228701    544.9990302
     450.000    -436.7907911   2207.4900791   1158.9022828    556.5797445
     460.000    -458.9935742   2232.9789353   1160.4797293    568.1767361
     470.000    -481.4486524   2257.9525068   1161.9631827    579.7890258
     480.000    -504.1509728   2282.4305903   1163.3598629    591.4157105
     490.000    -527.0956750   2306.4318995   1164.6763192    603.0559557
     500.000    -550.2780807   2329.9741401   1165.9185025    614.7089894
     510.000    -573.6936836   2353.0740783   1167.0918291    626.3740963
     520.000    -597.3381409   2375.7476037   1168.2012362    638.0506130
     530.000    -621.2072646   2398.0097880   1169.2512316    649.7379231
     540.000    -645.2970133   2419.8749383   1170.2459371    661.4354534
     550.000    -669.6034853   2441.3566462   1171.1891270    673.1426701
     560.000    -694.1229113   2462.4678339   1172.0842624    684.8590757
     570.000    -718.8516480   2483.2207961   1172.9345211    696.5842058
     580.000    -743.7861722   2503.6272388   1173.7428256    708.3176263
     590.000    -768.9230749   2523.6983159   1174.5118660    720.0589315
     600.000    -794.2590561   2543.4446620   1175.2441226    731.8077411
     610.000    -819.7909196   2562.8764238   1175.9418844    743.5636989
     620.000    -845.5155683   2582.0032890   1176.6072665    755.3264708
     630.000    -871.4299999   2600.8345124   1177.2422259    767.0957429
     640.000    -897.5313026   2619.3789416   1177.8485750    778.8712200
     650.000    -923.8166510   2637.6450395   1178.4279942    790.6526246
     660.000    -950.2833027   2655.6409061   1178.9820433    802.4396953
     670.000    -976.9285943   2673.3742986   1179.5121717    814.2321858
     680.000   -1003.7499385   2690.8526501   1180.0197273    826.0298635
     690.000   -1030.7448209   2708.0830873   1180.5059652    837.8325093
     700.000   -1057.9107967   2725.0724463   1180.9720549    849.6399157
     710.000   -1085.2454882   2741.8272888   1181.4190874    861.4518869
     720.000   -1112.7465818   2758.3539155   1181.8480813    873.2682373
     730.000   -1140.4118260   2774.6583801   1182.2599883    885.0887915
     740.000   -1168.2390283   2790.7465019   1182.6556988    896.9133831
     750.000   -1196.2260535   2806.6238771   1183.0360461    908.7418543
     760.000   -1224.3708213   2822.2958905   1183.4018109    920.5740554
     770.000   -1252.6713041   2837.7677253   1183.7537252    932.4098444
