#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      46.9553498      0.0000000      0.0000000     46.9553498
      10.000      46.9439609      4.4378043     13.0555674     46.9883390
      20.000      46.8025539     26.4018513     56.9448986     47.3305909
      30.000      46.3848950     57.9772773    100.9774038     48.1242133
      40.000      45.6337933     92.4384628    139.4629925     49.3313318
      50.000      44.5353465    127.1774444    172.1961182     50.8942187
      60.000      43.0930785    161.0860958    199.8341421     52.7582443
      70.000      41.3179732    193.6998205    223.2865407     54.8769606
      80.000      39.2239381    224.8612648    243.3914023     57.2128393
      90.000      36.8256384    254.5575190    260.7982548     59.7358151
     100.000      34.1375061    282.8390104    275.9818207     62.4214071
     110.000      31.1733244    309.7808381    289.2922848     65.2492166
     120.000      27.9460805    335.4652696    300.9990818     68.2019129
     130.000      24.4679370    359.9741836    311.3195104     71.2645808
     140.000      20.7502534    383.3859795    320.4353079     74.4242905
     150.000      16.8036280    405.7744259    328.5018762     77.6697919
     160.000      12.6379461    427.2083395    335.6535718     80.9912804
     170.000       8.2624295    447.7516165    342.0070409     84.3802043
     180.000       3.6856849    467.4634161    347.6636184     87.8290997
     190.000      -1.0842500    486.3984112    352.7112646     91.3314482
     200.000      -6.0398627    504.6070664    357.2262400     94.8815506
     210.000     -11.1741257    522.1359251    361.2745979     98.4744185
     220.000     -16.4804586    539.0278964    364.9135200    102.1056786
     230.000     -21.9526929    555.3225338    368.1925060    105.7714899
     240.000     -27.5850400    571.0563021    371.1544246    109.4684725
     250.000     -33.3720617    586.2628306    373.8364332    113.1936459
     260.000     -39.3086429    600.9731497    376.2707780    116.9443761
     270.000     -45.3899665    615.2159118    378.4854849    120.7183297
     280.000     -51.6114911    629.0175942    380.5049531    124.5134353
     290.000     -57.9689299    642.4026867    382.3504654    128.3278492
     300.000     -64.4582319    655.3938632    384.0406228    132.1599270
     310.000     -71.0755643    668.0121378    385.5917174    136.0081984
     320.000     -77.8172968    680.2770078    387.0180493    139.8713457
     330.000     -84.6799870    692.2065835    388.3321982    143.7481856
     340.000     -91.6603671    703.8177057    389.5452551    147.6376528
     350.000     -98.7553320    715.1260528    390.6670195    151.5387865
     360.000    -105.9619277    726.1462380    391.7061697    155.4507179
     370.000    -113.2773417    736.8918973    392.6704074    159.3726603
     380.000    -120.6988931    747.3757696    393.5665825    163.3038993
     390.000    -128.2240243    757.6097687    394.4008001    167.2437855
     400.000    -135.8502929    767.6050497    395.1785131    171.1917270
     410.000    -143.5753645    777.3720688    395.9046016    175.1471837
     420.000    -151.3970061    786.9206375    396.5834417    179.1096616
     430.000    -159.3130799    796.2599722    397.2189654    183.0787082
     440.000    -167.3215371    805.3987396    397.8147123    187.0539084
     450.000    -175.4204133    814.3450975    398.3738747    191.0348805
     460.000    -183.6078233    823.1067324    398.8993368    195.0212735
     470.000    -191.8819565    831.6908939    399.3937090    199.0127637
     480.000    -200.2410725    840.1044260    399.8593580    203.0090520
     490.000    -208.6834978    848.3537961    400.2984332    207.0098623
