#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      17.5787431      0.0000000      0.0000000     17.5787431
      10.000      17.5771469      0.6434558      1.9848183     17.5835815
      20.000      17.5536113      4.7594629     12.1830866     17.6488006
      30.000      17.4706014     12.2743056     26.0914669     17.8388306
      40.000      17.3015117     21.7934784     40.8065008     18.1732509
      50.000      17.0309971     32.4403263     54.9496913     18.6530134
      60.000      16.6510181     43.5993628     67.5372700     19.2669799
      70.000      16.1587650     54.8373242     78.2254089     19.9973777
      80.000      15.5549296     65.8819100     87.1171370     20.8254824
      90.000      14.8422840     76.5819386     94.4904711     21.7346585
     100.000      14.0246846     86.8653728    100.6412187     22.7112219
     110.000      13.1064509     96.7073389    105.8227081     23.7442582
     120.000      12.0920062    106.1092382    110.2342150     24.8251148
     130.000      10.9856834    115.0861730    114.0275127     25.9468859
     140.000       9.7916275    123.6597347    117.3175316     27.1039904
     150.000       8.5137530    131.8540040    120.1920350     28.2918536
     160.000       7.1557303    139.6934011    122.7190733     29.5066745
     170.000       5.7209889    147.2015772    124.9523530     30.7452570
     180.000       4.2127281    154.4008824    126.9350013     32.0048869
     190.000       2.6339312    161.3121491    128.7021927     33.2832395
     200.000       0.9873809    167.9546459    130.2829997     34.5783100
     210.000      -0.7243251    174.3461180    131.7017170     35.8883597
     220.000      -2.4987592    180.5028725    132.9788308     37.2118727
     230.000      -4.3336502    186.4398816    134.1317438     38.5475225
     240.000      -6.2268703    192.1708906    135.1753299     39.8941434
     250.000      -8.1764236    197.7085243    136.1223673     41.2507075
     260.000     -10.1804350    203.0643879    136.9838825     42.6163058
     270.000     -12.2371411    208.2491599    137.7694270     43.9901321
     280.000     -14.3448808    213.2726776    138.4873039     45.3714689
     290.000     -16.5020875    218.1440148    139.1447540     46.7596768
     300.000     -18.7072818    222.8715520    139.7481099     48.1541838
     310.000     -20.9590651    227.4630399    140.3029261     49.5544773
     320.000     -23.2561131    231.9256561    140.8140867     50.9600969
     330.000     -25.5971709    236.2660569    141.2858977     52.3706279
     340.000     -27.9810475    240.4904232    141.7221645     53.7856964
     350.000     -30.4066118    244.6045022    142.1262579     55.2049640
     360.000     -32.8727878    248.6136448    142.5011707     56.6281243
     370.000     -35.3785515    252.5228394    142.8495657     58.0548991
     380.000     -37.9229270    256.3367425    143.1738175     59.4850352
     390.000     -40.5049833    260.0597059    143.4760478     60.9183020
     400.000     -43.1238316    263.6958016    143.7581563     62.3544891
     410.000     -45.7786225    267.2488446    144.0218475     63.7934038
     420.000     -48.4685436    270.7224127    144.2686531     65.2348698
     430.000     -51.1928171    274.1198656    144.4999529     66.6787252
     440.000     -53.9506977    277.4443614    144.7169914     68.1248213
     450.000     -56.7414710    280.6988716    144.9208935     69.5730212
     460.000     -59.5644512    283.8861956    145.1126774     71.0231988
     470.000     -62.4189798    287.0089729    145.2932666     72.4752375
     480.000     -65.3044238    290.0696947    145.4635000     73.9290296
     490.000     -68.2201747    293.0707147    145.6241406     75.3844755
     500.000     -71.1656466    296.0142586    145.7758838     76.8414828
     510.000     -74.1402753    298.9024332    145.9193640     78.2999656
     520.000     -77.1435173    301.7372341    146.0551611     79.7598444
     530.000     -80.1748484    304.5205536    146.1838057     81.2210450
     540.000     -83.2337628    307.2541872    146.3057841     82.6834983
     550.000     -86.3197722    309.9398403    146.4215427     84.1471400
     560.000     -89.4324051    312.5791337    146.5314914     85.6119098
     570.000     -92.5712055    315.1736091    146.6360075     87.0777517
     580.000     -95.7357328    317.7247341    146.7354386     88.5446130
     590.000     -98.9255604    320.2339067    146.8301052     90.0124446
     600.000    -102.1402755    322.7024596    146.9203032     91.4812002
     610.000    -105.3794784    325.1316640    147.0063064     92.9508367
     620.000    -108.6427817    327.5227337    147.0883679     94.4213132
     630.000    -111.9298098    329.8768278    147.1667224     95.8925917
     640.000    -115.2401987    332.1950542    147.2415875     97.3646360
     650.000    -118.5735949    334.4784728    147.3131652     98.8374125
     660.000    -121.9296555    336.7280977    147.3816433    100.3108890
     670.000    -125.3080474    338.9449000    147.4471965    101.7850356
     680.000    -128.7084472    341.1298102    147.5099875    103.2598237
     690.000    -132.1305403    343.2837202    147.5701678    104.7352266
     700.000    -135.5740211    345.4074857    147.6278790    106.2112189
     710.000    -139.0385923    347.5019278    147.6832532    107.6877764
     720.000    -142.5239646    349.5678349    147.7364137    109.1648766
     730.000    -146.0298564    351.6059645    147.7874760    110.6424977
     740.000    -149.5559937    353.6170448    147.8365483    112.1206194
     750.000    -153.1021095    355.6017758    147.8837319    113.5992224
     760.000    -156.6679436    357.5608312    147.9291217    115.0782881
     770.000    -160.2532427    359.4948595    147.9728067    116.5577991
     780.000    -163.8577595    361.4044850    148.0148708    118.0377388
     790.000    -167.4812530    363.2903094    148.0553926    119.5180914
     800.000    -171.1234882    365.1529126    148.0944460    120.9988418
     810.000    -174.7842357    366.9928536    148.1321006    122.4799757
     820.000    -178.4632716    368.8106719    148.1684222    123.9614794
     830.000    -182.1603772    370.6068880    148.2034723    125.4433399
     840.000    -185.8753390    372.3820045    148.2373094    126.9255448
     850.000    -189.6079485    374.1365068    148.2699884    128.4080822
     860.000    -193.3580020    375.8708638    148.3015612    129.8909408
     870.000    -197.1253002    377.5855288    148.3320770    131.3741099
     880.000    -200.9096484    379.2809402    148.3615821    132.8575790
     890.000    -204.7108562    380.9575220    148.3901204    134.3413383
     900.000    -208.5287374    382.6156842    148.4177335    135.8253783
     910.000    -212.3631098    384.2558240    148.4444608    137.3096900
     920.000    -216.2137951    385.8783259    148.4703394    138.7942647
     930.000    -220.0806188    387.4835623    148.4954049    140.2790941
     940.000    -223.9634100    389.0718939    148.5196907    141.7641702
     950.000    -227.8620015    390.6436705    148.5432287    143.2494854
     960.000    -231.7762294    392.1992310    148.5660491    144.7350324
     970.000    -235.7059332    393.7389044    148.5881807    146.2208041
     980.000    -239.6509556    395.2630096    148.6096507    147.7067938
     990.000    -243.6111425    396.7718561    148.6304852    149.1929950
    1000.000    -247.5863428    398.2657443    148.6507090    150.6794015
    1010.000    -251.5764085    399.7449661    148.6703454    152.1660072
    1020.000    -255.5811942    401.2098046    148.6894170    153.6528065
    1030.000    -259.6005576    402.6605353    148.7079452    155.1397938
    1040.000    -263.6343588    404.0974254    148.7259502    156.6269637
    1050.000    -267.6824608    405.5207351    148.7434516    158.1143111
    1060.000    -271.7447291    406.9307171    148.7604678    159.6018311
    1070.000    -275.8210315    408.3276172    148.7770166    161.0895189
