#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      27.2214688      0.0000000      0.0000000     27.2214688
      10.000      27.2204152      0.4164306      1.3304641     27.2245795
      20.000      27.2028164      3.8493092     11.3934732     27.2798026
      30.000      27.1291552     11.4849961     27.9254776     27.4737051
      40.000      26.9636300     21.9801217     45.9077136     27.8428349
      50.000      26.6841766     34.1015819     63.1432019     28.3892557
      60.000      26.2789957     47.0133287     78.6306259     29.0997954
      70.000      25.7431194     60.1691730     92.0597234     29.9549615
      80.000      25.0759399     73.2314633    103.5342116     30.9344570
      90.000      24.2794576     86.0065296    113.3289618     32.0200452
     100.000      23.3571099     98.3932377    121.7414377     33.1964337
     110.000      22.3130418    110.3462728    129.0294236     34.4511319
     120.000      21.1516761    121.8523715    135.3973840     35.7739607
     130.000      19.8774706    132.9159249    141.0025126     37.1565408
     140.000      18.4947876    143.5506149    145.9656031     38.5918737
     150.000      17.0078272    153.7746797    150.3809624     40.0740292
     160.000      15.4205956    163.6082756    154.3239035     41.5979197
     170.000      13.7368945    173.0720253    157.8559741     43.1591388
     180.000      11.9603202    182.1862298    161.0284887     44.7538416
     190.000      10.0942697    190.9704520    163.8849086     46.3786556
     200.000       8.1419489    199.4433092    166.4624727     48.0306108
     210.000       6.1063827    207.6223835    168.7933516     49.7070832
     220.000       3.9904253    215.5241989    170.9054972     51.4057491
     230.000       1.7967712    223.1642369    172.8232941     53.1245457
     240.000      -0.4720352    230.5569738    174.5680769     54.8616385
     250.000      -2.8135891    237.7159289    176.1585539     56.6153931
     260.000      -5.2256166    244.6537189    177.6111606     58.3843503
     270.000      -7.7059656    251.3821139    178.9403594     60.1672052
     280.000     -10.2525976    257.9120941    180.1588960     61.9627888
     290.000     -12.8635803    264.2539040    181.2780203     63.7700519
     300.000     -15.5370804    270.4171049    182.3076770     65.5880511
     310.000     -18.2713569    276.4106242    183.2566704     67.4159366
     320.000     -21.0647551    282.2428026    184.1328078     69.2529417
     330.000     -23.9157012    287.9214373    184.9430233     71.0983731
     340.000     -26.8226964    293.4538221    185.6934857     72.9516031
     350.000     -29.7843129    298.8467856    186.3896922     74.8120621
     360.000     -32.7991888    304.1067257    187.0365492     76.6792325
     370.000     -35.8660241    309.2396413    187.6384440     78.5526432
     380.000     -38.9835770    314.2511622    188.1993055     80.4318646
     390.000     -42.1506603    319.1465760    188.7226586     82.3165043
     400.000     -45.3661381    323.9308536    189.2116709     84.2062034
     410.000     -48.6289226    328.6086716    189.6691933     86.1006328
     420.000     -51.9379714    333.1844339    190.0977963     87.9994909
     430.000     -55.2922849    337.6622907    190.4998012     89.9025001
     440.000     -58.6909039    342.0461572    190.8773076     91.8094052
     450.000     -62.1329071    346.3397290    191.2322173     93.7199710
     460.000     -65.6174092    350.5464983    191.5662561     95.6339800
     470.000     -69.1435587    354.6697670    191.8809920     97.5512318
     480.000     -72.7105366    358.7126602    192.1778520     99.4715403
     490.000     -76.3175539    362.6781377    192.4581365    101.3947336
     500.000     -79.9638507    366.5690048    192.7230324    103.3206518
     510.000     -83.6486942    370.3879230    192.9736244    105.2491465
     520.000     -87.3713777    374.1374185    193.2109051    107.1800799
     530.000     -91.1312192    377.8198915    193.4357843    109.1133233
     540.000     -94.9275598    381.4376237    193.6490965    111.0487570
     550.000     -98.7597631    384.9927860    193.8516086    112.9862692
     560.000    -102.6272138    388.4874453    194.0440261    114.9257555
     570.000    -106.5293169    391.9235705    194.2269986    116.8671183
     580.000    -110.4654964    395.3030387    194.4011251    118.8102660
     590.000    -114.4351948    398.6276406    194.5669587    120.7551131
     600.000    -118.4378720    401.8990855    194.7250105    122.7015793
     610.000    -122.4730048    405.1190062    194.8757534    124.6495890
     620.000    -126.5400856    408.2889630    195.0196253    126.5990714
     630.000    -130.6386225    411.4104483    195.1570323    128.5499600
     640.000    -134.7681378    414.4848899    195.2883513    130.5021918
     650.000    -138.9281680    417.5136552    195.4139326    132.4557079
     660.000    -143.1182630    420.4980536    195.5341018    134.4104524
     670.000    -147.3379854    423.4393407    195.6491620    136.3663729
     680.000    -151.5869101    426.3387201    195.7593957    138.3234196
     690.000    -155.8646239    429.1973471    195.8650662    140.2815456
     700.000    -160.1707249    432.0163306    195.9664195    142.2407065
