#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      27.2202526      0.0000000      0.0000000     27.2202526
      10.000      27.2196343      0.2805857      1.0438091     27.2224401
      20.000      27.2050639      3.3767864     10.7691891     27.2725996
      30.000      27.1374299     10.7774820     27.4379695     27.4607543
      40.000      26.9796132     21.1610682     45.6229257     27.8260559
      50.000      26.7086206     33.2355403     63.0010447     28.3703976
      60.000      26.3122040     46.1296223     78.5738142     29.0799814
      70.000      25.7851954     59.2807175     92.0515640     29.9348456
      80.000      25.1268990     72.3438876    103.5535722     30.9144100
      90.000      24.3392773     85.1222253    113.3640099     32.0002776
     100.000      23.4257520     97.5131358    121.7854857     33.1770656
     110.000      22.3904628    109.4706316    129.0785641     34.4322323
     120.000      21.2378313    120.9811355    135.4492254     35.7555676
     130.000      19.9723169    132.0488927    141.0555186     37.1386729
     140.000      18.5982844    142.6875211    146.0187464     38.5745373
     150.000      17.1199364    152.9152364    150.4335392     40.0572218
     160.000      15.5412822    162.7521941    154.3754278     41.5816333
     170.000      13.8661262    172.2190273    157.9061140     43.1433608
     180.000      12.0980676    181.3360531    161.0770245     44.7385571
     190.000      10.2405058    190.1228533    163.9317039     46.3638479
     200.000       8.2966490    198.5980649    166.5074530     48.0162620
     210.000       6.2695243    206.7792892    168.8364883     49.6931751
     220.000       4.1619879    214.6830688    170.9467955     51.3922631
     230.000       1.9767360    222.3249026    172.8627835     53.1114636
     240.000      -0.2836854    229.7192827    174.6058043     54.8489425
     250.000      -2.6168700    236.8797432    176.1945779     56.6030658
     260.000      -5.0205427    243.8189139    177.6455472     58.3723749
     270.000      -7.4925500    250.5485771    178.9731792     60.1555658
     280.000     -10.0308526    257.0797237    180.1902216     61.9514700
     290.000     -12.6335170    263.4226078    181.3079247     63.7590392
     300.000     -15.2987092    269.5867995    182.3362323     65.5773307
     310.000     -18.0246872    275.5812341    183.2839471     67.4054953
     320.000     -20.8097959    281.4142593    184.1588739     69.2427671
     330.000     -23.6524605    287.0936783    184.9679441     71.0884534
     340.000     -26.5511818    292.6267909    185.7173236     72.9419271
     350.000     -29.5045314    298.0204305    186.4125063     74.8026193
     360.000     -32.5111469    303.2809996    187.0583958     76.6700129
     370.000     -35.5697279    308.4145012    187.6593759     78.5436375
     380.000     -38.6790322    313.4265686    188.2193728     80.4230639
     390.000     -41.8378722    318.3224931    188.7419083     82.3079002
     400.000     -45.0451115    323.1072482    189.2301472     84.1977878
