#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      50.8820690      0.0000000      0.0000000     50.8820690
      10.000      50.8802734      0.8506721      3.3239960     50.8887801
      20.000      50.8358617     10.0585771     30.3474338     51.0370332
      30.000      50.6435114     29.7836197     70.2847233     51.5370200
      40.000      50.2203790     55.5159245    109.9840268     52.4410159
      50.000      49.5243370     83.9514745    145.3391362     53.7219107
      60.000      48.5387632    113.1906231    175.4545345     55.3302005
      70.000      47.2613740    142.1912985    200.7117838     57.2147649
      80.000      45.6975496    170.4175897    221.9245152     59.3309567
      90.000      43.8564409    197.6233291    239.9174729     61.6425405
     100.000      41.7487863    223.7206889    255.3693916     64.1208552
     110.000      39.3857450    248.7039584    268.7923401     66.7431804
     120.000      36.7783082    272.6074337    280.5615248     69.4912003
     130.000      33.9370229    295.4831080    290.9533185     72.3498270
     140.000      30.8718778    317.3892749    300.1765145     75.3063763
     150.000      27.5922723    338.3849125    308.3942565     78.3500092
     160.000      24.1070242    358.5270460    315.7383128     81.4713516
     170.000      20.4243962    377.8696081    322.3180731     84.6622296
     180.000      16.5521288    396.4630386    328.2262029     87.9154757
     190.000      12.4974758    414.3542395    333.5422833     91.2247813
     200.000       8.2672394    431.5866962    338.3352579     94.5845787
     210.000       3.8678032    448.2006697    342.6651769     97.9899438
     220.000      -0.6948368    464.2334144    346.5845155    101.4365143
     230.000      -5.4150429    479.7194008    350.1392233    104.9204193
     240.000     -10.2875089    494.6905298    353.3695920    108.4382182
     250.000     -15.3072360    509.1763374    356.3109912    111.9868484
     260.000     -20.4695094    523.2041854    358.9945012    115.5635788
     270.000     -25.7698779    536.7994377    361.4474616    119.1659703
     280.000     -31.2041347    549.9856246    363.6939490    122.7918401
     290.000     -36.7682998    562.7845927    365.7551917    126.4392320
     300.000     -42.4586037    575.2166430    367.6499324    130.1063892
     310.000     -48.2714727    587.3006576    369.3947426    133.7917311
     320.000     -54.2035155    599.0542151    371.0042965    137.4938334
