#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      61.8503699      0.0000000      0.0000000     61.8503699
      10.000      61.8486842      0.9153304      4.0432798     61.8578375
      20.000      61.7960541     11.9057980     34.9482257     62.0341701
      30.000      61.5741687     33.7864425     76.2999318     62.5877620
      40.000      61.1008472     61.5972409    119.0903996     63.5647369
      50.000      60.3314300     92.6757018    160.5999510     64.9652150
      60.000      59.2418983    125.4019933    198.9331850     66.7660179
      70.000      57.8215288    158.6990963    233.2664582     68.9304655
      80.000      56.0683786    191.8661233    263.5071020     71.4176685
      90.000      53.9861252    224.4631979    289.9133786     74.1878130
     100.000      51.5819099    256.2254564    312.8762348     77.2044555
     110.000      48.8649060    287.0032127    332.8148718     80.4352594
     120.000      45.8453810    316.7219360    350.1303449     83.8520134
     130.000      42.5340868    345.3557976    365.1866416     87.4303405
     140.000      38.9418655    372.9101779    378.3047631     91.1492904
     150.000      35.0793996    399.4100510    389.7629997     94.9909072
     160.000      30.9570574    424.8922477    399.8000653     98.9398171
     170.000      26.5848021    449.4002981    408.6193843    102.9828528
     180.000      21.9721427    472.9810079    416.3936426    107.1087241
     190.000      17.1281136    495.6822035    423.2691502    111.3077323
     200.000      12.0612723    517.5512707    429.3698041    115.5715264
     210.000       6.7797084    538.6342326    434.8005734    119.8928972
     220.000       1.2910607    558.9751933    439.6505016    124.2656032
     230.000      -4.3974620    578.6160287    443.9952595    128.6842246
     240.000     -10.2790581    597.5962436    447.8992953    133.1440404
     250.000     -16.3473088    615.9529379    451.4176363    137.6409257
     260.000     -22.5961545    633.7208450    454.5973926    142.1712652
     270.000     -29.0198714    650.9324142    457.4790104    146.7318804
     280.000     -35.6130494    667.6179203    460.0973157    151.3199682
     290.000     -42.3705706    683.8055872    462.4823838    155.9330497
     300.000     -49.2875896    699.5217175    464.6602638    160.5689257
     310.000     -56.3595150    714.7908230    466.6535841    165.2256401
     320.000     -63.5819923    729.6357514    468.4820591    169.9014481
     330.000     -70.9508873    744.0778084    470.1629130    174.5947894
     340.000     -78.4622720    758.1368730    471.7112371    179.3042648
     350.000     -86.1124101    771.8315055    473.1402900    184.0286168
