#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000       0.9529530      0.0000000      0.0000000      0.9529530
      10.000       0.9509342      0.8227125      2.3689762      0.9591613
      20.000       0.9259367      4.5615979      9.3575257      1.0171686
      30.000       0.8558715      9.4983060     14.9546744      1.1408207
      40.000       0.7365042     14.3070301     18.3396757      1.3087854
      50.000       0.5713673     18.6342288     20.3515518      1.5030787
      60.000       0.3654860     22.4635737     21.5992529      1.7133004
      70.000       0.1235445     25.8583974     22.4126262      1.9336323
      80.000      -0.1504712     28.8896295     22.9673966      2.1606992
      90.000      -0.4532424     31.6187634     23.3606853      2.3924463
     100.000      -0.7820070     34.0957135     23.6487190      2.6275644
     110.000      -1.1344497     36.3603125     23.8655399      2.8651846
     120.000      -1.5086121     38.4443514     24.0326059      3.1047101
     130.000      -1.9028206     40.3733746     24.1639319      3.3457181
     140.000      -2.3156323     42.1680979     24.2689607      3.5879014
     150.000      -2.7457918     43.8454895     24.3542302      3.8310317
     160.000      -3.1921980     45.4195861     24.4243771      4.0749357
     170.000      -3.6538784     46.9021090     24.4827603      4.3194801
     180.000      -4.1299680     48.3029340     24.5318595      4.5645601
     190.000      -4.6196929     49.6304499     24.5735362      4.8100926
     200.000      -5.1223567     50.8918377     24.6092095      5.0560108
     210.000      -5.6373299     52.0932876     24.6399759      5.3022605
     220.000      -6.1640407     53.2401706     24.6666932      5.5487969
     230.000      -6.7019672     54.3371750     24.6900401      5.7955831
     240.000      -7.2506317     55.3884163     24.7105593      6.0425883
     250.000      -7.8095951     56.3975257     24.7286886      6.2897863
     260.000      -8.3784525     57.3677222     24.7447845      6.5371553
     270.000      -8.9568294     58.3018727     24.7591395      6.7846762
     280.000      -9.5443784     59.2025409     24.7719955      7.0323331
     290.000     -10.1407763     60.0720280     24.7835539      7.2801118
     300.000     -10.7457219     60.9124077     24.7939832      7.5280004
     310.000     -11.3589337     61.7255545     24.8034257      7.7759882
     320.000     -11.9801479     62.5131686     24.8120019      8.0240660
     330.000     -12.6091171     63.2767964     24.8198144      8.2722257
     340.000     -13.2456086     64.0178490     24.8269513      8.5204600
     350.000     -13.8894032     64.7376168     24.8334881      8.7687627
     360.000     -14.5402940     65.4372833     24.8394903      9.0171280
     370.000     -15.1980855     66.1179362     24.8450144      9.2655509
     380.000     -15.8625927     66.7805778     24.8501100      9.5140269
     390.000     -16.5336401     67.4261332     24.8548201      9.7625518
     400.000     -17.2110612     68.0554584     24.8591827     10.0111221
     410.000     -17.8946978     68.6693470     24.8632311     10.2597344
     420.000     -18.5843992     69.2685357     24.8669947     10.5083858
     430.000     -19.2800218     69.8537100     24.8704996     10.7570735
     440.000     -19.9814288     70.4255087     24.8737690     11.0057950
     450.000     -20.6884894     70.9845279     24.8768235     11.2545481
     460.000     -21.4010786     71.5313249     24.8796816     11.5033308
