#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000     130.5724204      0.0000000      0.0000000    130.5724204
      10.000     130.4937947     25.7515334     52.7534591    130.7513100
      20.000     129.9393686     86.8372132    127.9100583    131.6761129
      30.000     128.7558659    149.2058122    180.5336861    133.2320402
      40.000     126.9709070    207.0171881    222.3329999    135.2515945
      50.000     124.6292313    260.7187718    259.9120462    137.6651698
      60.000     121.7670728    311.2457985    295.0470521    140.4418207
      70.000     118.4127644    359.2305637    328.0204437    143.5589039
      80.000     114.5895845    405.0747096    358.9954655    146.9955613
      90.000     110.3174592    449.0599960    388.1823849    150.7328588
     100.000     105.6138651    491.3995097    415.7484719    154.7538161
     110.000     100.4944035    532.2573944    441.7790115    159.0427169
     120.000      94.9732337    571.7593564    466.2967404    163.5843565
     130.000      89.0634137    610.0013963    489.2976402    168.3635952
     140.000      82.7771564    647.0577609    510.7792295    173.3652429
     150.000      76.1260123    682.9876551    530.7557838    178.5741606
     160.000      69.1209931    717.8404097    549.2630230    183.9754586
     170.000      61.7726504    751.6591551    566.3565017    189.5547068
     180.000      54.0911252    784.4832567    582.1071419    195.2981114
     190.000      46.0861769    816.3498231    596.5960672    201.1926433
     200.000      37.7672014    847.2945707    609.9098703    207.2261155
     210.000      29.1432422    877.3522647    622.1367665    213.3872178
     220.000      20.2229995    906.5569025    633.3637205    219.6655180
     230.000      11.0148367    934.9417474    643.6744501    226.0514387
     240.000       1.5267888    962.5392864    653.1481492    232.5362175
     250.000      -8.2334302    989.3811553    661.8587612    239.1118586
     260.000     -18.2584179   1015.4980597    669.8746562    245.7710777
     270.000     -28.5410740   1040.9197029    677.2585897    252.5072458
     280.000     -39.0745900   1065.6747302    684.0678496    259.3143345
     290.000     -49.8524385   1089.7906892    690.3545217    266.1868614
     300.000     -60.8683618   1113.2940086    696.1658246    273.1198408
     310.000     -72.1163610   1136.2099908    701.5444759    280.1087362
     320.000     -83.5906845   1158.5628180    706.5290692    287.1494172
     330.000     -95.2858172   1180.3755689    711.1544438    294.2381206
     340.000    -107.1964691   1201.6702440    715.4520375    301.3714138
     350.000    -119.3175651   1222.4677962    719.4502179    308.5461636
     360.000    -131.6442345   1242.7881675    723.1745889    315.7595058
     370.000    -144.1718012   1262.6503274    726.6482698    323.0088200
     380.000    -156.8957739   1282.0723140    729.8921506    330.2917054
     390.000    -169.8118375   1301.0712759    732.9251213    337.6059601
     400.000    -182.9158438   1319.6635144    735.7642786    344.9495620
     410.000    -196.2038038   1337.8645249    738.4251115    352.3206515
     420.000    -209.6718794   1355.6890384    740.9216669    359.7175167
     430.000    -223.3163763   1373.1510608    743.2666980    367.1385798
     440.000    -237.1337368   1390.2639117    745.4717965    374.5823844
     450.000    -251.1205329   1407.0402612    747.5475109    382.0475846
     460.000    -265.2734606   1423.4921652    749.5034510    389.5329354
     470.000    -279.5893331   1439.6310994    751.3483826    397.0372837
     480.000    -294.0650758   1455.4679909    753.0903108    404.5595598
     490.000    -308.6977208   1471.0132486    754.7365546    412.0987710
     500.000    -323.4844018   1486.2767923    756.2938142    419.6539944
     510.000    -338.4223492   1501.2680792    757.7682298    427.2243712
     520.000    -353.5088860   1515.9961300    759.1654357    434.8091016
     530.000    -368.7414231   1530.4695527    760.4906073    442.4074398
     540.000    -384.1174557   1544.6965653    761.7485046    450.0186896
     550.000    -399.6345592   1558.6850174    762.9435098    457.6422003
     560.000    -415.2903859   1572.4424098    764.0796624    465.2773636
     570.000    -431.0826612   1585.9759141    765.1606894    472.9236099
     580.000    -447.0091808   1599.2923895    766.1900337    480.5804052
     590.000    -463.0678074   1612.3984006    767.1708788    488.2472489
     600.000    -479.2564682   1625.3002319    768.1061716    495.9236709
     610.000    -495.5731516   1638.0039036    768.9986426    503.6092296
     620.000    -512.0159050   1650.5151847    769.8508243    511.3035095
     630.000    -528.5828324   1662.8396065    770.6650679    519.0061197
     640.000    -545.2720920   1674.9824745    771.4435585    526.7166917
     650.000    -562.0818937   1686.9488803    772.1883285    534.4348784
     660.000    -579.0104977   1698.7437119    772.9012702    542.1603522
     670.000    -596.0562117   1710.3716647    773.5841468    549.8928036
     680.000    -613.2173898   1721.8372503    774.2386030    557.6319404
     690.000    -630.4924300   1733.1448059    774.8661740    565.3774861
     700.000    -647.8797730   1744.2985030    775.4682942    573.1291791
     710.000    -665.3779006   1755.3023552    776.0463047    580.8867716
     720.000    -682.9853336   1766.1602258    776.6014607    588.6500290
     730.000    -700.7006309   1776.8758349    777.1349375    596.4187286
     740.000    -718.5223880   1787.4527664    777.6478370    604.1926592
     750.000    -736.4492355   1797.8944742    778.1411925    611.9716202
     760.000    -754.4798379   1808.2042881    778.6159743    619.7554211
     770.000    -772.6128923   1818.3854196    779.0730934    627.5438808
     780.000    -790.8471277   1828.4409675    779.5134068    635.3368270
     790.000    -809.1813030   1838.3739223    779.9377201    643.1340956
     800.000    -827.6142071   1848.1871721    780.3467920    650.9355306
     810.000    -846.1446568   1857.8835059    780.7413371    658.7409830
     820.000    -864.7714965   1867.4656190    781.1220292    666.5503111
     830.000    -883.4935971   1876.9361165    781.4895034    674.3633796
     840.000    -902.3098552   1886.2975170    781.8443596    682.1800591
     850.000    -921.2191919   1895.5522571    782.1871641    690.0002266
     860.000    -940.2205526   1904.7026938    782.5184521    697.8237640
     870.000    -959.3129057   1913.7511088    782.8387297    705.6505589
     880.000    -978.4952421   1922.6997110    783.1484756    713.4805035
     890.000    -997.7665744   1931.5506396    783.4481431    721.3134948
     900.000   -1017.1259362   1940.3059672    783.7381616    729.1494342
     910.000   -1036.5723818   1948.9677022    784.0189378    736.9882273
     920.000   -1056.1049848   1957.5377916    784.2908577    744.8297835
     930.000   -1075.7228384   1966.0181232    784.5542872    752.6740161
     940.000   -1095.4250542   1974.4105279    784.8095738    760.5208421
     950.000   -1115.2107618   1982.7167825    785.0570474    768.3701816
     960.000   -1135.0791084   1990.9386109    785.2970216    776.2219580
     970.000   -1155.0292582   1999.0776868    785.5297944    784.0760980
     980.000   -1175.0603917   2007.1356353    785.7556494    791.9325309
     990.000   -1195.1717057   2015.1140349    785.9748563    799.7911888
    1000.000   -1215.3624124   2023.0144191    786.1876720    807.6520067
    1010.000   -1235.6317390   2030.8382780    786.3943411    815.5149218
    1020.000   -1255.9789277   2038.5870603    786.5950966    823.3798738
    1030.000   -1276.4032347   2046.2621742    786.7901609    831.2468047
    1040.000   -1296.9039302   2053.8649894    786.9797457    839.1156587
    1050.000   -1317.4802979   2061.3968381    787.1640534    846.9863821
    1060.000   -1338.1316347   2068.8590166    787.3432770    854.8589229
    1070.000   -1358.8572502   2076.2527864    787.5176007    862.7332313
    1080.000   -1379.6564665   2083.5793756    787.6872007    870.6092591
    1090.000   -1400.5286178   2090.8399797    787.8522453    878.4869601
    1100.000   -1421.4730501   2098.0357631    788.0128953    886.3662894
    1110.000   -1442.4891208   2105.1678600    788.1693047    894.2472039
    1120.000   -1463.5761987   2112.2373754    788.3216207    902.1296618
    1130.000   -1484.7336633   2119.2453862    788.4699843    910.0136231
    1140.000   -1505.9609049   2126.1929418    788.6145303    917.8990488
    1150.000   -1527.2573240   2133.0810656    788.7553881    925.7859014
    1160.000   -1548.6223314   2139.9107552    788.8926816    933.6741447
    1170.000   -1570.0553476   2146.6829839    789.0265294    941.5637436
    1180.000   -1591.5558027   2153.3987007    789.1570454    949.4546642
    1190.000   -1613.1231363   2160.0588320    789.2843389    957.3468737
    1200.000   -1634.7567971   2166.6642814    789.4085147    965.2403406
    1210.000   -1656.4562426   2173.2159311    789.5296732    973.1350340
    1220.000   -1678.2209392   2179.7146422    789.6479111    981.0309243
    1230.000   -1700.0503618   2186.1612557    789.7633212    988.9279828
    1240.000   -1721.9439934   2192.5565928    789.8759925    996.8261816
    1250.000   -1743.9013254   2198.9014553    789.9860107   1004.7254938
    1260.000   -1765.9218569   2205.1966271    790.0934582   1012.6258932
    1270.000   -1788.0050949   2211.4428736    790.1984141   1020.5273546
    1280.000   -1810.1505538   2217.6409432    790.3009546   1028.4298535
    1290.000   -1832.3577556   2223.7915670    790.4011530   1036.3333659
    1300.000   -1854.6262294   2229.8954602    790.4990798   1044.2378689
    1310.000   -1876.9555113   2235.9533218    790.5948030   1052.1433402
    1320.000   -1899.3451446   2241.9658352    790.6883879   1060.0497579
    1330.000   -1921.7946791   2247.9336693    790.7798976   1067.9571010
    1340.000   -1944.3036713   2253.8574779    790.8693927   1075.8653491
    1350.000   -1966.8716841   2259.7379010    790.9569318   1083.7744823
    1360.000   -1989.4982868   2265.5755648    791.0425712   1091.6844814
    1370.000   -2012.1830549   2271.3710821    791.1263655   1099.5953276
    1380.000   -2034.9255699   2277.1250527    791.2083669   1107.5070028
    1390.000   -2057.7254194   2282.8380637    791.2886262   1115.4194891
    1400.000   -2080.5821966   2288.5106902    791.3671923   1123.3327696
    1410.000   -2103.4955005   2294.1434950    791.4441122   1131.2468275
    1420.000   -2126.4649356   2299.7370297    791.5194316   1139.1616465
    1430.000   -2149.4901120   2305.2918342    791.5931943   1147.0772109
    1440.000   -2172.5706449   2310.8084377    791.6654429   1154.9935054
    1450.000   -2195.7061551   2316.2873586    791.7362184   1162.9105149
    1460.000   -2218.8962682   2321.7291049    791.8055604   1170.8282250
    1470.000   -2242.1406149   2327.1341744    791.8735074   1178.7466215
    1480.000   -2265.4388310   2332.5030552    791.9400964   1186.6656906
    1490.000   -2288.7905570   2337.8362255    792.0053632   1194.5854190
    1500.000   -2312.1954381   2343.1341544    792.0693425   1202.5057936
    1510.000   -2335.6531242   2348.3973019    792.1320680   1210.4268016
    1520.000   -2359.1632697   2353.6261188    792.1935719   1218.3484309
    1530.000   -2382.7255336   2358.8210475    792.2538859   1226.2706691
    1540.000   -2406.3395791   2363.9825220    792.3130403   1234.1935047
    1550.000   -2430.0050739   2369.1109678    792.3710645   1242.1169262
    1560.000   -2453.7216898   2374.2068026    792.4279872   1250.0409223
    1570.000   -2477.4891026   2379.2704363    792.4838359   1257.9654823
    1580.000   -2501.3069925   2384.3022709    792.5386374   1265.8905955
    1590.000   -2525.1750434   2389.3027013    792.5924177   1273.8162517
    1600.000   -2549.0929431   2394.2721148    792.6452020   1281.7424406
    1610.000   -2573.0603836   2399.2108919    792.6970146   1289.6691525
    1620.000   -2597.0770601   2404.1194061    792.7478792   1297.5963777
    1630.000   -2621.1426720   2408.9980239    792.7978188   1305.5241070
    1640.000   -2645.2569221   2413.8471056    792.8468555   1313.4523311
    1650.000   -2669.4195169   2418.6670048    792.8950109   1321.3810411
    1660.000   -2693.6301661   2423.4580690    792.9423061   1329.3102284
    1670.000   -2717.8885833   2428.2206394    792.9887613   1337.2398845
    1680.000   -2742.1944850   2432.9550512    793.0343963   1345.1700009
    1690.000   -2766.5475915   2437.6616339    793.0792302   1353.1005697
    1700.000   -2790.9476260   2442.3407112    793.1232816   1361.0315829
    1710.000   -2815.3943151   2446.9926011    793.1665686   1368.9630328
    1720.000   -2839.8873885   2451.6176164    793.2091088   1376.8949118
    1730.000   -2864.4265789   2456.2160644    793.2509191   1384.8272125
    1740.000   -2889.0116222   2460.7882471    793.2920162   1392.7599278
    1750.000   -2913.6422573   2465.3344616    793.3324161   1400.6930505
    1760.000   -2938.3182259   2469.8549998    793.3721346   1408.6265739
    1770.000   -2963.0392726   2474.3501490    793.4111868   1416.5604910
    1780.000   -2987.8051452   2478.8201913    793.4495875   1424.4947954
    1790.000   -3012.6155937   2483.2654047    793.4873511   1432.4294806
    1800.000   -3037.4703714   2487.6860621    793.5244915   1440.3645404
    1810.000   -3062.3692340   2492.0824323    793.5610225   1448.2999684
    1820.000   -3087.3119400   2496.4547796    793.5969572   1456.2357588
    1830.000   -3112.2982504   2500.8033639    793.6323085   1464.1719056
    1840.000   -3137.3279289   2505.1284413    793.6670890   1472.1084031
    1850.000   -3162.4007417   2509.4302634    793.7013109   1480.0452456
    1860.000   -3187.5164575   2513.7090779    793.7349860   1487.9824275
    1870.000   -3212.6748474   2517.9651288    793.7681259   1495.9199435
    1880.000   -3237.8756850   2522.1986560    793.8007418   1503.8577883
    1890.000   -3263.1187462   2526.4098957    793.8328448   1511.7959566
    1900.000   -3288.4038094   2530.5990804    793.8644456   1519.7344435
    1910.000   -3313.7306550   2534.7664392    793.8955544   1527.6732439
    1920.000   -3339.0990661   2538.9121975    793.9261815   1535.6123530
    1930.000   -3364.5088277   2543.0365770    793.9563368   1543.5517659
