#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      46.6598074      0.0000000      0.0000000     46.6598074
      10.000      46.6466237      4.1807715      8.2868723     46.6884314
      20.000      46.5609014     12.9878648     17.3516274     46.8206587
      30.000      46.3882740     21.5162693     25.6409614     47.0337621
      40.000      46.1295175     30.3442820     36.7757839     47.3432888
      50.000      45.7785795     40.0021506     50.7105530     47.7786870
      60.000      45.3262237     50.6279361     66.5586858     48.3638999
      70.000      44.7630699     62.1356975     83.2264227     49.1125687
      80.000      44.0811996     74.3358859     99.7975293     50.0280704
      90.000      43.2747574     87.0151946    115.6592700     51.1061249
     100.000      42.3399558     99.9775808    130.4646606     52.3377139
     110.000      41.2748112    113.0594905    144.0551366     53.7113552
     120.000      40.0788010    126.1319412    156.3931673     55.2146340
     130.000      38.7525329    139.0971021    167.5137916     56.8351562
     140.000      37.2974583    151.8831577    177.4922018     58.5611004
     150.000      35.7156385    164.4391246    186.4228990     60.3815072
     160.000      34.0095600    176.7302654    194.4067498     62.2864024
     170.000      32.1819914    188.7342774    201.5432922     64.2668185
     180.000      30.2358754    200.4382362    207.9264535     66.3147579
     190.000      28.1742472    211.8361969    213.6424336     68.4231246
     200.000      26.0001745    222.9273398    218.7689198     70.5856425
     210.000      23.7167138    233.7145511    223.3750908     72.7967695
     220.000      21.3268785    244.2033455    227.5220581     75.0516145
     230.000      18.8336173    254.4010541    231.2635266     77.3458597
     240.000      16.2397993    264.3162147    234.6465402     79.6756908
     250.000      13.5482039    273.9581180    237.7122342     82.0377334
     260.000      10.7615154    283.3364717    240.4965504     84.4289981
     270.000       7.8823200    292.4611539    243.0308939     86.8468316
     280.000       4.9131050    301.3420343    245.3427228     89.2888746
     290.000       1.8562596    309.9888456    247.4560684     91.7530248
     300.000      -1.2859234    318.4110942    249.3919921     94.2374049
     310.000      -4.5112445    326.6179988    251.1689817     96.7403351
     320.000      -7.8175952    334.6184511    252.8032938     99.2603091
     330.000     -11.2029539    342.4209915    254.3092508    101.7959733
     340.000     -14.6653827    350.0337978    255.6994951    104.3461086
     350.000     -18.2030235    357.4646811    256.9852088    106.9096149
     360.000     -21.8140947    364.7210895    258.1763025    109.4854975
     370.000     -25.4968874    371.8101145    259.2815778    112.0728550
     380.000     -29.2497616    378.7385021    260.3088675    114.6708692
     390.000     -33.0711434    385.5126644    261.2651562    117.2787958
     400.000     -36.9595211    392.1386941    262.1566847    119.8959565
     410.000     -40.9134428    398.6223782    262.9890401    122.5217323
     420.000     -44.9315126    404.9692129    263.7672343    125.1555568
     430.000     -49.0123883    411.1844182    264.4957713    127.7969115
     440.000     -53.1547787    417.2729523    265.1787066    130.4453203
     450.000     -57.3574409    423.2395260    265.8196983    133.1003458
     460.000     -61.6191777    429.0886156    266.4220519    135.7615855
     470.000     -65.9388358    434.8244763    266.9887597    138.4286681
     480.000     -70.3153033    440.4511546    267.5225347    141.1012509
     490.000     -74.7475078    445.9725000    268.0258410    143.7790173
     500.000     -79.2344144    451.3921762    268.5009201    146.4616737
     510.000     -83.7750240    456.7136714    268.9498143    149.1489484
     520.000     -88.3683716    461.9403088    269.3743870    151.8405889
     530.000     -93.0135246    467.0752554    269.7763412    154.5363608
     540.000     -97.7095812    472.1215311    270.1572354    157.2360456
     550.000    -102.4556693    477.0820169    270.5184978    159.9394400
     560.000    -107.2509448    481.9594629    270.8614390    162.6463545
     570.000    -112.0945905    486.7564952    271.1872635    165.3566118
     580.000    -116.9858150    491.4756231    271.4970793    168.0700464
     590.000    -121.9238513    496.1192452    271.7919074    170.7865034
     600.000    -126.9079559    500.6896560    272.0726894    173.5058377
     610.000    -131.9374077    505.1890508    272.3402949    176.2279133
     620.000    -137.0115072    509.6195316    272.5955280    178.9526024
     630.000    -142.1295753    513.9831118    272.8391326    181.6797851
     640.000    -147.2909528    518.2817210    273.0717986    184.4093486
     650.000    -152.4949994    522.5172094    273.2941654    187.1411867
     660.000    -157.7410926    526.6913517    273.5068272    189.8751995
     670.000    -163.0286276    530.8058513    273.7103359    192.6112928
     680.000    -168.3570162    534.8623437    273.9052054    195.3493775
     690.000    -173.7256863    538.8624000    274.0919141    198.0893697
     700.000    -179.1340812    542.8075303    274.2709081    200.8311900
     710.000    -184.5816587    546.6991862    274.4426036    203.5747635
     720.000    -190.0678913    550.5387644    274.6073893    206.3200191
     730.000    -195.5922649    554.3276087    274.7656285    209.0668895
     740.000    -201.1542787    558.0670130    274.9176613    211.8153110
     750.000    -206.7534445    561.7582235    275.0638059    214.5652231
     760.000    -212.3892865    565.4024407    275.2043607    217.3165685
     770.000    -218.0613405    569.0008223    275.3396053    220.0692926
     780.000    -223.7691539    572.5544841    275.4698024    222.8233437
     790.000    -229.5122848    576.0645030    275.5951986    225.5786726
     800.000    -235.2903019    579.5319180    275.7160257    228.3352325
     810.000    -241.1027844    582.9577322    275.8325020    231.0929787
     820.000    -246.9493211    586.3429144    275.9448325    233.8518687
     830.000    -252.8295104    589.6884007    276.0532109    236.6118621
     840.000    -258.7429599    592.9950955    276.1578193    239.3729204
     850.000    -264.6892859    596.2638735    276.2588298    242.1350065
