#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      33.6745771      0.0000000      0.0000000     33.6745771
      10.000      33.6737005      0.3217432      0.8375541     33.6769180
      20.000      33.6638059      1.9454836      5.1171592     33.7027156
      30.000      33.6280422      5.5517294     13.8313667     33.7945941
      40.000      33.5466123     10.9967880     24.7510612     33.9864838
      50.000      33.4036917     17.7726602     36.5127236     34.2923247
      60.000      33.1879938     25.5019965     48.6852882     34.7181136
      70.000      32.8913405     33.9262172     60.9001631     35.2661757
      80.000      32.5078456     42.8385566     72.7622230     35.9349301
      90.000      32.0335327     52.0628864     83.9604834     36.7191925
     100.000      31.4660398     61.4526481     94.3119447     37.6113046
     110.000      30.8043199     70.8912735    103.7445011     38.6023600
     120.000      30.0483503     80.2898997    112.2615623     39.6831383
     130.000      29.1988750     89.5832295    119.9103886     40.8446949
     140.000      28.2571928     98.7249125    126.7598117     42.0786806
     150.000      27.2249891    107.6832842    132.8863871     43.3774817
     160.000      26.1042076    116.4377898    138.3665059     44.7342540
     170.000      24.8969544    124.9761387    143.2722833     46.1428980
     180.000      23.6054266    133.2921069    147.6696876     47.5980058
     190.000      22.2318600    141.3838702    151.6179387     49.0947953
     200.000      20.7784923    149.2527547    155.1695881     50.6290433
     210.000      19.2475362    156.9023042    158.3709412     52.1970201
     220.000      17.6411606    164.3375903    161.2626277     53.7954304
     230.000      15.9614784    171.5647004    163.8802143     55.4213595
     240.000      14.2105381    178.5903628    166.2548032     57.0722252
     250.000      12.3903190    185.4216703    168.4135881     58.7457366
     260.000      10.5027284    192.0658802    170.3803568     60.4398572
     270.000       8.5496008    198.5302688    172.1759370     62.1527734
     280.000       6.5326984    204.8220287    173.8185874     63.8828664
     290.000       4.4537122    210.9481960    175.3243383     65.6286890
     300.000       2.3142637    216.9156013    176.7072874     67.3889440
     310.000       0.1159073    222.7308375    177.9798542     69.1624670
     320.000      -2.1398670    228.4002402    179.1530002     70.9482099
     330.000      -4.4516316    233.9298776    180.2364190     72.7452280
     340.000      -6.8180180    239.3255468    181.2386990     74.5526679
     350.000      -9.2377144    244.5927756    182.1674649     76.3697570
     360.000     -11.7094630    249.7368272    183.0294985     78.1957948
     370.000     -14.2320571    254.7627078    183.8308442     80.0301448
     380.000     -16.8043391    259.6751752    184.5768992     81.8722275
     390.000     -19.4251977    264.4787494    185.2724923     83.7215146
     400.000     -22.0935655    269.1777226    185.9219516     85.5775236
     410.000     -24.8084171    273.7761705    186.5291639     87.4398129
     420.000     -27.5687667    278.2779629    187.0976256     89.3079777
     430.000     -30.3736664    282.6867747    187.6304882     91.1816467
     440.000     -33.2222039    287.0060961    188.1305966     93.0604783
     450.000     -36.1135011    291.2392426    188.6005236     94.9441581
     460.000     -39.0467120    295.3893653    189.0425998     96.8323960
     470.000     -42.0210217    299.4594595    189.4589399     98.7249243
     480.000     -45.0356440    303.4523738    189.8514656    100.6214954
     490.000     -48.0898209    307.3708184    190.2219258    102.5218801
     500.000     -51.1828207    311.2173729    190.5719150    104.4258657
     510.000     -54.3139369    314.9944940    190.9028885    106.3332550
     520.000     -57.4824870    318.7045222    191.2161770    108.2438646
     530.000     -60.6878112    322.3496884    191.5129986    110.1575237
     540.000     -63.9292716    325.9321204    191.7944699    112.0740734
     550.000     -67.2062513    329.4538484    192.0616159    113.9933653
     560.000     -70.5181527    332.9168104    192.3153788    115.9152611
     570.000     -73.8643978    336.3228578    192.5566257    117.8396312
     580.000     -77.2444261    339.6737597    192.7861553    119.7663546
     590.000     -80.6576948    342.9712076    193.0047047    121.6953177
     600.000     -84.1036775    346.2168196    193.2129547    123.6264143
     610.000     -87.5818636    349.4121445    193.4115345    125.5595446
     620.000     -91.0917577    352.5586652    193.6010269    127.4946147
     630.000     -94.6328789    355.6578025    193.7819717    129.4315366
     640.000     -98.2047603    358.7109182    193.9548698    131.3702273
     650.000    -101.8069482    361.7193185    194.1201863    133.3106088
     660.000    -105.4390018    364.6842562    194.2783536    135.2526072
     670.000    -109.1004925    367.6069341    194.4297737    137.1961533
     680.000    -112.7910035    370.4885073    194.5748215    139.1411815
     690.000    -116.5101293    373.3300856    194.7138462    141.0876297
     700.000    -120.2574755    376.1327355    194.8471735    143.0354394
     710.000    -124.0326577    378.8974830    194.9751080    144.9845552
     720.000    -127.8353021    381.6253147    195.0979339    146.9349246
     730.000    -131.6650441    384.3171806    195.2159175    148.8864977
     740.000    -135.5215288    386.9739952    195.3293078    150.8392276
     750.000    -139.4044101    389.5966393    195.4383383    152.7930694
     760.000    -143.3133506    392.1859620    195.5432280    154.7479806
     770.000    -147.2480210    394.7427816    195.6441823    156.7039208
     780.000    -151.2081005    397.2678875    195.7413942    158.6608517
     790.000    -155.1932756    399.7620411    195.8350450    160.6187368
     800.000    -159.2032406    402.2259774    195.9253055    162.5775413
     810.000    -163.2376968    404.6604061    196.0123360    164.5372322
     820.000    -167.2963526    407.0660127    196.0962880    166.4977778
     830.000    -171.3789232    409.4434594    196.1773039    168.4591481
     840.000    -175.4851301    411.7933865    196.2555182    170.4213145
     850.000    -179.6147013    414.1164128    196.3310578    172.3842496
     860.000    -183.7673707    416.4131370    196.4040426    174.3479272
     870.000    -187.9428783    418.6841386    196.4745857    176.3123223
     880.000    -192.1409696    420.9299780    196.5427942    178.2774111
     890.000    -196.3613958    423.1511983    196.6087695    180.2431707
     900.000    -200.6039132    425.3483251    196.6726073    182.2095794
     910.000    -204.8682836    427.5218678    196.7343987    184.1766161
     920.000    -209.1542736    429.6723200    196.7942295    186.1442608
     930.000    -213.4616547    431.8001603    196.8521816    188.1124944
     940.000    -217.7902030    433.9058526    196.9083322    190.0812984
     950.000    -222.1396994    435.9898470    196.9627550    192.0506553
     960.000    -226.5099291    438.0525803    197.0155198    194.0205480
     970.000    -230.9006816    440.0944762    197.0666928    195.9909604
     980.000    -235.3117505    442.1159462    197.1163372    197.9618768
     990.000    -239.7429337    444.1173898    197.1645130    199.9332822
    1000.000    -244.1940329    446.0991952    197.2112773    201.9051623
    1010.000    -248.6648534    448.0617393    197.2566844    203.8775032
    1020.000    -253.1552047    450.0053885    197.3007862    205.8502917
    1030.000    -257.6648994    451.9304992    197.3436319    207.8235148
    1040.000    -262.1937540    453.8374176    197.3852686    209.7971603
    1050.000    -266.7415882    455.7264805    197.4257412    211.7712163
    1060.000    -271.3082252    457.5980156    197.4650925    213.7456714
    1070.000    -275.8934912    459.4523418    197.5033634    215.7205145
    1080.000    -280.4972157    461.2897693    197.5405929    217.6957352
    1090.000    -285.1192312    463.1106003    197.5768183    219.6713230
    1100.000    -289.7593734    464.9151288    197.6120753    221.6472683
    1110.000    -294.4174804    466.7036413    197.6463979    223.6235614
    1120.000    -299.0933937    468.4764169    197.6798188    225.6001932
    1130.000    -303.7869572    470.2337275    197.7123691    227.5771549
    1140.000    -308.4980176    471.9758381    197.7440788    229.5544378
    1150.000    -313.2264242    473.7030069    197.7749764    231.5320338
    1160.000    -317.9720288    475.4154858    197.8050893    233.5099347
    1170.000    -322.7346858    477.1135203    197.8344439    235.4881330
    1180.000    -327.5142518    478.7973500    197.8630651    237.4666212
    1190.000    -332.3105862    480.4672085    197.8909773    239.4453920
    1200.000    -337.1235502    482.1233239    197.9182035    241.4244384
    1210.000    -341.9530076    483.7659185    197.9447660    243.4037538
    1220.000    -346.7988242    485.3952097    197.9706861    245.3833316
    1230.000    -351.6608681    487.0114094    197.9959843    247.3631655
    1240.000    -356.5390095    488.6147248    198.0206803    249.3432493
    1250.000    -361.4331204    490.2053580    198.0447929    251.3235771
    1260.000    -366.3430750    491.7835066    198.0683404    253.3041433
    1270.000    -371.2687495    493.3493635    198.0913403    255.2849421
    1280.000    -376.2100219    494.9031174    198.1138092    257.2659683
    1290.000    -381.1667722    496.4449525    198.1357635    259.2472166
    1300.000    -386.1388819    497.9750491    198.1572187    261.2286819
    1310.000    -391.1262346    499.4935832    198.1781896    263.2103593
    1320.000    -396.1287156    501.0007270    198.1986909    265.1922441
    1330.000    -401.1462117    502.4966491    198.2187362    267.1743316
