#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000       6.6372788      0.0000000      0.0000000      6.6372788
      10.000       6.6359755      0.4284757      0.9268601      6.6402602
      20.000       6.6255459      1.8007740      3.5638333      6.6615613
      30.000       6.5975970      3.8744732      6.8846013      6.7138312
      40.000       6.5470086      6.2679201      9.7875577      6.7977254
      50.000       6.4720926      8.7112915     12.1252915      6.9076571
      60.000       6.3729561     11.1054438     14.1747815      7.0392827
      70.000       6.2501868     13.4392892     16.1542213      7.1909371
      80.000       6.1043280     15.7256825     18.1354285      7.3623826
      90.000       5.9357938     17.9756233     20.1021216      7.5535999
     100.000       5.7449234     20.1930544     22.0101303      7.7642288
     110.000       5.5320454     22.3765863     23.8188629      7.9934699
     120.000       5.2975179     24.5222204     25.5015598      8.2401843
     130.000       5.0417428     26.6253402     27.0453845      8.5030370
     140.000       4.7651667     28.6818162     28.4481127      8.7806209
     150.000       4.4682727     30.6884778     29.7144809      9.0715443
     160.000       4.1515703     32.6432167     30.8532377      9.3744850
     170.000       3.8155853     34.5449060     31.8750659      9.6882193
     180.000       3.4608501     36.3932447     32.7912382     10.0116342
     190.000       3.0878971     38.1885879     33.6128083     10.3437288
     200.000       2.6972522     39.9317876     34.3501653     10.6836097
     210.000       2.2894311     41.6240574     35.0128189     11.0304832
     220.000       1.8649359     43.2668625     35.6093270     11.3836457
     230.000       1.4242533     44.8618321     36.1473061     11.7424747
     240.000       0.9678530     46.4106927     36.6334861     12.1064193
     250.000       0.4961873     47.9152173     37.0737863     12.4749916
     260.000       0.0096905     49.3771882     37.4733990     12.8477594
     270.000      -0.4912206     50.7983693     37.8368730     13.2243392
     280.000      -1.0061467     52.1804873     38.1681916     13.6043898
     290.000      -1.5347057     53.5252178     38.4708440     13.9876075
     300.000      -2.0765318     54.8341771     38.7478894     14.3737213
     310.000      -2.6312752     56.1089163     39.0020130     14.7624889
     320.000      -3.1986010     57.3509190     39.2355752     15.1536931
     330.000      -3.7781891     58.5615999     39.4506548     15.5471388
     340.000      -4.3697331     59.7423053     39.6490855     15.9426507
     350.000      -4.9729396     60.8943145     39.8324878     16.3400705
     360.000      -5.5875278     62.0188415     40.0022972     16.7392552
     370.000      -6.2132287     63.1170379     40.1597875     17.1400754
     380.000      -6.8497844     64.1899949     40.3060910     17.5424136
     390.000      -7.4969479     65.2387466     40.4422170     17.9461633
     400.000      -8.1544819     66.2642725     40.5690663     18.3512271
     410.000      -8.8221590     67.2675009     40.6874448     18.7575164
     420.000      -9.4997606     68.2493112     40.7980747     19.1649501
     430.000     -10.1870766     69.2105368     40.9016047     19.5734542
     440.000     -10.8839053     70.1519678     40.9986184     19.9829605
     450.000     -11.5900525     71.0743536     41.0896418     20.3934066
     460.000     -12.3053313     71.9784049     41.1751497     20.8047350
     470.000     -13.0295617     72.8647966     41.2555720     21.2168927
     480.000     -13.7625705     73.7341693     41.3312979     21.6298308
     490.000     -14.5041904     74.5871318     41.4026808     22.0435041
     500.000     -15.2542604     75.4242627     41.4700420     22.4578710
     510.000     -16.0126248     76.2461124     41.5336739     22.8728926
     520.000     -16.7791334     77.0532045     41.5938433     23.2885329
     530.000     -17.5536413     77.8460378     41.6507939     23.7047587
     540.000     -18.3360082     78.6250871     41.7047485     24.1215388
     550.000     -19.1260986     79.3908054     41.7559113     24.5388444
     560.000     -19.9237814     80.1436245     41.8044696     24.9566484
     570.000     -20.7289295     80.8839564     41.8505953     25.3749256
     580.000     -21.5414202     81.6121946     41.8944465     25.7936527
     590.000     -22.3611343     82.3287149     41.9361691     26.2128075
     600.000     -23.1879566     83.0338767     41.9758971     26.6323694
     610.000     -24.0217751     83.7280235     42.0137547     27.0523192
     620.000     -24.8624815     84.4114841     42.0498563     27.4726387
     630.000     -25.7099703     85.0845731     42.0843081     27.8933108
     640.000     -26.5641394     85.7475922     42.1172082     28.3143196
     650.000     -27.4248895     86.4008302     42.1486476     28.7356501
     660.000     -28.2921243     87.0445641     42.1787110     29.1572880
     670.000     -29.1657500     87.6790597     42.2074768     29.5792200
     680.000     -30.0456755     88.3045721     42.2350182     30.0014335
     690.000     -30.9318123     88.9213461     42.2614031     30.4239165
     700.000     -31.8240741     89.5296171     42.2866951     30.8466579
     710.000     -32.7223771     90.1296113     42.3109531     31.2696470
     720.000     -33.6266395     90.7215461     42.3342325     31.6928737
     730.000     -34.5367818     91.3056306     42.3565849     32.1163285
     740.000     -35.4527266     91.8820663     42.3780585     32.5400025
     750.000     -36.3743983     92.4510469     42.3986986     32.9638869
     760.000     -37.3017233     93.0127593     42.4185475     33.3879738
     770.000     -38.2346298     93.5673834     42.4376449     33.8122554
     780.000     -39.1730479     94.1150926     42.4560280     34.2367243
     790.000     -40.1169092     94.6560543     42.4737318     34.6613737
