#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      14.7485962      0.0000000      0.0000000     14.7485962
      10.000      14.7482273      0.1238507      0.3198838     14.7494658
      20.000      14.7439653      0.9070530      2.7610170     14.7621063
      30.000      14.7256037      3.0021914      8.3669168     14.8156694
      40.000      14.6796785      6.3590946     15.3866082     14.9340423
      50.000      14.5956407     10.5547938     22.4372559     15.1233804
      60.000      14.4669483     15.2456418     29.1659837     15.3816868
      70.000      14.2897742     20.2251531     35.5441298     15.7055349
      80.000      14.0619063     25.3675846     41.5444507     16.0913130
      90.000      13.7821685     30.5869326     47.1156878     16.5349924
     100.000      13.4501261     35.8192509     52.2151561     17.0320511
     110.000      13.0659034     41.0159979     56.8257901     17.5776631
     120.000      12.6300464     46.1409775     60.9560785     18.1669637
     130.000      12.1434107     51.1681638     64.6328972     18.7952720
     140.000      11.6070692     56.0797503     67.8936228     19.4582343
     150.000      11.0222394     60.8643803     70.7799529     20.1518965
     160.000      10.3902267     65.5156165     73.3338005     20.8727253
     170.000       9.7123813     70.0306806     75.5948889     21.6175970
     180.000       8.9900676     74.4094508     77.5995362     22.3837687
     190.000       8.2246409     78.6536878     79.3801973     23.1688416
     200.000       7.4174322     82.7664477     80.9654506     23.9707217
     210.000       6.5697372     86.7516451     82.3802247     24.7875827
     220.000       5.6828097     90.6137303     83.6461378     25.6178303
     230.000       4.7578571     94.3574550     84.7818743     26.4600718
     240.000       3.7960388     97.9877044     85.8035567     27.3130879
     250.000       2.7984650    101.5093774     86.7250917     28.1758093
     260.000       1.7661971    104.9273038     87.5584810     29.0472961
     270.000       0.7002490    108.2461882     88.3140939     29.9267198
     280.000      -0.3984117    111.4705730     89.0009040     30.8133487
     290.000      -1.5288620    114.6048159     89.6266917     31.7065346
     300.000      -2.6902214    117.6530775     90.1982181     32.6057018
     310.000      -3.8816502    120.6193161     90.7213714     33.5103378
     320.000      -5.1023469    123.5072878     91.2012922     34.4199852
     330.000      -6.3515469    126.3205501     91.6424796     35.3342346
     340.000      -7.6285201    129.0624676     92.0488807     36.2527189
     350.000      -8.9325691    131.7362199     92.4239672     37.1751079
     360.000     -10.2630273    134.3448094     92.7708000     38.1011041
     370.000     -11.6192575    136.8910710     93.0920845     39.0304388
     380.000     -13.0006499    139.3776804     93.3902174     39.9628686
     390.000     -14.4066207    141.8071635     93.6673273     40.8981731
     400.000     -15.8366107    144.1819054     93.9253086     41.8361514
     410.000     -17.2900839    146.5041585     94.1658512     42.7766211
     420.000     -18.7665260    148.7760510     94.3904659     43.7194154
