#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000       4.6100472      0.0000000      0.0000000      4.6100472
      10.000       4.6097172      0.1265545      0.3546136      4.6109827
      20.000       4.6053707      0.8965562      2.5424428      4.6233019
      30.000       4.5881123      2.7484525      7.2671954      4.6705659
      40.000       4.5468498      5.6558164     13.3250587      4.7730825
      50.000       4.4725941      9.2842421     19.3313255      4.9368062
      60.000       4.3599299     13.2868167     24.5844221      5.1571389
      70.000       4.2064552     17.4134750     28.9161156      5.4253984
      80.000       4.0117657     21.5108080     32.4005211      5.7326303
      90.000       3.7766247     25.4938333     35.1829837      6.0710697
     100.000       3.5024138     29.3202271     37.4085804      6.4344365
     110.000       3.1908014     32.9726767     39.1996834      6.8177959
     120.000       2.8435516     36.4479588     40.6529917      7.2173067
     130.000       2.4624186     39.7504696     41.8428891      7.6299796
     140.000       2.0490908     42.8884721     42.8260634      8.0534769
     150.000       1.6051643     45.8719507     43.6456961      8.4859569
     160.000       1.1321318     48.7114048     44.3348184      8.9259566
     170.000       0.6313817     51.4171878     44.9188652      9.3723036
     180.000       0.1042007     53.9991624     45.4175764      9.8240499
     190.000      -0.4482196     56.4665379     45.8464007     10.2804226
     200.000      -1.0247765     58.8278119     46.2175314     10.7407859
     210.000      -1.6244482     61.0907698     46.5406734     11.2046134
     220.000      -2.2462879     63.2625156     46.8236138     11.6714655
     230.000      -2.8894161     65.3495172     47.0726500     12.1409728
     240.000      -3.5530154     67.3576590     47.2929127     12.6128227
     250.000      -4.2363243     69.2922945     47.4886112     13.0867493
     260.000      -4.9386326     71.1582974     47.6632229     13.5625247
     270.000      -5.6592764     72.9601092     47.8196381     14.0399531
     280.000      -6.3976343     74.7017832     47.9602740     14.5188649
     290.000      -7.1531240     76.3870234     48.0871633     14.9991128
     300.000      -7.9251980     78.0192206     48.2020249     15.4805681
     310.000      -8.7133419     79.6014841     48.3063195     15.9631181
     320.000      -9.5170708     81.1366697     48.4012946     16.4466635
     330.000     -10.3359272     82.6274052     48.4880200     16.9311165
     340.000     -11.1694788     84.0761127     48.5674178     17.4163995
     350.000     -12.0173168     85.4850284     48.6402853     17.9024431
     360.000     -12.8790537     86.8562206     48.7073151     18.3891857
     370.000     -13.7543219     88.1916051     48.7691109     18.8765720
     380.000     -14.6427724     89.4929596     48.8262008     19.3645523
     390.000     -15.5440732     90.7619360     48.8790482     19.8530819
     400.000     -16.4579083     92.0000719     48.9280613     20.3421205
     410.000     -17.3839766     93.2088003     48.9736004     20.8316315
     420.000     -18.3219908     94.3894588     49.0159847     21.3215820
     430.000     -19.2716764     95.5432978     49.0554979     21.8119417
     440.000     -20.2327712     96.6714873     49.0923924     22.3026832
     450.000     -21.2050243     97.7751240     49.1268938     22.7937815
     460.000     -22.1881953     98.8552371     49.1592038     23.2852138
     470.000     -23.1820539     99.9127931     49.1895034     23.7769589
     480.000     -24.1863790    100.9487014     49.2179556     24.2689977
     490.000     -25.2009586    101.9638182     49.2447070     24.7613123
     500.000     -26.2255888    102.9589507     49.2698901     25.2538866
     510.000     -27.2600735    103.9348605     49.2936247     25.7467053
     520.000     -28.3042243    104.8922671     49.3160196     26.2397546
     530.000     -29.3578595    105.8318510     49.3371733     26.7330216
     540.000     -30.4208041    106.7542561     49.3571757     27.2264942
     550.000     -31.4928894    107.6600925     49.3761086     27.7201615
     560.000     -32.5739526    108.5499388     49.3940468     28.2140131
     570.000     -33.6638367    109.4243439     49.4110586     28.7080394
     580.000     -34.7623898    110.2838296     49.4272064     29.2022314
     590.000     -35.8694652    111.1288915     49.4425478     29.6965808
     600.000     -36.9849211    111.9600015     49.4571354     30.1910798
     610.000     -38.1086202    112.7776088     49.4710177     30.6857212
     620.000     -39.2404297    113.5821414     49.4842393     31.1804980
     630.000     -40.3802208    114.3740075     49.4968414     31.6754039
     640.000     -41.5278689    115.1535965     49.5088621     32.1704329
     650.000     -42.6832531    115.9212806     49.5203365     32.6655793
     660.000     -43.8462560    116.6774150     49.5312972     33.1608379
     670.000     -45.0167640    117.4223398     49.5417743     33.6562036
     680.000     -46.1946665    118.1563800     49.5517958     34.1516719
     690.000     -47.3798564    118.8798471     49.5613877     34.6472381
     700.000     -48.5722292    119.5930393     49.5705742     35.1428983
     710.000     -49.7716838    120.2962425     49.5793778     35.6386483
     720.000     -50.9781217    120.9897310     49.5878193     36.1344846
     730.000     -52.1914470    121.6737679     49.5959185     36.6304036
     740.000     -53.4115664    122.3486058     49.6036934     37.1264019
     750.000     -54.6383892    123.0144875     49.6111612     37.6224764
     760.000     -55.8718271    123.6716464     49.6183379     38.1186242
     770.000     -57.1117938    124.3203066     49.6252382     38.6148423
     780.000     -58.3582056    124.9606842     49.6318763     39.1111281
     790.000     -59.6109806    125.5929868     49.6382652     39.6074790
     800.000     -60.8700391    126.2174146     49.6444172     40.1038926
     810.000     -62.1353033    126.8341603     49.6503440     40.6003666
     820.000     -63.4066973    127.4434098     49.6560562     41.0968987
     830.000     -64.6841471    128.0453423     49.6615642     41.5934870
     840.000     -65.9675803    128.6401306     49.6668775     42.0901294
     850.000     -67.2569264    129.2279416     49.6720053     42.5868239
     860.000     -68.5521164    129.8089364     49.6769560     43.0835689
     870.000     -69.8530830    130.3832706     49.6817377     43.5803625
     880.000     -71.1597602    130.9510946     49.6863580     44.0772031
     890.000     -72.4720836    131.5125537     49.6908241     44.5740891
     900.000     -73.7899905    132.0677884     49.6951428     45.0710191
     910.000     -75.1134191    132.6169348     49.6993204     45.5679915
     920.000     -76.4423093    133.1601243     49.7033630     46.0650050
     930.000     -77.7766022    133.6974844     49.7072764     46.5620583
     940.000     -79.1162400    134.2291385     49.7110661     47.0591502
     950.000     -80.4611663    134.7552059     49.7147371     47.5562793
     960.000     -81.8113259    135.2758025     49.7182944     48.0534445
     970.000     -83.1666645    135.7910405     49.7217426     48.5506448
     980.000     -84.5271292    136.3010288     49.7250862     49.0478790
     990.000     -85.8926679    136.8058729     49.7283293     49.5451462
    1000.000     -87.2632298    137.3056751     49.7314759     50.0424453
