# T/K,mu (10.0 Pa) / J mol-1,mu (26.8269579528 Pa) / J mol-1,mu (71.9685673001 Pa) / J mol-1,mu (193.069772888 Pa) / J mol-1,mu (517.947467923 Pa) / J mol-1,mu (1389.49549437 Pa) / J mol-1,mu (3727.59372031 Pa) / J mol-1,mu (10000.0 Pa) / J mol-1,mu (26826.9579528 Pa) / J mol-1,mu (71968.5673001 Pa) / J mol-1,mu (193069.772888 Pa) / J mol-1,mu (517947.467923 Pa) / J mol-1,mu (1389495.49437 Pa) / J mol-1,mu (3727593.72031 Pa) / J mol-1,mu (10000000.0 Pa) / J mol-1
200,-4980.2648,-4775.1423,-4570.0199,-4364.8975,-4159.7750,-3954.6526,-3749.5302,-3544.4078,-3339.2854,-3134.1630,-2929.0406,-2723.9182,-2518.7958,-2313.6733,-2108.5509
210,-5541.4439,-5326.0653,-5110.6866,-4895.3080,-4679.9294,-4464.5509,-4249.1723,-4033.7937,-3818.4151,-3603.0366,-3387.6580,-3172.2795,-2956.9010,-2741.5224,-2526.1439
220,-6110.7984,-5885.1635,-5659.5286,-5433.8938,-5208.2589,-4982.6241,-4756.9893,-4531.3546,-4305.7198,-4080.0851,-3854.4504,-3628.8156,-3403.1809,-3177.5462,-2951.9116
230,-6688.1196,-6452.2282,-6216.3369,-5980.4456,-5744.5544,-5508.6633,-5272.7722,-5036.8811,-4800.9901,-4565.0991,-4329.2081,-4093.3172,-3857.4263,-3621.5354,-3385.6445
240,-7273.2053,-7027.0571,-6780.9090,-6534.7611,-6288.6133,-6042.4656,-5796.3180,-5550.1705,-5304.0231,-5057.8757,-4811.7284,-4565.5811,-4319.4339,-4073.2867,-3827.1396
250,-7865.8605,-7609.4549,-7353.0496,-7096.6445,-6840.2397,-6583.8351,-6327.4307,-6071.0265,-5814.6224,-5558.2184,-5301.8145,-5045.4108,-4789.0071,-4532.6035,-4276.2000
260,-8465.8981,-8199.2340,-7932.5706,-7665.9076,-7399.2451,-7132.5829,-6865.9212,-6599.2597,-6332.5985,-6065.9376,-5799.2768,-5532.6163,-5265.9559,-4999.2957,-4732.6356
270,-9073.1386,-8796.2145,-8519.2915,-8242.3694,-7965.4480,-7688.5274,-7411.6074,-7134.6880,-6857.7690,-6580.8505,-6303.9324,-6027.0146,-5750.0971,-5473.1799,-5196.2628
280,-9687.4113,-9400.2248,-9113.0400,-8825.8569,-8538.6750,-8251.4945,-7964.3149,-7677.1364,-7389.9586,-7102.7816,-6815.6053,-6528.4295,-6241.2543,-5954.0795,-5666.9051
290,-10308.5544,-10011.1019,-9713.6523,-9416.2052,-9118.7605,-8821.3177,-8523.8767,-8226.4373,-7928.9993,-7631.5624,-7334.1267,-7036.6920,-6739.2580,-6441.8249,-6144.3924
