        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                       2.8.1

Python version 3.9.7
Spglib version 1.16.3

Phonopy configuration was read from "mesh.conf".
Calculator interface: aims
Crystal structure was read from "phonopy_disp.yaml".
Unit of length: angstrom
Mesh sampling mode
Settings:
  Sampling mesh: [64 64 32]
  Supercell: [2 2 2]
  Primitive matrix (Auto):
    [ 1.00000000e+00 -5.55111512e-17  0.00000000e+00]
    [-5.55111512e-17  1.00000000e+00  0.00000000e+00]
    [0. 0. 1.]
Spacegroup: P-3m1 (164)
Use -v option to watch primitive cell, unit cell, and supercell structures.

Force sets were not found in "phonopy_disp.yaml".
Forces and displacements were read from "FORCE_SETS".
Computing force constants...
Max drift of force constants: 0.001497 (yy) 0.000000 (yy)

Mesh numbers: [64 64 32]
Number of irreducible q-points on sampling mesh: 33280/131072
Calculating phonons on sampling mesh...
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      11.3640103      0.0000000      0.0000000     11.3640103
      10.000      11.3638454      0.0720389      0.2540134     11.3645657
      20.000      11.3602741      0.8205043      2.5723030     11.3766842
      30.000      11.3441863      2.5218515      6.1191570     11.4198419
      40.000      11.3079474      4.8007205      9.9678755     11.4999762
      50.000      11.2468571      7.4774448     14.2652589     11.6207293
      60.000      11.1572751     10.4910728     18.9926319     11.7867394
      70.000      11.0360896     13.7879745     23.9191834     12.0012479
      80.000      10.8807935     17.3013772     28.7824393     12.2649037
      90.000      10.6895771     20.9604981     33.3862078     12.5760220
     100.000      10.4613147     24.7006641     37.6182079     12.9313811
     110.000      10.1954735     28.4683463     41.4332930     13.3269916
     120.000       9.8919953     32.2221269     44.8302582     13.7586505
     130.000       9.5511798     35.9315447     47.8327672     14.2222807
     140.000       9.1735845     39.5751755     50.4763453     14.7141091
     150.000       8.7599441     43.1386571     52.8004246     15.2307427
     160.000       8.3111091     46.6129591     54.8438933     15.7691825
     170.000       7.8279995     49.9929789     56.6428520     16.3268059
     180.000       7.3115715     53.2764520     58.2296758     16.9013329
     190.000       6.7627933     56.4631277     59.6328022     17.4907875
     200.000       6.1826279     59.5541565     60.8768975     18.0934592
     210.000       5.5720220     62.5516403     61.9831964     18.7078665
     220.000       4.9318979     65.4583042     62.9699032     19.3327248
     230.000       4.2631483     68.2772599     63.8525943     19.9669181
     240.000       3.5666339     71.0118360     64.6445920     20.6094746
     250.000       2.8431814     73.6654574     65.3572985     21.2595458
     260.000       2.0935832     76.2415607     66.0004860     21.9163890
     270.000       1.3185973     78.7435355     66.5825464     22.5793519
     280.000       0.5189485     81.1746849     67.1107018     23.2478603
     290.000      -0.3046709     83.5382002     67.5911840     23.9214071
     300.000      -1.1516002     85.8371446     68.0293839     24.5995431
     310.000      -2.0212084     88.0744448     68.4299781     25.2818695
     320.000      -2.9128930     90.2528873     68.7970345     25.9680310
     330.000      -3.8260788     92.3751183     69.1341018     26.6577103
     340.000      -4.7602163     94.4436463     69.4442842     27.3506234
     350.000      -5.7147806     96.4608459     69.7303044     28.0465155
     360.000      -6.6892697     98.4289629     69.9945570     28.7451570
     370.000      -7.6832033    100.3501202     70.2391537     29.4463411
     380.000      -8.6961222    102.2263237     70.4659613     30.1498808
     390.000      -9.7275863    104.0594689     70.6766345     30.8556066
     400.000     -10.7771741    105.8513467     70.8726432     31.5633646
     410.000     -11.8444813    107.6036494     71.0552968     32.2730149
     420.000     -12.9291205    109.3179772     71.2257638     32.9844299
     430.000     -14.0307193    110.9958429     71.3850897     33.6974931
     440.000     -15.1489206    112.6386780     71.5342119     34.4120977
     450.000     -16.2833807    114.2478373     71.6739725     35.1281461
     460.000     -17.4337693    115.8246040     71.8051297     35.8455485
     470.000     -18.5997688    117.3701939     71.9283672     36.5642223
     480.000     -19.7810731    118.8857597     72.0443031     37.2840915
     490.000     -20.9773876    120.3723949     72.1534970     38.0050859
     500.000     -22.1884281    121.8311375     72.2564565     38.7271407
     510.000     -23.4139207    123.2629735     72.3536427     39.4501958
     520.000     -24.6536010    124.6688398     72.4454753     40.1741957
     530.000     -25.9072139    126.0496276     72.5323370     40.8990888
     540.000     -27.1745128    127.4061848     72.6145770     41.6248270
     550.000     -28.4552595    128.7393190     72.6925149     42.3513660
     560.000     -29.7492236    130.0497993     72.7664431     43.0786640
     570.000     -31.0561824    131.3383592     72.8366300     43.8066824
     580.000     -32.3759201    132.6056983     72.9033220     44.5353849
     590.000     -33.7082279    133.8524844     72.9667456     45.2647379
     600.000     -35.0529034    135.0793551     73.0271096     45.9947096
     610.000     -36.4097506    136.2869199     73.0846063     46.7252705
     620.000     -37.7785794    137.4757616     73.1394133     47.4563928
     630.000     -39.1592053    138.6464376     73.1916947     48.1880504
     640.000     -40.5514494    139.7994815     73.2416024     48.9202188
     650.000     -41.9551379    140.9354044     73.2892772     49.6528750
     660.000     -43.3701020    142.0546960     73.3348495     50.3859973
     670.000     -44.7961779    143.1578258     73.3784406     51.1195654
     680.000     -46.2332062    144.2452442     73.4201629     51.8535599
     690.000     -47.6810319    145.3173835     73.4601212     52.5879628
     700.000     -49.1395043    146.3746587     73.4984132     53.3227568
     710.000     -50.6084768    147.4174684     73.5351297     54.0579258
     720.000     -52.0878067    148.4461960     73.5703556     54.7934544
     730.000     -53.5773550    149.4612099     73.6041701     55.5293282
     740.000     -55.0769864    150.4628645     73.6366473     56.2655333
     750.000     -56.5865689    151.4515011     73.6678565     57.0020569
     760.000     -58.1059741    152.4274481     73.6978626     57.7388865
     770.000     -59.6350767    153.3910221     73.7267263     58.4760103
     780.000     -61.1737543    154.3425278     73.7545047     59.2134174
     790.000     -62.7218880    155.2822594     73.7812513     59.9510970
     800.000     -64.2793612    156.2105004     73.8070164     60.6890391
     810.000     -65.8460606    157.1275244     73.8318473     61.4272342
     820.000     -67.4218752    158.0335955     73.8557884     62.1656731
     830.000     -69.0066968    158.9289687     73.8788816     62.9043472
     840.000     -70.6004197    159.8138902     73.9011663     63.6432481
     850.000     -72.2029406    160.6885982     73.9226797     64.3823679
     860.000     -73.8141584    161.5533228     73.9434568     65.1216992
     870.000     -75.4339745    162.4082865     73.9635308     65.8612347
     880.000     -77.0622923    163.2537044     73.9829330     66.6009676
     890.000     -78.6990175    164.0897851     74.0016929     67.3408912
     900.000     -80.3440576    164.9167300     74.0198384     68.0809994
     910.000     -81.9973223    165.7347344     74.0373960     68.8212860
     920.000     -83.6587231    166.5439875     74.0543908     69.5617454
     930.000     -85.3281735    167.3446726     74.0708465     70.3023720
     940.000     -87.0055886    168.1369673     74.0867856     71.0431606
     950.000     -88.6908854    168.9210437     74.1022294     71.7841061
     960.000     -90.3839826    169.6970690     74.1171982     72.5252036
     970.000     -92.0848005    170.4652052     74.1317113     73.2664486
     980.000     -93.7932610    171.2256096     74.1457868     74.0078364
     990.000     -95.5092874    171.9784347     74.1594422     74.7493629
    1000.000     -97.2328049    172.7238288     74.1726940     75.4910239

Summary of calculation was written in "phonopy.yaml".
                 _
   ___ _ __   __| |
  / _ \ '_ \ / _` |
