        _
  _ __ | |__   ___  _ __   ___   _ __  _   _
 | '_ \| '_ \ / _ \| '_ \ / _ \ | '_ \| | | |
 | |_) | | | | (_) | | | | (_) || |_) | |_| |
 | .__/|_| |_|\___/|_| |_|\___(_) .__/ \__, |
 |_|                            |_|    |___/
                                       2.8.1

Python version 3.9.7
Spglib version 1.16.3

Phonopy configuration was read from "mesh.conf".
Calculator interface: aims
Crystal structure was read from "phonopy_disp.yaml".
Unit of length: angstrom
Mesh sampling mode
Settings:
  Sampling mesh: [32 64 64]
  Supercell: [2 2 2]
  Primitive matrix (Auto):
    [ 6.9388939e-17  0.0000000e+00 -1.0000000e+00]
    [0. 1. 0.]
    [1. 0. 0.]
Spacegroup: P2_1/m (11)
Use -v option to watch primitive cell, unit cell, and supercell structures.

Force sets were not found in "phonopy_disp.yaml".
Forces and displacements were read from "FORCE_SETS".
Computing force constants...
Max drift of force constants: -0.028948 (yy) -0.000000 (zx)

Mesh numbers: [32 64 64]
Number of irreducible q-points on sampling mesh: 32768/131072
Calculating phonons on sampling mesh...
Calculating thermal properties...
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      33.6058564      0.0000000      0.0000000     33.6058564
      10.000      33.6050462      0.3053252      0.8132005     33.6080994
      20.000      33.5954605      1.8954505      5.0113476     33.6333696
      30.000      33.5605571      5.4211885     13.5234874     33.7231927
      40.000      33.4809679     10.7591562     24.3374699     33.9113341
      50.000      33.3408957     17.4457942     36.1494283     34.2131854
      60.000      33.1287709     25.1199832     48.4544992     34.6359699
      70.000      32.8360823     33.5196488     60.8143115     35.1824577
      80.000      32.4566827     42.4288849     72.7993629     35.8509935
      90.000      31.9864246     51.6631853     84.0891874     36.6361113
     100.000      31.4228477     61.0699639     94.5029225     37.5298441
     110.000      30.7648552     70.5287752    103.9743578     38.5230205
     120.000      30.0124054     79.9484330    112.5130250     39.6062174
     130.000      29.1662412     89.2623305    120.1713071     40.7703442
     140.000      28.2276698     98.4234351    127.0219409     42.0069507
     150.000      27.1983897    107.3997732    133.1443158     43.3083557
     160.000      26.0803599    116.1706962    138.6168207     44.6676713
     170.000      24.8757020    124.7239385    143.5129515     46.0787716
     180.000      23.5866277    133.0533624    147.8996165     47.5362329
     190.000      22.2153869    141.1572583    151.8366660     49.0352660
