#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000       4.5962143      0.0000000      0.0000000      4.5962143
      10.000       4.5960613      0.0674022      0.2464706      4.5967353
      20.000       4.5922486      0.9320407      3.2439747      4.6108894
      30.000       4.5724108      3.2516967      8.7516426      4.6699617
      40.000       4.5238649      6.5820137     14.6709375      4.7871455
      50.000       4.4389478     10.4643077     20.2356235      4.9621632
      60.000       4.3137611     14.5953830     25.0968553      5.1894841
      70.000       4.1468729     18.7791647     29.1573406      5.4614145
      80.000       3.9384046     22.8966666     32.4716818      5.7701379
      90.000       3.6893848     26.8817029     35.1531092      6.1087381
     100.000       3.4013229     30.7016849     37.3213848      6.4714914
     110.000       3.0759438     34.3442293     39.0819739      6.8538091
     120.000       2.7150330     37.8085650     40.5209358      7.2520608
     130.000       2.3203483     41.1002707     41.7061087      7.6633835
     140.000       1.8935738     44.2281437     42.6901840      8.0855140
     150.000       1.4362976     47.2023738     43.5139078      8.5166537
     160.000       0.9500033     50.0335013     44.2088289      8.9553635
     170.000       0.4360701     52.7318420     44.7994822      9.4004833
     180.000      -0.1042236     55.3071870     45.3050661      9.8510701
     190.000      -0.6696941     57.7686628     45.7407085     10.3063518
     200.000      -1.2592454     60.1246841     46.1184192     10.7656914
     210.000      -1.8718621     62.3829589     46.4478041     11.2285593
     220.000      -2.5066023     64.5505211     46.7366040     11.6945124
     230.000      -3.1625915     66.6337769     46.9911015     12.1631772
     240.000      -3.8390163     68.6385565     47.2164317     12.6342373
     250.000      -4.5351188     70.5701662     47.4168197     13.1074228
     260.000      -5.2501919     72.4334389     47.5957642     13.5825022
     270.000      -5.9835745     74.2327809     47.7561797     14.0592763
     280.000      -6.7346478     75.9722146     47.9005083     14.5375723
     290.000      -7.5028314     77.6554178     48.0308077     15.0172398
     300.000      -8.2875800     79.2857583     48.1488200     15.4981475
     310.000      -9.0883807     80.8663254     48.2560281     15.9801802
     320.000      -9.9047501     82.3999574     48.3536999     16.4632363
     330.000     -10.7362321     83.8892671     48.4429241     16.9472260
     340.000     -11.5823957     85.3366632     48.5246399     17.4320697
     350.000     -12.4428331     86.7443704     48.5996603     17.9176965
     360.000     -13.3171577     88.1144465     48.6686922     18.4040430
     370.000     -14.2050030     89.4487985     48.7323522     18.8910525
     380.000     -15.1060205     90.7491960     48.7911798     19.3786739
     390.000     -16.0198792     92.0172840     48.8456493     19.8668615
     400.000     -16.9462636     93.2545936     48.8961783     20.3555738
     410.000     -17.8848733     94.4625523     48.9431357     20.8447732
     420.000     -18.8354213     95.6424929     48.9868488     21.3344257
     430.000     -19.7976339     96.7956610     49.0276081     21.8245003
     440.000     -20.7712492     97.9232229     49.0656727     22.3149689
     450.000     -21.7560166     99.0262716     49.1012739     22.8058056
     460.000     -22.7516963    100.1058330     49.1346189     23.2969868
     470.000     -23.7580582    101.1628708     49.1658936     23.7884911
     480.000     -24.7748817    102.1982918     49.1952651     24.2802984
     490.000     -25.8019548    103.2129497     49.2228844     24.7723905
     500.000     -26.8390742    104.2076497     49.2488874     25.2647507
     510.000     -27.8860439    105.1831513     49.2733975     25.7573633
     520.000     -28.9426756    106.1401723     49.2965264     26.2502140
     530.000     -30.0087880    107.0793916     49.3183757     26.7432896
     540.000     -31.0842062    108.0014515     49.3390377     27.2365776
     550.000     -32.1687618    108.9069609     49.3585967     27.7300666
     560.000     -33.2622922    109.7964970     49.3771295     28.2237461
     570.000     -34.3646404    110.6706077     49.3947066     28.7176060
     580.000     -35.4756547    111.5298137     49.4113923     29.2116373
     590.000     -36.5951886    112.3746097     49.4272458     29.7058311
     600.000     -37.7231004    113.2054666     49.4423213     30.2001796
     610.000     -38.8592530    114.0228329     49.4566688     30.6946751
     620.000     -40.0035135    114.8271358     49.4703344     31.1893107
     630.000     -41.1557535    115.6187828     49.4833604     31.6840797
     640.000     -42.3158483    116.3981628     49.4957862     32.1789759
     650.000     -43.4836771    117.1656471     49.5076478     32.6739935
     660.000     -44.6591228    117.9215907     49.5189790     33.1691271
     670.000     -45.8420716    118.6663329     49.5298107     33.6643714
     680.000     -47.0324132    119.4001984     49.5401719     34.1597217
     690.000     -48.2300403    120.1234981     49.5500894     34.6551734
     700.000     -49.4348489    120.8365300     49.5595881     35.1507221
     710.000     -50.6467377    121.5395796     49.5686912     35.6463638
     720.000     -51.8656081    122.2329206     49.5774203     36.1420947
     730.000     -53.0913646    122.9168160     49.5857957     36.6379111
     740.000     -54.3239138    123.5915180     49.5938361     37.1338095
     750.000     -55.5631651    124.2572691     49.6015592     37.6297867
     760.000     -56.8090301    124.9143024     49.6089813     38.1258397
     770.000     -58.0614228    125.5628419     49.6161180     38.6219654
     780.000     -59.3202594    126.2031032     49.6229836     39.1181611
     790.000     -60.5854580    126.8352940     49.6295916     39.6144242
     800.000     -61.8569390    127.4596140     49.6359549     40.1107521
