#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      11.4452141      0.0000000      0.0000000     11.4452141
      10.000      11.4449079      0.1357056      0.4669651     11.4462649
      20.000      11.4390154      1.2642849      3.5119555     11.4643011
      30.000      11.4161792      3.4170592      7.3496659     11.5186910
      40.000      11.3691299      6.0478514     11.1384367     11.6110440
      50.000      11.2942926      8.9618471     15.1931856     11.7423849
      60.000      11.1890859     12.1179980     19.6163719     11.9161658
      70.000      11.0512149     15.4888148     24.2534173     12.1354319
      80.000      10.8787388     19.0305579     28.8768897     12.4011834
      90.000      10.6702124     22.6897424     33.2987076     12.7122892
     100.000      10.4247293     26.4135736     37.4013583     13.0660866
     110.000      10.1418792     30.1562264     41.1297836     13.4590642
     120.000       9.8216651     33.8810736     44.4725563     13.8873939
     130.000       9.4644100     37.5605224     47.4445502     14.3472779
     140.000       9.0706726     41.1747937     50.0743584     14.8351437
     150.000       8.6411768     44.7104109     52.3962041     15.3477384
     160.000       8.1767557     48.1587674     54.4451757     15.8821584
     170.000       7.6783091     51.5149109     56.2546565     16.4358440
     180.000       7.1467726     54.7765698     57.8551062     17.0065552
     190.000       6.5830940     57.9434004     59.2736290     17.5923401
     200.000       5.9882174     61.0164172     60.5339739     18.1915009
     210.000       5.3630719     63.9975685     61.6567539     18.8025613
     220.000       4.7085637     66.8894237     62.6597600     19.4242370
     230.000       4.0255713     69.6949446     63.5583008     20.0554085
     240.000       3.3149420     72.4173200     64.3655328     20.6950988
     250.000       2.5774910     75.0598466     65.0927629     21.3424527
     260.000       1.8140002     77.6258454     65.7497165     21.9967200
     270.000       1.0252183     80.1186021     66.3447710     22.6572408
     280.000       0.2118616     82.5413275     66.8851565     23.3234333
     290.000      -0.6253852     84.8971307     67.3771267     23.9947827
     300.000      -1.4858680     87.1890018     67.8261031     24.6708326
     310.000      -2.3689617     89.4198029     68.2367982     25.3511772
     320.000      -3.2740696     91.5922633     68.6133184     26.0354547
     330.000      -4.2006212     93.7089783     68.9592516     26.7233416
     340.000      -5.1480715     95.7724112     69.2777405     27.4145483
     350.000      -6.1158996     97.7848966     69.5715455     28.1088142
     360.000      -7.1036070     99.7486446     69.8430971     28.8059050
     370.000      -8.1107170    101.6657464     70.0945410     29.5056092
     380.000      -9.1367731    103.5381796     70.3277761     30.2077352
     390.000     -10.1813380    105.3678143     70.5444867     30.9121096
     400.000     -11.2439926    107.1564186     70.7461709     31.6185748
     410.000     -12.3243351    108.9056647     70.9341635     32.3269874
     420.000     -13.4219800    110.6171344     71.1096571     33.0372165
     430.000     -14.5365569    112.2923241     71.2737194     33.7491425
     440.000     -15.6677103    113.9326505     71.4273079     34.4626559
     450.000     -16.8150982    115.5394550     71.5712838     35.1776566
     460.000     -17.9783919    117.1140088     71.7064225     35.8940522
     470.000     -19.1572749    118.6575166     71.8334238     36.6117579
     480.000     -20.3514425    120.1711212     71.9529206     37.3306956
     490.000     -21.5606012    121.6559071     72.0654861     38.0507932
     500.000     -22.7844680    123.1129041     72.1716405     38.7719840
     510.000     -24.0227700    124.5430906     72.2718564     39.4942062
     520.000     -25.2752436    125.9473969     72.3665644     40.2174028
     530.000     -26.5416346    127.3267077     72.4561570     40.9415205
     540.000     -27.8216972    128.6818654     72.5409927     41.6665101
     550.000     -29.1151941    130.0136721     72.6213995     42.3923256
     560.000     -30.4218954    131.3228923     72.6976776     43.1189243
     570.000     -31.7415791    132.6102550     72.7701028     43.8462663
     580.000     -33.0740300    133.8764557     72.8389282     44.5743143
     590.000     -34.4190398    135.1221584     72.9043867     45.3030336
