T/C,"log (PS2, mbar) [upper bound]","log (PS2, mbar) [lower bound]"
300,-9.67,-10.27
305,-9.49,-10.09
310,-9.31,-9.91
315,-9.14,-9.74
320,-8.97,-9.57
325,-8.80,-9.40
330,-8.63,-9.23
335,-8.47,-9.07
340,-8.31,-8.91
345,-8.15,-8.75
350,-8.00,-8.60
355,-7.85,-8.45
360,-7.70,-8.30
365,-7.55,-8.15
370,-7.40,-8.00
375,-7.26,-7.86
380,-7.12,-7.72
385,-6.98,-7.58
390,-6.84,-7.44
395,-6.71,-7.31
400,-6.58,-7.18
405,-6.44,-7.04
410,-6.32,-6.92
415,-6.19,-6.79
420,-6.06,-6.66
425,-5.94,-6.54
430,-5.82,-6.42
435,-5.70,-6.30
440,-5.58,-6.18
445,-5.46,-6.06
450,-5.35,-5.95
455,-5.24,-5.84
460,-5.12,-5.72
465,-5.01,-5.61
470,-4.90,-5.50
475,-4.80,-5.40
480,-4.69,-5.29
485,-4.59,-5.19
490,-4.48,-5.08
495,-4.38,-4.98
500,-4.28,-4.88
505,-4.18,-4.78
510,-4.08,-4.68
515,-3.99,-4.59
520,-3.89,-4.49
525,-3.80,-4.40
530,-3.71,-4.31
535,-3.61,-4.21
540,-3.52,-4.12
545,-3.43,-4.03
550,-3.34,-3.94
555,-3.26,-3.86
560,-3.17,-3.77
565,-3.08,-3.68
570,-3.00,-3.60
575,-2.92,-3.52
580,-2.83,-3.43
585,-2.75,-3.35
590,-2.67,-3.27
595,-2.59,-3.19
600,-2.51,-3.11
