T       Cp      S       -(G-H(Tr))/T    H-H_Tr   Delta_H        Delta_G Log_Kf
K       J/molK  J/molK  J/molK          kJ/mol   kJ/mol         kJ/mol  n/a
0       0       0       722.516         -31.324  104.388        104.388 0
100     87.155  295.550 552.531         -25.698  104.495        84.958  -44.377
200     134.162 372.097 444.003         -14.381  102.677        66.077  -17.258
250     147.427 403.559 432.835         -7.319   101.582        57.051  -11.920
298.15  156.500 430.311 430.311         0        101.416        48.578  -8.551
300     156.314 431.277 430.314         0.289    100.369        48.257  -8.402
350     162.400 455.858 432.241         8.266    99.016         39.677  -5.921
400     166.689 477.839 436.591         16.499   79.803         32.003  -4.179
450     169.799 497.662 442.294         24.915   72.816         26.376  -3.062
500     172.113 515.677 448.745         33.466   65.345         21.636  -2.260
600     175.248 547.358 462.613         50.847   54.048         14.009  -1.220
700     177.206 574.531 476.707         68.477   44.903         8.078   -0.603
800     178.506 598.284 490.450         86.267   37.003         3.368   -0.220
900     179.411 619.364 503.625         104.165  -395.153       8.246   -0.479
1000    180.064 638.302 516.162         122.140  -392.026       52.900  -2.763
1100    180.552 655.488 528.059         140.182  -388.966       97.243  -4.618
1200    180.825 671.215 539.342         158.247  -385.987       141.312 -6.151
1300    181.216 685.709 550.051         176.355  -383.099       185.136 -7.439
1400    181.448 699.147 560.227         194.488  -380.310       228.741 -8.534
1500    181.636 711.672 569.910         212.643  -377.622       272.150 -9.477
