#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      60.9938391      0.0000000      0.0000000     60.9938391
      10.000      60.9919924      1.0065084      4.4356844     61.0020575
      20.000      60.9350713     12.7763956     36.9826482     61.1905992
      30.000      60.6991579     35.7341950     79.5957376     61.7711837
      40.000      60.2009408     64.6166855    123.2033014     62.7856082
      50.000      59.3963994     96.6582697    165.0617514     64.2293129
      60.000      58.2628292    130.2023973    203.3984730     66.0749730
      70.000      56.7909663    164.1749756    237.5372023     68.2832146
      80.000      54.9802033    197.8941077    267.4898832     70.8117319
      90.000      52.8353407    230.9419315    293.5762807     73.6201145
     100.000      50.3644310    263.0735094    316.2201828     76.6717819
     110.000      47.5773764    294.1556479    335.8569429     79.9344977
     120.000      44.4850257    324.1269674    352.8945757     83.3802618
     130.000      41.0985946    352.9719702    367.6991315     86.9849507
     140.000      37.4292978    380.7041178    380.5911618     90.7278743
     150.000      33.4881186    407.3547127    391.8473015     94.5913255
     160.000      29.2856699    432.9655616    401.7041114     98.5601598
     170.000      24.8321152    457.5841292    410.3627423    102.6214172
     180.000      20.1371285    481.2603520    417.9936791    106.7639919
     190.000      15.2098814    504.0445635    424.7411958    110.9783485
     200.000      10.0590457    525.9861714    430.7273534    115.2562800
     210.000       4.6928075    547.1328398    436.0554911    119.5907039
     220.000      -0.8811130    567.5300134    440.8132196    123.9754899
     230.000      -6.6554380    587.2206703    445.0749568    128.4053162
     240.000     -12.6233064    606.2452264    448.9040592    132.8755480
     250.000     -18.7782486    624.6415401    452.3546046    137.3821364
     260.000     -25.1141612    642.4449785    455.4728770    141.9215332
     270.000     -31.6252821    659.6885242    458.2986042    146.4906194
     280.000     -38.3061680    676.4029024    460.8659867    151.0866447
     290.000     -45.1516719    692.6167197    463.2045540    155.7071768
     300.000     -52.1569228    708.3566049    465.3398785    160.3500587
     310.000     -59.3173070    723.6473494    467.2941718    165.0133713
     320.000     -66.6284498    738.5120414    469.0867823    169.6954034
     330.000     -74.0861995    752.9721943    470.7346128    174.3946246
     340.000     -81.6866123    767.0478673    472.2524716    179.1096626
     350.000     -89.4259378    780.7577775    473.6533672    183.8392843
