# Phonon free energy and specific heat from phonopy-FHI-aims
# Phonon zero point energy =            0.129756960 eV 
#     Temperature (K)          Free energy (eV/cell)     Internal energy (eV/cell)                 c_v (kB/cell)              -TS_vib(eV/cell)
               0.000                    0.129756960                   0.129756960                   0.000000000                  -0.000000000
               1.000                    0.129756960                   0.129756960                   0.000000454                  -0.000000000
               1.999                    0.129756960                   0.129756963                   0.000104088                  -0.000000003
               2.999                    0.129756955                   0.129756987                   0.000512974                  -0.000000033
               3.998                    0.129756934                   0.129757060                   0.001238577                  -0.000000126
               4.998                    0.129756887                   0.129757214                   0.002406514                  -0.000000326
               5.997                    0.129756798                   0.129757492                   0.004159059                  -0.000000693
               6.997                    0.129756650                   0.129757950                   0.006621985                  -0.000001301
               7.996                    0.129756419                   0.129758656                   0.009917925                  -0.000002237
               8.996                    0.129756081                   0.129759686                   0.014173271                  -0.000003605
               9.995                    0.129755608                   0.129761129                   0.019521703                  -0.000005521
              10.995                    0.129754966                   0.129763085                   0.026108383                  -0.000008119
              11.994                    0.129754119                   0.129765667                   0.034095162                  -0.000011548
              12.994                    0.129753027                   0.129769003                   0.043665487                  -0.000015977
              13.993                    0.129751645                   0.129773240                   0.055027388                  -0.000021595
              14.993                    0.129749924                   0.129778541                   0.068413369                  -0.000028616
              15.992                    0.129747811                   0.129785090                   0.084076828                  -0.000037280
              16.992                    0.129745244                   0.129793097                   0.102285429                  -0.000047853
              17.991                    0.129742158                   0.129802791                   0.123312384                  -0.000060633
              18.991                    0.129738482                   0.129814427                   0.147426796                  -0.000075946
              19.990                    0.129734136                   0.129828283                   0.174884143                  -0.000094146
              20.990                    0.129729038                   0.129844656                   0.205917777                  -0.000115618
              21.989                    0.129723094                   0.129863863                   0.240731972                  -0.000140769
              22.989                    0.129716207                   0.129886238                   0.279496803                  -0.000170031
              23.988                    0.129708273                   0.129912126                   0.322344884                  -0.000203854
              24.988                    0.129699181                   0.129941885                   0.369369834                  -0.000242704
              25.987                    0.129688817                   0.129975876                   0.420626240                  -0.000287059
              26.987                    0.129677059                   0.130014464                   0.476130833                  -0.000337406
              27.986                    0.129663781                   0.130058016                   0.535864590                  -0.000394235
              28.986                    0.129648855                   0.130106893                   0.599775498                  -0.000458037
              29.985                    0.129632148                   0.130161451                   0.667781737                  -0.000529304
              30.985                    0.129613523                   0.130222040                   0.739775100                  -0.000608517
              31.984                    0.129592842                   0.130288996                   0.815624480                  -0.000696154
