# Phonon free energy and specific heat from phonopy-FHI-aims
# Phonon zero point energy =            4.678205177 eV 
#     Temperature (K)          Free energy (eV/cell)     Internal energy (eV/cell)                 c_v (kB/cell)              -TS_vib(eV/cell)
               0.000                    4.678205177                   4.678205177                   0.000000000                  -0.000000000
               1.000                    4.678205168                   4.678205210                   0.001697438                  -0.000000043
               1.999                    4.678204987                   4.678205784                   0.014541904                  -0.000000796
               2.999                    4.678204134                   4.678208587                   0.059212798                  -0.000004453
               3.998                    4.678201465                   4.678218510                   0.192716574                  -0.000017046
               4.998                    4.678194486                   4.678246581                   0.492240743                  -0.000052095
               5.997                    4.678178884                   4.678309627                   1.011008146                  -0.000130742
               6.997                    4.678148663                   4.678427773                   1.774350772                  -0.000279110
               7.996                    4.678096534                   4.678622615                   2.793060068                  -0.000526081
               8.996                    4.678014279                   4.678916363                   4.071320097                  -0.000902084
               9.995                    4.677893024                   4.679331395                   5.609021932                  -0.001438371
              10.995                    4.677723433                   4.679889914                   7.402164342                  -0.002166480
              11.994                    4.677495869                   4.680613615                   9.443121141                  -0.003117745
              12.994                    4.677200522                   4.681523400                  11.721158402                  -0.004322879
              13.993                    4.676827520                   4.682639139                  14.223118943                  -0.005811619
              14.993                    4.676367025                   4.683979487                  16.934133033                  -0.007612462
              15.992                    4.675809308                   4.685561769                  19.838261733                  -0.009752461
              16.992                    4.675144818                   4.687401910                  22.919030607                  -0.012257092
              17.991                    4.674364232                   4.689514410                  26.159845437                  -0.015150178
              18.991                    4.673458496                   4.691912345                  29.544299997                  -0.018453850
              19.990                    4.672418857                   4.694607394                  33.056393973                  -0.022188537
              20.990                    4.671236889                   4.697609881                  36.680681047                  -0.026372992
              21.989                    4.669904507                   4.700928827                  40.402365677                  -0.031024320
              22.989                    4.668413979                   4.704572009                  44.207364011                  -0.036158031
              23.988                    4.666757933                   4.708546024                  48.082340795                  -0.041788091
              24.988                    4.664929362                   4.712856351                  52.014730692                  -0.047926989
              25.987                    4.662921619                   4.717507424                  55.992749588                  -0.054585805
              26.987                    4.660728418                   4.722502692                  60.005399178                  -0.061774273
              27.986                    4.658343829                   4.727844692                  64.042466577                  -0.069500864
              28.986                    4.655762267                   4.733535117                  68.094519688                  -0.077772850
              29.985                    4.652978492                   4.739574878                  72.152898476                  -0.086596386
              30.985                    4.649987592                   4.745964175                  76.209702081                  -0.095976583
              31.984                    4.646784977                   4.752702558                  80.257771660                  -0.105917581
              32.984                    4.643366367                   4.759788994                  84.290668933                  -0.116422626
              33.983                    4.639727782                   4.767221921                  88.302650609                  -0.127494139
              34.983                    4.635865527                   4.774999317                  92.288638956                  -0.139133790
              35.982                    4.631776185                   4.783118747                  96.244188999                  -0.151342562
              36.982                    4.627456598                   4.791577418                 100.165452874                  -0.164120820
              37.981                    4.622903861                   4.800372232                 104.049142001                  -0.177468371
              38.981                    4.618115306                   4.809499830                 107.892487695                  -0.191384524
              39.980                    4.613088493                   4.818956636                 111.693200918                  -0.205868143
              40.980                    4.607821191                   4.828738894                 115.449431757                  -0.220917703
              41.979                    4.602311376                   4.838842709                 119.159729231                  -0.236531333
              42.979                    4.596557213                   4.849264075                 122.823001918                  -0.252706861
