# Phonon free energy and specific heat from phonopy-FHI-aims
# Phonon zero point energy =            0.854776562 eV 
#     Temperature (K)          Free energy (eV/cell)     Internal energy (eV/cell)                 c_v (kB/cell)              -TS_vib(eV/cell)
               0.000                    0.854776562                   0.854776562                   0.000000000                  -0.000000000
              20.000                    0.854224155                   0.856724241                   4.708485116                  -0.002500086
              40.000                    0.846085637                   0.875700012                  16.866774245                  -0.029614375
              60.000                    0.823859312                   0.912978661                  26.053958739                  -0.089119349
              80.000                    0.786714224                   0.964823285                  33.960644291                  -0.178109061
             100.000                    0.734953356                   1.029472593                  40.874993563                  -0.294519237
             120.000                    0.669116628                   1.105030460                  46.604587654                  -0.435913832
             140.000                    0.589899842                   1.189451035                  51.182046315                  -0.599551193
             160.000                    0.498082550                   1.280891663                  54.785255618                  -0.782809114
             180.000                    0.394460100                   1.377849824                  57.617308721                  -0.983389724
             200.000                    0.279799798                   1.479154363                  59.855487989                  -1.199354565
             220.000                    0.154818618                   1.583907837                  61.639990001                  -1.429089219
             240.000                    0.020174752                   1.691424483                  63.077316007                  -1.671249731
             260.000                   -0.123533147                   1.801178005                  64.247201725                  -1.924711152
             280.000                   -0.275762900                   1.912761294                  65.209218377                  -2.188524194
             300.000                   -0.436024105                   2.025856426                  66.008059780                  -2.461880531
             320.000                   -0.603872948                   2.140212622                  66.677507417                  -2.744085570
             340.000                   -0.778907137                   2.255630058                  67.243324618                  -3.034537196
             360.000                   -0.960761195                   2.371947957                  67.725349049                  -3.332709152
             380.000                   -1.149102232                   2.489035740                  68.139004599                  -3.638137973
             400.000                   -1.343626204                   2.606786423                  68.496398265                  -3.950412627
             420.000                   -1.544054629                   2.725111619                  68.807121277                  -4.269166248
             440.000                   -1.750131728                   2.843937739                  69.078838923                  -4.594069466
             460.000                   -1.961621923                   2.963203070                  69.317728593                  -4.924824993
             480.000                   -2.178307672                   3.082855505                  69.528808016                  -5.261163177
             500.000                   -2.399987570                   3.202850769                  69.716183397                  -5.602838339
             520.000                   -2.626474695                   3.323151016                  69.883238649                  -5.949625711
             540.000                   -2.857595165                   3.443723719                  70.032780931                  -6.301318884
             560.000                   -3.093186863                   3.564540773                  70.167153483                  -6.657727637
             580.000                   -3.333098323                   3.685577779                  70.288323802                  -7.018676102
             600.000                   -3.577187744                   3.806813453                  70.397953052                  -7.384001197
             620.000                   -3.825322119                   3.928229152                  70.497451101                  -7.753551271
             640.000                   -4.077376462                   4.049808479                  70.588020450                  -8.127184941
             660.000                   -4.333233119                   4.171536957                  70.670691529                  -8.504770076
             680.000                   -4.592781158                   4.293401755                  70.746351223                  -8.886182913
             700.000                   -4.855915819                   4.415391467                  70.815766069                  -9.271307285
             720.000                   -5.122538020                   4.537495915                  70.879601222                  -9.660033936
             740.000                   -5.392553922                   4.659705995                  70.938436041                 -10.052259917
             760.000                   -5.665874524                   4.782013534                  70.992776964                 -10.447888059
             780.000                   -5.942415308                   4.904411179                  71.043068200                 -10.846826487
             800.000                   -6.222095911                   5.026892293                  71.089700642                 -11.248988204
             820.000                   -6.504839834                   5.149450875                  71.133019332                 -11.654290709
             840.000                   -6.790574168                   5.272081481                  71.173329736                 -12.062655650
             860.000                   -7.079229357                   5.394779166                  71.210903055                 -12.474008523
             880.000                   -7.370738968                   5.517539424                  71.245980713                 -12.888278391
             900.000                   -7.665039491                   5.640358142                  71.278778181                 -13.305397633
             920.000                   -7.962070154                   5.763231562                  71.309488248                 -13.725301716
             940.000                   -8.261772748                   5.886156235                  71.338283814                 -14.147928983
             960.000                   -8.564091471                   6.009129000                  71.365320295                 -14.573220471
             980.000                   -8.868972784                   6.132146947                  71.390737698                 -15.001119732
            1000.000                   -9.176365278                   6.255207397                  71.414662409                 -15.431572675
            1020.000                   -9.486219546                   6.378307877                  71.437208756                 -15.864527422
            1040.000                   -9.798488074                   6.501446102                  71.458480352                 -16.299934176
            1060.000                  -10.113125136                   6.624619957                  71.478571279                 -16.737745093
            1080.000                  -10.430086688                   6.747827483                  71.497567118                 -17.177914172
            1100.000                  -10.749330288                   6.871066861                  71.515545853                 -17.620397149
            1120.000                  -11.070815003                   6.994336400                  71.532578660                 -18.065151402
            1140.000                  -11.394501332                   7.117634526                  71.548730613                 -18.512135857
            1160.000                  -11.720351135                   7.240959773                  71.564061295                 -18.961310909
            1180.000                  -12.048327564                   7.364310775                  71.578625345                 -19.412638339
            1200.000                  -12.378394996                   7.487686253                  71.592472941                 -19.866081249
            1220.000                  -12.710518976                   7.611085012                  71.605650230                 -20.321603988
            1240.000                  -13.044666159                   7.734505936                  71.618199710                 -20.779172095
            1260.000                  -13.380804260                   7.857947975                  71.630160568                 -21.238752235
            1280.000                  -13.718902000                   7.981410147                  71.641568987                 -21.700312147
            1300.000                  -14.058929065                   8.104891530                  71.652458415                 -22.163820596
            1320.000                  -14.400856061                   8.228391256                  71.662859813                 -22.629247317
            1340.000                  -14.744654469                   8.351908508                  71.672801867                 -23.096562977
            1360.000                  -15.090296612                   8.475442518                  71.682311193                 -23.565739130
            1380.000                  -15.437755616                   8.598992562                  71.691412506                 -24.036748178
            1400.000                  -15.787005374                   8.722557957                  71.700128787                 -24.509563331
            1420.000                  -16.138020517                   8.846138059                  71.708481422                 -24.984158576
            1440.000                  -16.490776382                   8.969732256                  71.716490334                 -25.460508638
            1460.000                  -16.845248983                   9.093339974                  71.724174105                 -25.938588957
            1480.000                  -17.201414982                   9.216960667                  71.731550075                 -26.418375649
