# Phonon free energy and specific heat from phonopy-FHI-aims
# Phonon zero point energy =            0.603908343 eV 
#     Temperature (K)          Free energy (eV/cell)     Internal energy (eV/cell)                 c_v (kB/cell)              -TS_vib(eV/cell)
               0.000                    0.603908343                   0.603908343                   0.000000000                  -0.000000000
              20.000                    0.603660566                   0.604794787                   2.246267506                  -0.001134221
              40.000                    0.599589793                   0.615061617                   9.630707647                  -0.015471823
              60.000                    0.587516745                   0.637094825                  15.735549197                  -0.049578080
              80.000                    0.566452203                   0.668887728                  21.071627581                  -0.102435525
             100.000                    0.536326141                   0.709391410                  25.816231986                  -0.173065269
             120.000                    0.497314498                   0.757438303                  29.808090908                  -0.260123806
             140.000                    0.449748322                   0.811695183                  33.032973097                  -0.361946861
             160.000                    0.394052047                   0.870917432                  35.591267811                  -0.476865385
             180.000                    0.330688094                   0.934068011                  37.613002739                  -0.603379917
             200.000                    0.260119594                   1.000327498                  39.217015477                  -0.740207904
             220.000                    0.182789616                   1.069062271                  40.499552876                  -0.886272655
             240.000                    0.099111416                   1.139785113                  41.534791286                  -1.040673696
             260.000                    0.009465128                   1.212120412                  42.378795804                  -1.202655284
             280.000                   -0.085802110                   1.285776639                  43.073732437                  -1.371578749
             300.000                   -0.186374318                   1.360525551                  43.651390360                  -1.546899868
             320.000                   -0.291964131                   1.436186744                  44.135885197                  -1.728150875
             340.000                   -0.402310047                   1.512616246                  44.545660791                  -1.914926292
             360.000                   -0.517173743                   1.589698066                  44.894950686                  -2.106871808
             380.000                   -0.636337582                   1.667337902                  45.194841541                  -2.303675484
             400.000                   -0.759602359                   1.745458422                  45.454048712                  -2.505060781
             420.000                   -0.886785282                   1.823995692                  45.679485027                  -2.710780974
             440.000                   -1.017718203                   1.902896448                  45.876680893                  -2.920614651
             460.000                   -1.152246051                   1.982115998                  46.050097111                  -3.134362049
             480.000                   -1.290225462                   2.061616588                  46.203359778                  -3.351842050
             500.000                   -1.431523575                   2.141366128                  46.339438187                  -3.572889703
             520.000                   -1.576016979                   2.221337176                  46.460780697                  -3.797354155
             540.000                   -1.723590778                   2.301506141                  46.569419366                  -4.025096919
             560.000                   -1.874137785                   2.381852633                  46.667051160                  -4.255990418
             580.000                   -2.027557788                   2.462358947                  46.755101478                  -4.489916735
             600.000                   -2.183756925                   2.543009634                  46.834774196                  -4.726766559
             620.000                   -2.342647108                   2.623791161                  46.907091386                  -4.966438268
             640.000                   -2.504145526                   2.704691621                  46.972925025                  -5.208837147
             660.000                   -2.668174198                   2.785700501                  47.033022500                  -5.453874699
             680.000                   -2.834659570                   2.866808482                  47.088027227                  -5.701468052
             700.000                   -3.003532156                   2.948007279                  47.138495421                  -5.951539435
             720.000                   -3.174726220                   3.029289499                  47.184909823                  -6.204015719
             740.000                   -3.348179486                   3.110648525                  47.227690977                  -6.458828011
             760.000                   -3.523832874                   3.192078419                  47.267206550                  -6.715911293
             780.000                   -3.701630267                   3.273573837                  47.303779080                  -6.975204105
             800.000                   -3.881518297                   3.355129958                  47.337692427                  -7.236648255
             820.000                   -4.063446150                   3.436742417                  47.369197185                  -7.500188567
             840.000                   -4.247365389                   3.518407260                  47.398515230                  -7.765772649
             860.000                   -4.433229796                   3.600120890                  47.425843570                  -8.033350686
             880.000                   -4.620995222                   3.681880033                  47.451357597                  -8.302875254
             900.000                   -4.810619455                   3.763681698                  47.475213865                  -8.574301153
             920.000                   -5.002062097                   3.845523152                  47.497552458                  -8.847585249
             940.000                   -5.195284448                   3.927401889                  47.518499017                  -9.122686337
             960.000                   -5.390249404                   4.009315609                  47.538166488                  -9.399565013
             980.000                   -5.586921363                   4.091262197                  47.556656624                  -9.678183560
            1000.000                   -5.785266135                   4.173239704                  47.574061286                  -9.958505839
