# Phonon free energy and specific heat from phonopy-FHI-aims
# Phonon zero point energy =            0.055102556 eV 
#     Temperature (K)          Free energy (eV/cell)     Internal energy (eV/cell)                 c_v (kB/cell)              -TS_vib(eV/cell)
               0.000                    0.055102556                   0.055102556                   0.000000000                  -0.000000000
               1.000                    0.055102412                   0.055102902                   0.012867117                  -0.000000490
               1.999                    0.055101139                   0.055105730                   0.058936129                  -0.000004591
               2.999                    0.055097329                   0.055114031                   0.138873214                  -0.000016702
               3.998                    0.055089543                   0.055130435                   0.246143887                  -0.000040892
               4.998                    0.055076469                   0.055157072                   0.375725990                  -0.000080603
               5.997                    0.055056933                   0.055195668                   0.523081895                  -0.000138735
               6.997                    0.055029901                   0.055247558                   0.683666395                  -0.000217657
               7.996                    0.054994466                   0.055313696                   0.853291218                  -0.000319230
               8.996                    0.054949855                   0.055394706                   1.028499898                  -0.000444851
               9.995                    0.054895410                   0.055490951                   1.206702883                  -0.000595541
              10.995                    0.054830579                   0.055602608                   1.386124793                  -0.000772029
              11.994                    0.054754901                   0.055729729                   1.565663080                  -0.000974828
              12.994                    0.054667991                   0.055872296                   1.744725339                  -0.001204305
              13.993                    0.054569525                   0.056030256                   1.923077735                  -0.001460731
              14.993                    0.054459231                   0.056203546                   2.100716550                  -0.001744314
              15.992                    0.054336878                   0.056392109                   2.277765518                  -0.002055231
              16.992                    0.054202265                   0.056595903                   2.454398003                  -0.002393638
              17.991                    0.054055219                   0.056814898                   2.630781573                  -0.002759679
              18.991                    0.053895586                   0.057049080                   2.807041880                  -0.003153493
              19.990                    0.053723230                   0.057298440                   2.983242376                  -0.003575210
              20.990                    0.053538026                   0.057562973                   3.159376330                  -0.004024947
              21.989                    0.053339866                   0.057842672                   3.335367804                  -0.004502806
              22.989                    0.053128649                   0.058137518                   3.511078638                  -0.005008869
              23.988                    0.052904284                   0.058447479                   3.686318974                  -0.005543195
              24.988                    0.052666690                   0.058772505                   3.860859418                  -0.006105815
              25.987                    0.052415796                   0.059112526                   4.034443437                  -0.006696729
              26.987                    0.052151538                   0.059467446                   4.206799031                  -0.007315908
              27.986                    0.051873860                   0.059837148                   4.377649111                  -0.007963288
              28.986                    0.051582717                   0.060221491                   4.546720286                  -0.008638774
              29.985                    0.051278071                   0.060620311                   4.713749942                  -0.009342239
              30.985                    0.050959893                   0.061033419                   4.878491700                  -0.010073526
              31.984                    0.050628161                   0.061460610                   5.040719341                  -0.010832450
              32.984                    0.050282862                   0.061901659                   5.200229426                  -0.011618797
              33.983                    0.049923991                   0.062356322                   5.356842779                  -0.012432331
              34.983                    0.049551550                   0.062824344                   5.510405049                  -0.013272794
              35.982                    0.049165550                   0.063305457                   5.660786541                  -0.014139907
              36.982                    0.048766007                   0.063799381                   5.807881490                  -0.015033374
              37.981                    0.048352944                   0.064305829                   5.951606912                  -0.015952885
              38.981                    0.047926392                   0.064824510                   6.091901180                  -0.016898117
              39.980                    0.047486387                   0.065355124                   6.228722403                  -0.017868737
              40.980                    0.047032970                   0.065897373                   6.362046718                  -0.018864403
              41.979                    0.046566189                   0.066450954                   6.491866536                  -0.019884765
              42.979                    0.046086095                   0.067015565                   6.618188808                  -0.020929471
              43.978                    0.045592745                   0.067590907                   6.741033345                  -0.021998163
              44.978                    0.045086199                   0.068176681                   6.860431211                  -0.023090482
              45.977                    0.044566523                   0.068772592                   6.976423213                  -0.024206069
              46.977                    0.044033785                   0.069378348                   7.089058502                  -0.025344563
