# Phonon free energy and specific heat from phonopy-FHI-aims
# Phonon zero point energy =            0.660130993 eV 
#     Temperature (K)          Free energy (eV/cell)     Internal energy (eV/cell)                 c_v (kB/cell)              -TS_vib(eV/cell)
               0.000                    0.660130993                   0.660130993                   0.000000000                  -0.000000000
              20.000                    0.659135738                   0.662750614                   5.039387347                  -0.003614876
              40.000                    0.650318739                   0.679385206                  13.940844167                  -0.029066467
              60.000                    0.629659325                   0.710293377                  21.900340120                  -0.080634052
              80.000                    0.596455342                   0.754636721                  29.413554421                  -0.158181379
             100.000                    0.550615845                   0.810989415                  35.750423503                  -0.260373570
             120.000                    0.492476397                   0.877071047                  40.715548488                  -0.384594651
             140.000                    0.422650632                   0.950653125                  44.498607232                  -0.528002493
             160.000                    0.341869625                   1.029932144                  47.370279814                  -0.688062519
             180.000                    0.250880235                   1.113548432                  49.566368455                  -0.862668197
             200.000                    0.150394243                   1.200500062                  51.266199135                  -1.050105819
             220.000                    0.041067497                   1.290050082                  52.599924113                  -1.248982584
             240.000                   -0.076505544                   1.381652338                  53.660786337                  -1.458157882
             260.000                   -0.201790050                   1.474897374                  54.515701200                  -1.676687424
             280.000                   -0.334306036                   1.569474185                  55.213097317                  -1.903780222
             300.000                   -0.473622633                   1.665143396                  55.788426718                  -2.138766029
             320.000                   -0.619352369                   1.761718378                  56.267969942                  -2.381070747
             340.000                   -0.771145883                   1.859051845                  56.671458511                  -2.630197728
             360.000                   -0.928687208                   1.957026219                  57.013892316                  -2.885713427
             380.000                   -1.091689646                   2.055546645                  57.306810698                  -3.147236291
             400.000                   -1.259892198                   2.154535836                  57.559191179                  -3.414428034
             420.000                   -1.433056480                   2.253930247                  57.778092353                  -3.686986727
             440.000                   -1.610964073                   2.353677190                  57.969119171                  -3.964641263
             460.000                   -1.793414241                   2.453732634                  58.136763585                  -4.247146875
             480.000                   -1.980221957                   2.554059519                  58.284656729                  -4.534281476
             500.000                   -2.171216204                   2.654626438                  58.415757609                  -4.825842642
             520.000                   -2.366238493                   2.755406612                  58.532495725                  -5.121645105
             540.000                   -2.565141580                   2.856377073                  58.636879904                  -5.421518653
             560.000                   -2.767788345                   2.957518012                  58.730582130                  -5.725306357
             580.000                   -2.974050808                   3.058812262                  58.815002642                  -6.032863070
             600.000                   -3.183809267                   3.160244870                  58.891320927                  -6.344054137
             620.000                   -3.396951539                   3.261802757                  58.960535954                  -6.658754296
             640.000                   -3.613372285                   3.363474433                  59.023498159                  -6.976846718
             660.000                   -3.832972416                   3.465249764                  59.080935038                  -7.298222180
             680.000                   -4.055658561                   3.567119780                  59.133471775                  -7.622778341
             700.000                   -4.281342597                   3.669076512                  59.181647955                  -7.950419109
             720.000                   -4.509941222                   3.771112857                  59.225931190                  -8.281054078
             740.000                   -4.741375576                   3.873222463                  59.266728297                  -8.614598039
             760.000                   -4.975570902                   3.975399637                  59.304394503                  -8.950970539
             780.000                   -5.212456238                   4.077639255                  59.339241072                  -9.290095493
             800.000                   -5.451964133                   4.179936700                  59.371541658                  -9.631900833
             820.000                   -5.694030405                   4.282287795                  59.401537606                  -9.976318199
             840.000                   -5.938593903                   4.384688756                  59.429442415                 -10.323282658
             860.000                   -6.185596304                   4.487136146                  59.455445492                 -10.672732449
             880.000                   -6.434981923                   4.589626834                  59.479715332                 -11.024608757
             900.000                   -6.686697537                   4.692157967                  59.502402225                 -11.378855504
             920.000                   -6.940692231                   4.794726933                  59.523640557                 -11.735419164
             940.000                   -7.196917247                   4.897331342                  59.543550785                 -12.094248590
             960.000                   -7.455325856                   4.999969000                  59.562241128                 -12.455294856
             980.000                   -7.715873230                   5.102637889                  59.579809027                 -12.818511119
            1000.000                   -7.978516333                   5.205336153                  59.596342406                 -13.183852486
            1020.000                   -8.243213817                   5.308062077                  59.611920762                 -13.551275894
            1040.000                   -8.509925920                   5.410814080                  59.626616117                 -13.920740000
            1060.000                   -8.778614382                   5.513590696                  59.640493839                 -14.292205078
            1080.000                   -9.049242361                   5.616390568                  59.653613371                 -14.665632929
            1100.000                   -9.321774354                   5.719212437                  59.666028857                 -15.040986791
            1120.000                   -9.596176129                   5.822055133                  59.677789705                 -15.418231262
            1140.000                   -9.872414655                   5.924917567                  59.688941067                 -15.797332222
            1160.000                  -10.150458042                   6.027798725                  59.699524276                 -16.178256767
            1180.000                  -10.430275484                   6.130697661                  59.709577224                 -16.560973144
            1200.000                  -10.711837202                   6.233613490                  59.719134702                 -16.945450693
            1220.000                  -10.995114399                   6.336545388                  59.728228696                 -17.331659787
            1240.000                  -11.280079204                   6.439492581                  59.736888658                 -17.719571785
            1260.000                  -11.566704638                   6.542454345                  59.745141738                 -18.109158983
            1280.000                  -11.854964565                   6.645430000                  59.753012999                 -18.500394565
            1300.000                  -12.144833656                   6.748418909                  59.760525607                 -18.893252565
            1320.000                  -12.436287352                   6.851420472                  59.767700999                 -19.287707824
            1340.000                  -12.729301829                   6.954434125                  59.774559034                 -19.683735954
            1360.000                  -13.023853967                   7.057459338                  59.781118136                 -20.081313304
            1380.000                  -13.319921317                   7.160495610                  59.787395408                 -20.480416927
            1400.000                  -13.617482076                   7.263542469                  59.793406752                 -20.881024545
            1420.000                  -13.916515056                   7.366599470                  59.799166963                 -21.283114526
            1440.000                  -14.216999660                   7.469666192                  59.804689825                 -21.686665852
            1460.000                  -14.518915856                   7.572742238                  59.809988186                 -22.091658094
            1480.000                  -14.822244159                   7.675827230                  59.815074040                 -22.498071389
            1500.000                  -15.126965603                   7.778920812                  59.819958592                 -22.905886415
            1520.000                  -15.433061723                   7.882022647                  59.824652316                 -23.315084371
            1540.000                  -15.740514539                   7.985132414                  59.829165015                 -23.725646953
            1560.000                  -16.049306529                   8.088249810                  59.833505874                 -24.137556339
            1580.000                  -16.359420621                   8.191374544                  59.837683499                 -24.550795165
            1600.000                  -16.670840169                   8.294506344                  59.841705966                 -24.965346513
            1620.000                  -16.983548940                   8.397644948                  59.845580860                 -25.381193889
            1640.000                  -17.297531101                   8.500790109                  59.849315305                 -25.798321210
            1660.000                  -17.612771199                   8.603941589                  59.852916004                 -26.216712788
            1680.000                  -17.929254153                   8.707099165                  59.856389262                 -26.636353318
            1700.000                  -18.246965237                   8.810262621                  59.859741020                 -27.057227858
            1720.000                  -18.565890071                   8.913431753                  59.862976874                 -27.479321823
            1740.000                  -18.886014604                   9.016606366                  59.866102104                 -27.902620970
            1760.000                  -19.207325109                   9.119786273                  59.869121693                 -28.327111382
            1780.000                  -19.529808168                   9.222971297                  59.872040345                 -28.752779465
            1800.000                  -19.853450661                   9.326161267                  59.874862506                 -29.179611928
            1820.000                  -20.178239760                   9.429356021                  59.877592382                 -29.607595781
            1840.000                  -20.504162915                   9.532555403                  59.880233949                 -30.036718318
            1860.000                  -20.831207849                   9.635759265                  59.882790973                 -30.466967113
            1880.000                  -21.159362546                   9.738967463                  59.885267022                 -30.898330009
            1900.000                  -21.488615247                   9.842179861                  59.887665478                 -31.330795108
            1920.000                  -21.818954435                   9.945396329                  59.889989546                 -31.764350763
            1940.000                  -22.150368835                  10.048616739                  59.892242271                 -32.198985574
            1960.000                  -22.482847401                  10.151840973                  59.894426540                 -32.634688374
            1980.000                  -22.816379313                  10.255068915                  59.896545098                 -33.071448228
            2000.000                  -23.150953967                  10.358300453                  59.898600554                 -33.509254420
