# Phonon free energy and specific heat from phonopy-FHI-aims
# Phonon zero point energy =            0.412228388 eV 
#     Temperature (K)          Free energy (eV/cell)     Internal energy (eV/cell)                 c_v (kB/cell)              -TS_vib(eV/cell)
               0.000                    0.412228388                   0.412228388                   0.000000000                  -0.000000000
               9.950                    0.412226220                   0.412232548                   0.015631736                  -0.000006327
              19.900                    0.412207982                   0.412282791                   0.133352305                  -0.000074808
              29.851                    0.412129020                   0.412532728                   0.492432440                  -0.000403707
              39.801                    0.411909009                   0.413190107                   1.070202467                  -0.001281097
              49.751                    0.411460696                   0.414405811                   1.780708960                  -0.002945114
              59.701                    0.410708455                   0.416260050                   2.548715222                  -0.005551595
              69.652                    0.409593350                   0.418777554                   3.320924198                  -0.009184204
              79.602                    0.408072574                   0.421947569                   4.067460543                  -0.013874996
              89.552                    0.406116680                   0.425741994                   4.776479266                  -0.019625315
              99.502                    0.403706315                   0.430127552                   5.446556274                  -0.026421237
             109.453                    0.400829350                   0.435071973                   6.080676673                  -0.034242623
             119.403                    0.397478683                   0.440546109                   6.682744000                  -0.043067426
             129.353                    0.393650709                   0.446523954                   7.256047929                  -0.052873245
             139.303                    0.389344293                   0.452981895                   7.802867272                  -0.063637602
             149.254                    0.384560092                   0.459897871                   8.324591068                  -0.075337779
             159.204                    0.379300119                   0.467250733                   8.822001536                  -0.087950614
             169.154                    0.373567441                   0.475019843                   9.295550678                  -0.101452402
             179.104                    0.367365970                   0.483184884                   9.745570296                  -0.115818914
             189.055                    0.360700307                   0.491725828                  10.172407502                  -0.131025521
             199.005                    0.353575614                   0.500622974                  10.576498421                  -0.147047361
             208.955                    0.345997512                   0.509857049                  10.958397734                  -0.163859537
             218.905                    0.337971995                   0.519409305                  11.318779986                  -0.181437310
             228.856                    0.329505349                   0.529261620                  11.658424909                  -0.199756271
             238.806                    0.320604087                   0.539396577                  11.978195217                  -0.218792490
             248.756                    0.311274891                   0.549797528                  12.279012289                  -0.238522637
             258.706                    0.301524556                   0.560448628                  12.561832922                  -0.258924072
             268.657                    0.291359951                   0.571334864                  12.827628785                  -0.279974912
             278.607                    0.280787976                   0.582442053                  13.077369261                  -0.301654077
             288.557                    0.269815528                   0.593756839                  13.312007744                  -0.323941311
             298.507                    0.258449478                   0.605266673                  13.532471168                  -0.346817195
             308.458                    0.246696643                   0.616959786                  13.739652364                  -0.370263142
             318.408                    0.234563768                   0.628825157                  13.934404808                  -0.394261389
             328.358                    0.222057509                   0.640852481                  14.117539313                  -0.418794972
             338.308                    0.209184422                   0.653032128                  14.289822278                  -0.443847706
             348.259                    0.195950949                   0.665355105                  14.451975142                  -0.469404156
             358.209                    0.182363414                   0.677813020                  14.604674743                  -0.495449606
             368.159                    0.168428015                   0.690398042                  14.748554350                  -0.521970027
             378.109                    0.154150818                   0.703102864                  14.884205174                  -0.548952046
             388.060                    0.139537757                   0.715920670                  15.012178196                  -0.576382912
             398.010                    0.124594630                   0.728845099                  15.132986198                  -0.604250468
             407.960                    0.109327099                   0.741870213                  15.247105909                  -0.632543115
             417.910                    0.093740688                   0.754990472                  15.354980182                  -0.661249784
             427.861                    0.077840788                   0.768200697                  15.457020175                  -0.690359909
             437.811                    0.061632654                   0.781496052                  15.553607464                  -0.719863398
             447.761                    0.045121410                   0.794872015                  15.645096105                  -0.749750606
             457.711                    0.028312048                   0.808324358                  15.731814583                  -0.780012310
             467.662                    0.011209432                   0.821849121                  15.814067679                  -0.810639689
             477.612                   -0.006181699                   0.835442599                  15.892138213                  -0.841624299
             487.562                   -0.023856729                   0.849101320                  15.966288690                  -0.872958049
             497.512                   -0.041811161                   0.862822028                  16.036762829                  -0.904633189
             507.463                   -0.060040616                   0.876601670                  16.103786988                  -0.936642286
             517.413                   -0.078540828                   0.890437377                  16.167571488                  -0.968978205
             527.363                   -0.097307641                   0.904326458                  16.228311836                  -1.001634099
             537.313                   -0.116337009                   0.918266381                  16.286189862                  -1.034603390
             547.264                   -0.135624988                   0.932254764                  16.341374758                  -1.067879753
             557.214                   -0.155167736                   0.946289368                  16.394024048                  -1.101457105
             567.164                   -0.174961510                   0.960368082                  16.444284471                  -1.135329592
             577.114                   -0.195002662                   0.974488916                  16.492292804                  -1.169491578
             587.065                   -0.215287636                   0.988649995                  16.538176612                  -1.203937631
             597.015                   -0.235812966                   1.002849549                  16.582054941                  -1.238662516
             606.965                   -0.256575274                   1.017085907                  16.624038959                  -1.273661181
             616.915                   -0.277571265                   1.031357489                  16.664232535                  -1.308928754
             626.866                   -0.298797725                   1.045662802                  16.702732786                  -1.344460526
             636.816                   -0.320251520                   1.060000433                  16.739630572                  -1.380251953
             646.766                   -0.341929591                   1.074369046                  16.775010948                  -1.416298638
             656.716                   -0.363828957                   1.088767374                  16.808953592                  -1.452596331
             666.667                   -0.385946703                   1.103194217                  16.841533185                  -1.489140920
             676.617                   -0.408279988                   1.117648435                  16.872819773                  -1.525928424
             686.567                   -0.430826037                   1.132128950                  16.902879094                  -1.562954987
