# Phonon free energy and specific heat from phonopy-FHI-aims
# Phonon zero point energy =            0.113002618 eV 
#     Temperature (K)          Free energy (eV/cell)     Internal energy (eV/cell)                 c_v (kB/cell)              -TS_vib(eV/cell)
               0.000                    0.113002618                   0.113002618                   0.000000000                  -0.000000000
               1.000                    0.113002571                   0.113002671                   0.001506075                  -0.000000100
               1.999                    0.113002392                   0.113002933                   0.004852535                  -0.000000540
               2.999                    0.113002004                   0.113003565                   0.010229520                  -0.000001561
               3.998                    0.113001321                   0.113004766                   0.018057578                  -0.000003445
               4.998                    0.113000249                   0.113006742                   0.028184403                  -0.000006493
               5.997                    0.112998692                   0.113009679                   0.040337091                  -0.000010987
               6.997                    0.112996556                   0.113013745                   0.054391152                  -0.000017188
               7.996                    0.112993752                   0.113019105                   0.070419405                  -0.000025353
               8.996                    0.112990188                   0.113025938                   0.088642012                  -0.000035750
               9.995                    0.112985777                   0.113034445                   0.109335543                  -0.000048669
              10.995                    0.112980423                   0.113044850                   0.132743238                  -0.000064428
              11.994                    0.112974029                   0.113057394                   0.159013733                  -0.000083365
              12.994                    0.112966494                   0.113072325                   0.188175665                  -0.000105832
              13.993                    0.112957712                   0.113089890                   0.220141488                  -0.000132178
              14.993                    0.112947575                   0.113110322                   0.254728883                  -0.000162747
              15.992                    0.112935976                   0.113133838                   0.291689225                  -0.000197862
              16.992                    0.112922807                   0.113160629                   0.330735924                  -0.000237822
              17.991                    0.112907962                   0.113190862                   0.371568723                  -0.000282900
              18.991                    0.112891340                   0.113224678                   0.413892494                  -0.000333338
              19.990                    0.112872842                   0.113262194                   0.457430503                  -0.000389352
              20.990                    0.112852375                   0.113303503                   0.501932864                  -0.000451129
              21.989                    0.112829849                   0.113348679                   0.547181136                  -0.000518830
              22.989                    0.112805181                   0.113397777                   0.592990040                  -0.000592596
              23.988                    0.112778293                   0.113450839                   0.639207135                  -0.000672546
              24.988                    0.112749112                   0.113507896                   0.685711115                  -0.000758784
              25.987                    0.112717569                   0.113568966                   0.732409272                  -0.000851397
              26.987                    0.112683599                   0.113634065                   0.779234477                  -0.000950465
              27.986                    0.112647145                   0.113703200                   0.826141967                  -0.001056055
              28.986                    0.112608149                   0.113776378                   0.873106113                  -0.001168229
              29.985                    0.112566561                   0.113853603                   0.920117298                  -0.001287042
              30.985                    0.112522331                   0.113934879                   0.967178986                  -0.001412549
              31.984                    0.112475414                   0.114020212                   1.014305017                  -0.001544798
              32.984                    0.112425767                   0.114109607                   1.061517165                  -0.001683840
              33.983                    0.112373350                   0.114203073                   1.108842960                  -0.001829723
              34.983                    0.112318124                   0.114300621                   1.156313774                  -0.001982497
              35.982                    0.112260052                   0.114402265                   1.203963163                  -0.002142213
              36.982                    0.112199100                   0.114508022                   1.251825455                  -0.002308922
              37.981                    0.112135235                   0.114617912                   1.299934562                  -0.002482678
              38.981                    0.112068422                   0.114731958                   1.348322995                  -0.002663535
              39.980                    0.111998633                   0.114850184                   1.397021081                  -0.002851552
              40.980                    0.111925835                   0.114972619                   1.446056341                  -0.003046784
              41.979                    0.111849999                   0.115099293                   1.495453024                  -0.003249294
              42.979                    0.111771097                   0.115230238                   1.545231777                  -0.003459141
              43.978                    0.111689100                   0.115365487                   1.595409430                  -0.003676388
              44.978                    0.111603979                   0.115505076                   1.645998882                  -0.003901097
              45.977                    0.111515708                   0.115649040                   1.697009076                  -0.004133332
              46.977                    0.111424260                   0.115797416                   1.748445042                  -0.004373156
              47.976                    0.111329608                   0.115950241                   1.800308005                  -0.004620633
              48.976                    0.111231725                   0.116107551                   1.852595532                  -0.004875825
              49.975                    0.111130586                   0.116269382                   1.905301732                  -0.005138796
              50.975                    0.111026165                   0.116435771                   1.958417466                  -0.005409606
              51.974                    0.110918436                   0.116606752                   2.011930593                  -0.005688315
              52.974                    0.110807375                   0.116782358                   2.065826224                  -0.005974983
              53.973                    0.110692957                   0.116962623                   2.120086983                  -0.006269666
              54.973                    0.110575157                   0.117147576                   2.174693272                  -0.006572418
              55.972                    0.110453952                   0.117337246                   2.229623536                  -0.006883294
              56.972                    0.110329318                   0.117531661                   2.284854522                  -0.007202343
              57.971                    0.110201231                   0.117730844                   2.340361531                  -0.007529614
              58.971                    0.110069668                   0.117934820                   2.396118660                  -0.007865152
              59.970                    0.109934608                   0.118143608                   2.452099028                  -0.008209000
              60.970                    0.109796027                   0.118357226                   2.508275001                  -0.008561198
              61.969                    0.109653906                   0.118575690                   2.564618387                  -0.008921784
              62.969                    0.109508221                   0.118799013                   2.621100631                  -0.009290791
              63.968                    0.109358953                   0.119027205                   2.677692989                  -0.009668252
              64.968                    0.109206082                   0.119260276                   2.734366686                  -0.010054194
              65.967                    0.109049587                   0.119498230                   2.791093061                  -0.010448644
              66.967                    0.108889450                   0.119741072                   2.847843702                  -0.010851622
              67.966                    0.108725652                   0.119988802                   2.904590561                  -0.011263150
              68.966                    0.108558175                   0.120241418                   2.961306058                  -0.011683243
              69.965                    0.108387001                   0.120498917                   3.017963178                  -0.012111915
              70.965                    0.108212114                   0.120761292                   3.074535544                  -0.012549177
              71.964                    0.108033498                   0.121028535                   3.130997494                  -0.012995037
              72.964                    0.107851136                   0.121300635                   3.187324132                  -0.013449499
              73.963                    0.107665013                   0.121577581                   3.243491383                  -0.013912567
              74.963                    0.107475116                   0.121859356                   3.299476034                  -0.014384240
              75.962                    0.107281429                   0.122145945                   3.355255757                  -0.014864515
              76.962                    0.107083940                   0.122437328                   3.410809147                  -0.015353388
              77.961                    0.106882636                   0.122733486                   3.466115726                  -0.015850850
              78.961                    0.106677504                   0.123034396                   3.521155964                  -0.016356892
              79.960                    0.106468533                   0.123340034                   3.575911280                  -0.016871501
              80.960                    0.106255713                   0.123650376                   3.630364046                  -0.017394663
              81.959                    0.106039032                   0.123965394                   3.684497579                  -0.017926361
              82.959                    0.105818481                   0.124285060                   3.738296137                  -0.018466578
              83.958                    0.105594051                   0.124609345                   3.791744905                  -0.019015293
              84.958                    0.105365734                   0.124938218                   3.844829985                  -0.019572484
              85.957                    0.105133520                   0.125271647                   3.897538374                  -0.020138127
              86.957                    0.104897403                   0.125609599                   3.949857947                  -0.020712196
              87.956                    0.104657375                   0.125952041                   4.001777438                  -0.021294665
              88.956                    0.104413431                   0.126298936                   4.053286414                  -0.021885505
              89.955                    0.104165564                   0.126650250                   4.104375254                  -0.022484686
              90.955                    0.103913770                   0.127005946                   4.155035121                  -0.023092176
              91.954                    0.103658042                   0.127365987                   4.205257940                  -0.023707944
              92.954                    0.103398378                   0.127730334                   4.255036367                  -0.024331956
              93.953                    0.103134773                   0.128098949                   4.304363768                  -0.024964176
              94.953                    0.102867225                   0.128471793                   4.353234187                  -0.025604569
              95.952                    0.102595729                   0.128848827                   4.401642321                  -0.026253098
              96.952                    0.102320284                   0.129230009                   4.449583492                  -0.026909725
              97.951                    0.102040889                   0.129615301                   4.497053622                  -0.027574412
              98.951                    0.101757541                   0.130004661                   4.544049206                  -0.028247120
              99.950                    0.101470240                   0.130398048                   4.590567284                  -0.028927809
             100.950                    0.101178984                   0.130795421                   4.636605416                  -0.029616437
             101.949                    0.100883775                   0.131196739                   4.682161658                  -0.030312963
             102.949                    0.100584613                   0.131601960                   4.727234537                  -0.031017347
             103.948                    0.100281497                   0.132011041                   4.771823024                  -0.031729544
             104.948                    0.099974430                   0.132423943                   4.815926516                  -0.032449513
             105.947                    0.099663412                   0.132840622                   4.859544807                  -0.033177210
             106.947                    0.099348445                   0.133261037                   4.902678070                  -0.033912592
             107.946                    0.099029532                   0.133685147                   4.945326836                  -0.034655614
             108.946                    0.098706676                   0.134112908                   4.987491969                  -0.035406233
             109.945                    0.098379878                   0.134544281                   5.029174650                  -0.036164404
             110.945                    0.098049142                   0.134979223                   5.070376357                  -0.036930081
             111.944                    0.097714472                   0.135417694                   5.111098847                  -0.037703222
             112.944                    0.097375872                   0.135859651                   5.151344134                  -0.038483779
             113.943                    0.097033345                   0.136305054                   5.191114477                  -0.039271709
             114.943                    0.096686896                   0.136753862                   5.230412363                  -0.040066966
             115.942                    0.096336529                   0.137206035                   5.269240489                  -0.040869505
             116.942                    0.095982251                   0.137661531                   5.307601748                  -0.041679281
             117.941                    0.095624065                   0.138120312                   5.345499214                  -0.042496247
             118.941                    0.095261977                   0.138582337                   5.382936131                  -0.043320360
             119.940                    0.094895994                   0.139047567                   5.419915896                  -0.044151573
             120.940                    0.094526120                   0.139515962                   5.456442051                  -0.044989843
             121.939                    0.094152362                   0.139987484                   5.492518267                  -0.045835122
             122.939                    0.093774726                   0.140462094                   5.528148334                  -0.046687368
             123.938                    0.093393220                   0.140939754                   5.563336154                  -0.047546534
             124.938                    0.093007849                   0.141420425                   5.598085724                  -0.048412576
             125.937                    0.092618621                   0.141904071                   5.632401133                  -0.049285450
