# Phonon free energy and specific heat from phonopy-FHI-aims
# Phonon zero point energy =            0.212251450 eV 
#     Temperature (K)          Free energy (eV/cell)     Internal energy (eV/cell)                 c_v (kB/cell)              -TS_vib(eV/cell)
               0.000                    0.212251450                   0.212251450                   0.000000000                  -0.000000000
               1.000                    0.212251449                   0.212251457                   0.000491744                  -0.000000008
               1.999                    0.212251398                   0.212251621                   0.003592399                  -0.000000223
               2.999                    0.212251194                   0.212252132                   0.008779409                  -0.000000938
               3.998                    0.212250735                   0.212253252                   0.018058119                  -0.000002518
               4.998                    0.212249883                   0.212255405                   0.033015907                  -0.000005522
               5.997                    0.212248458                   0.212259164                   0.055835806                  -0.000010706
               6.997                    0.212246225                   0.212265353                   0.090173129                  -0.000019128
               7.996                    0.212242875                   0.212275163                   0.140717841                  -0.000032288
               8.996                    0.212238000                   0.212290191                   0.212049223                  -0.000052191
               9.995                    0.212231087                   0.212312388                   0.307608013                  -0.000081301
              10.995                    0.212221517                   0.212343929                   0.429189293                  -0.000122411
              11.994                    0.212208581                   0.212387072                   0.576931652                  -0.000178491
              12.994                    0.212191500                   0.212444028                   0.749604115                  -0.000252528
              13.993                    0.212169451                   0.212516853                   0.945000873                  -0.000347402
              14.993                    0.212141588                   0.212607387                   1.160324026                  -0.000465799
              15.992                    0.212107063                   0.212717215                   1.392499740                  -0.000610151
              16.992                    0.212065045                   0.212847654                   1.638414456                  -0.000782609
              17.991                    0.212014729                   0.212999757                   1.895078094                  -0.000985028
              18.991                    0.211955349                   0.213174330                   2.159728233                  -0.001218981
              19.990                    0.211886183                   0.213371951                   2.429889743                  -0.001485769
              20.990                    0.211806556                   0.213593000                   2.703402217                  -0.001786444
              21.989                    0.211715846                   0.213837684                   2.978424883                  -0.002121838
              22.989                    0.211613479                   0.214106065                   3.253426253                  -0.002492586
              23.988                    0.211498933                   0.214398085                   3.527163864                  -0.002899152
              24.988                    0.211371733                   0.214713592                   3.798658026                  -0.003341859
              25.987                    0.211231449                   0.215052358                   4.067162430                  -0.003820910
              26.987                    0.211077695                   0.215414102                   4.332133685                  -0.004336407
              27.986                    0.210910124                   0.215798502                   4.593201270                  -0.004888378
              28.986                    0.210728427                   0.216205211                   4.850138914                  -0.005476784
