# Phonon free energy and specific heat from phonopy-FHI-aims
# Phonon zero point energy =            0.046128808 eV 
#     Temperature (K)          Free energy (eV/cell)     Internal energy (eV/cell)                 c_v (kB/cell)              -TS_vib(eV/cell)
               0.000                    0.046128808                   0.046128808                   0.000000000                  -0.000000000
               1.000                    0.046128808                   0.046128808                   0.000016117                  -0.000000000
               1.999                    0.046128805                   0.046128818                   0.000276114                  -0.000000013
               2.999                    0.046128791                   0.046128868                   0.000973020                  -0.000000077
               3.998                    0.046128748                   0.046129004                   0.002315711                  -0.000000257
               4.998                    0.046128654                   0.046129292                   0.004540051                  -0.000000638
               5.997                    0.046128482                   0.046129822                   0.008003364                  -0.000001340
               6.997                    0.046128193                   0.046130722                   0.013245371                  -0.000002528
               7.996                    0.046127741                   0.046132174                   0.020962500                  -0.000004434
               8.996                    0.046127061                   0.046134426                   0.031912953                  -0.000007364
               9.995                    0.046126075                   0.046137785                   0.046804640                  -0.000011710
              10.995                    0.046124684                   0.046142618                   0.066209566                  -0.000017934
              11.994                    0.046122773                   0.046149331                   0.090519749                  -0.000026558
              12.994                    0.046120211                   0.046158358                   0.119939533                  -0.000038147
              13.993                    0.046116854                   0.046170140                   0.154501984                  -0.000053286
              14.993                    0.046112545                   0.046185117                   0.194097570                  -0.000072572
              15.992                    0.046107122                   0.046203714                   0.238506611                  -0.000096592
              16.992                    0.046100414                   0.046226332                   0.287430360                  -0.000125918
              17.991                    0.046092251                   0.046253346                   0.340518174                  -0.000161096
              18.991                    0.046082457                   0.046285099                   0.397389857                  -0.000202641
              19.990                    0.046070863                   0.046321898                   0.457653222                  -0.000251035
              20.990                    0.046057298                   0.046364020                   0.520917336                  -0.000306722
              21.989                    0.046041597                   0.046411707                   0.586802097                  -0.000370110
              22.989                    0.046023599                   0.046465168                   0.654944827                  -0.000441569
              23.988                    0.046003149                   0.046524583                   0.725004484                  -0.000521434
              24.988                    0.045980097                   0.046590104                   0.796664041                  -0.000610006
              25.987                    0.045954302                   0.046661855                   0.869631490                  -0.000707553
              26.987                    0.045925626                   0.046739937                   0.943639843                  -0.000814311
              27.986                    0.045893940                   0.046824429                   1.018446423                  -0.000930489
              28.986                    0.045859123                   0.046915392                   1.093831699                  -0.001056269
              29.985                    0.045821057                   0.047012865                   1.169597830                  -0.001191808
              30.985                    0.045779633                   0.047116873                   1.245567067                  -0.001337240
              31.984                    0.045734750                   0.047227428                   1.321580099                  -0.001492678
              32.984                    0.045686310                   0.047344526                   1.397494433                  -0.001658216
              33.983                    0.045634223                   0.047468155                   1.473182833                  -0.001833932
              34.983                    0.045578404                   0.047598288                   1.548531864                  -0.002019884
              35.982                    0.045518776                   0.047734893                   1.623440543                  -0.002216117
              36.982                    0.045455263                   0.047877928                   1.697819120                  -0.002422665
              37.981                    0.045387799                   0.048027343                   1.771587966                  -0.002639544
              38.981                    0.045316320                   0.048183083                   1.844676585                  -0.002866764
              39.980                    0.045240767                   0.048345087                   1.917022726                  -0.003104320
              40.980                    0.045161086                   0.048513288                   1.988571596                  -0.003352201
              41.979                    0.045077229                   0.048687615                   2.059275155                  -0.003610386
              42.979                    0.044989149                   0.048867994                   2.129091496                  -0.003878846
              43.978                    0.044896804                   0.049054347                   2.197984285                  -0.004157543
              44.978                    0.044800157                   0.049246593                   2.265922265                  -0.004446436
              45.977                    0.044699174                   0.049444648                   2.332878811                  -0.004745474
              46.977                    0.044593823                   0.049648427                   2.398831528                  -0.005054605
              47.976                    0.044484076                   0.049857843                   2.463761888                  -0.005373768
              48.976                    0.044369908                   0.050072807                   2.527654906                  -0.005702899
              49.975                    0.044251297                   0.050293229                   2.590498834                  -0.006041931
              50.975                    0.044128224                   0.050519017                   2.652284892                  -0.006390793
              51.974                    0.044000673                   0.050750082                   2.713007016                  -0.006749410
              52.974                    0.043868627                   0.050986331                   2.772661624                  -0.007117704
              53.973                    0.043732076                   0.051227672                   2.831247404                  -0.007495596
              54.973                    0.043591010                   0.051474013                   2.888765113                  -0.007883003
              55.972                    0.043445419                   0.051725262                   2.945217394                  -0.008279843
              56.972                    0.043295299                   0.051981327                   3.000608606                  -0.008686028
              57.971                    0.043140645                   0.052242118                   3.054944661                  -0.009101473
              58.971                    0.042981455                   0.052507544                   3.108232876                  -0.009526089
              59.970                    0.042817727                   0.052777515                   3.160481836                  -0.009959788
