# Phonon free energy and specific heat from phonopy-FHI-aims
# Phonon zero point energy =            0.232323970 eV 
#     Temperature (K)          Free energy (eV/cell)     Internal energy (eV/cell)                 c_v (kB/cell)              -TS_vib(eV/cell)
               0.000                    0.232323970                   0.232323970                   0.000000000                  -0.000000000
              20.000                    0.232304092                   0.232393349                   0.186692863                  -0.000089258
              40.000                    0.231905111                   0.233602702                   1.322645891                  -0.001697591
              60.000                    0.230413919                   0.236974664                   2.552385721                  -0.006560745
              80.000                    0.227477147                   0.242265778                   3.556651174                  -0.014788631
             100.000                    0.223013303                   0.249161277                   4.431684403                  -0.026147975
             120.000                    0.217023067                   0.257507255                   5.244996210                  -0.040484188
             140.000                    0.209526805                   0.267210153                   6.005040522                  -0.057683349
             160.000                    0.200552622                   0.278169063                   6.700516880                  -0.077616441
             180.000                    0.190135453                   0.290264020                   7.322482895                  -0.100128567
             200.000                    0.178316449                   0.303365862                   7.869221734                  -0.125049414
             220.000                    0.165141443                   0.317347677                   8.344617090                  -0.152206234
             240.000                    0.150659104                   0.332092163                   8.755544401                  -0.181433059
             260.000                    0.134919256                   0.347494987                   9.109920523                  -0.212575731
             280.000                    0.117971573                   0.363465485                   9.415561159                  -0.245493913
             300.000                    0.099864645                   0.379925947                   9.679620849                  -0.280061302
             320.000                    0.080645376                   0.396810251                   9.908382350                  -0.316164875
             340.000                    0.060358622                   0.414062332                  10.107232753                  -0.353703710
             360.000                    0.039046999                   0.431634677                  10.280728342                  -0.392587678
             380.000                    0.016750823                   0.449486981                  10.432694030                  -0.432736157
             400.000                   -0.006491875                   0.467584977                  10.566329449                  -0.474076852
             420.000                   -0.030645287                   0.485899449                  10.684308627                  -0.516544735
             440.000                   -0.055675726                   0.504405395                  10.788867993                  -0.560081121
             460.000                   -0.081551516                   0.523081351                  10.881881494                  -0.604632868
             480.000                   -0.108242870                   0.541908813                  10.964923451                  -0.650151683
             500.000                   -0.135721765                   0.560871771                  11.039320570                  -0.696593535
             520.000                   -0.163961823                   0.579956318                  11.106194679                  -0.743918141
             540.000                   -0.192938199                   0.599150333                  11.166497761                  -0.792088531
             560.000                   -0.222627465                   0.618443207                  11.221040614                  -0.841070672
             580.000                   -0.253007516                   0.637825625                  11.270516329                  -0.890833141
             600.000                   -0.284057467                   0.657289379                  11.315519546                  -0.941346847
             620.000                   -0.315757571                   0.676827215                  11.356562269                  -0.992584785
             640.000                   -0.348089132                   0.696432695                  11.394086905                  -1.044521827
             660.000                   -0.381034436                   0.716100095                  11.428477039                  -1.097134531
             680.000                   -0.414576677                   0.735824308                  11.460066365                  -1.150400985
             700.000                   -0.448699898                   0.755600761                  11.489146112                  -1.204300659
             720.000                   -0.483388927                   0.775425356                  11.515971246                  -1.258814283
             740.000                   -0.518629330                   0.795294403                  11.540765661                  -1.313923734
             760.000                   -0.554407358                   0.815204576                  11.563726539                  -1.369611934
             780.000                   -0.590709902                   0.835152867                  11.585028023                  -1.425862769
             800.000                   -0.627524452                   0.855136554                  11.604824334                  -1.482661005
             820.000                   -0.664839059                   0.875153160                  11.623252400                  -1.539992219
             840.000                   -0.702642300                   0.895200437                  11.640434106                  -1.597842737
             860.000                   -0.740923244                   0.915276330                  11.656478212                  -1.656199574
             880.000                   -0.779671423                   0.935378966                  11.671481991                  -1.715050389
