# Phonon free energy and specific heat from phonopy-FHI-aims
# Phonon zero point energy =            0.158913125 eV 
#     Temperature (K)          Free energy (eV/cell)     Internal energy (eV/cell)                 c_v (kB/cell)              -TS_vib(eV/cell)
               0.000                    0.158913125                   0.158913125                   0.000000000                  -0.000000000
               1.000                    0.158913125                   0.158913125                   0.000004152                  -0.000000000
               1.999                    0.158913123                   0.158913132                   0.000235380                  -0.000000008
               2.999                    0.158913111                   0.158913179                   0.000961966                  -0.000000068
               3.998                    0.158913071                   0.158913314                   0.002261947                  -0.000000242
               4.998                    0.158912982                   0.158913590                   0.004293279                  -0.000000608
               5.997                    0.158912819                   0.158914080                   0.007260493                  -0.000001261
               6.997                    0.158912551                   0.158914875                   0.011431297                  -0.000002324
               7.996                    0.158912142                   0.158916095                   0.017184096                  -0.000003953
               8.996                    0.158911546                   0.158917896                   0.025055226                  -0.000006350
               9.995                    0.158910710                   0.158920491                   0.035748581                  -0.000009781
              10.995                    0.158909565                   0.158924159                   0.050088286                  -0.000014594
              11.994                    0.158908026                   0.158929249                   0.068927608                  -0.000021223
              12.994                    0.158905990                   0.158936184                   0.093045495                  -0.000030194
              13.993                    0.158903337                   0.158945447                   0.123059651                  -0.000042110
              14.993                    0.158899925                   0.158957563                   0.159372149                  -0.000057639
              15.992                    0.158895596                   0.158973086                   0.202150329                  -0.000077490
              16.992                    0.158890179                   0.158992570                   0.251337126                  -0.000102392
              17.991                    0.158883487                   0.159016558                   0.306681384                  -0.000133072
              18.991                    0.158875327                   0.159045565                   0.367778716                  -0.000170237
              19.990                    0.158865500                   0.159080063                   0.434115226                  -0.000214563
              20.990                    0.158853803                   0.159120479                   0.505108848                  -0.000266676
              21.989                    0.158840035                   0.159167189                   0.580145206                  -0.000327154
              22.989                    0.158823996                   0.159220514                   0.658606673                  -0.000396517
              23.988                    0.158805491                   0.159280722                   0.739894449                  -0.000475231
              24.988                    0.158784332                   0.159348033                   0.823444259                  -0.000563701
              25.987                    0.158760336                   0.159422619                   0.908736567                  -0.000662283
              26.987                    0.158733331                   0.159504609                   0.995302386                  -0.000771279
              27.986                    0.158703151                   0.159594095                   1.082725664                  -0.000890944
              28.986                    0.158669641                   0.159691134                   1.170643187                  -0.001021493
              29.985                    0.158632656                   0.159795756                   1.258742707                  -0.001163100
              30.985                    0.158592057                   0.159907964                   1.346759936                  -0.001315907
              31.984                    0.158547718                   0.160027741                   1.434474836                  -0.001480024
