# Phonon free energy and specific heat from phonopy-FHI-aims
# Phonon zero point energy =            0.079524458 eV 
#     Temperature (K)          Free energy (eV/cell)     Internal energy (eV/cell)                 c_v (kB/cell)              -TS_vib(eV/cell)
               0.000                    0.079524458                   0.079524458                   0.000000000                  -0.000000000
               1.000                    0.079524453                   0.079524470                   0.000342884                  -0.000000017
               1.999                    0.079524422                   0.079524510                   0.000608342                  -0.000000088
               2.999                    0.079524364                   0.079524583                   0.001161115                  -0.000000219
               3.998                    0.079524273                   0.079524725                   0.002216022                  -0.000000452
               4.998                    0.079524133                   0.079524982                   0.003864794                  -0.000000849
               5.997                    0.079523926                   0.079525410                   0.006206098                  -0.000001484
               6.997                    0.079523630                   0.079526075                   0.009372077                  -0.000002445
               7.996                    0.079523218                   0.079527054                   0.013546146                  -0.000003836
               8.996                    0.079522660                   0.079528444                   0.018980987                  -0.000005784
               9.995                    0.079521920                   0.079530369                   0.025998754                  -0.000008449
              10.995                    0.079520955                   0.079532979                   0.034966584                  -0.000012024
              11.994                    0.079519715                   0.079536459                   0.046254878                  -0.000016743
              12.994                    0.079518143                   0.079541023                   0.060192188                  -0.000022879
              13.993                    0.079516172                   0.079546911                   0.077028625                  -0.000030739
              14.993                    0.079513726                   0.079554379                   0.096914014                  -0.000040654
              15.992                    0.079510723                   0.079563694                   0.119891469                  -0.000052971
              16.992                    0.079507074                   0.079575119                   0.145903625                  -0.000068045
              17.991                    0.079502686                   0.079588911                   0.174807297                  -0.000086225
              18.991                    0.079497461                   0.079605309                   0.206392471                  -0.000107848
              19.990                    0.079491300                   0.079624534                   0.240402301                  -0.000133234
              20.990                    0.079484104                   0.079646782                   0.276551843                  -0.000162678
              21.989                    0.079475774                   0.079672225                   0.314544219                  -0.000196451
              22.989                    0.079466213                   0.079701010                   0.354083636                  -0.000234797
              23.988                    0.079455326                   0.079733256                   0.394885231                  -0.000277930
              24.988                    0.079443022                   0.079769062                   0.436682006                  -0.000326039
              25.987                    0.079429214                   0.079808501                   0.479229275                  -0.000379287
              26.987                    0.079413819                   0.079851629                   0.522307116                  -0.000437810
              27.986                    0.079396759                   0.079898484                   0.565721272                  -0.000501725
              28.986                    0.079377958                   0.079949086                   0.609302930                  -0.000571128
              29.985                    0.079357348                   0.080003443                   0.652907707                  -0.000646095
              30.985                    0.079334864                   0.080061553                   0.696414118                  -0.000726689
              31.984                    0.079310446                   0.080123402                   0.739721750                  -0.000812957
              32.984                    0.079284036                   0.080188970                   0.782749278                  -0.000904934
              33.983                    0.079255584                   0.080258229                   0.825432442                  -0.001002645
              34.983                    0.079225042                   0.080331148                   0.867722071                  -0.001106106
              35.982                    0.079192364                   0.080407691                   0.909582189                  -0.001215327
              36.982                    0.079157511                   0.080487820                   0.950988241                  -0.001330310
              37.981                    0.079120444                   0.080571496                   0.991925457                  -0.001451052
              38.981                    0.079081128                   0.080658676                   1.032387352                  -0.001577548
              39.980                    0.079039534                   0.080749322                   1.072374372                  -0.001709788
              40.980                    0.078995630                   0.080843391                   1.111892681                  -0.001847761
              41.979                    0.078949390                   0.080940844                   1.150953075                  -0.001991453
              42.979                    0.078900791                   0.081041642                   1.189570019                  -0.002140851
              43.978                    0.078849809                   0.081145748                   1.227760800                  -0.002295939
              44.978                    0.078796423                   0.081253125                   1.265544792                  -0.002456702
              45.977                    0.078740616                   0.081363740                   1.302942805                  -0.002623124
              46.977                    0.078682369                   0.081477560                   1.339976536                  -0.002795191
              47.976                    0.078621666                   0.081594555                   1.376668091                  -0.002972889
              48.976                    0.078558494                   0.081714697                   1.413039584                  -0.003156203
              49.975                    0.078492838                   0.081837958                   1.449112799                  -0.003345120
              50.975                    0.078424685                   0.081964314                   1.484908914                  -0.003539629
              51.974                    0.078354025                   0.082093742                   1.520448273                  -0.003739717
              52.974                    0.078280846                   0.082226221                   1.555750207                  -0.003945374
              53.973                    0.078205140                   0.082361730                   1.590832898                  -0.004156591
              54.973                    0.078126896                   0.082500253                   1.625713275                  -0.004373357
              55.972                    0.078046106                   0.082641771                   1.660406943                  -0.004595665
              56.972                    0.077962762                   0.082786270                   1.694928143                  -0.004823508
              57.971                    0.077876857                   0.082933736                   1.729289727                  -0.005056879
              58.971                    0.077788385                   0.083084155                   1.763503165                  -0.005295770
              59.970                    0.077697338                   0.083237514                   1.797578556                  -0.005540176
              60.970                    0.077603710                   0.083393803                   1.831524664                  -0.005790093
              61.969                    0.077507497                   0.083553010                   1.865348959                  -0.006045514
              62.969                    0.077408692                   0.083715126                   1.899057669                  -0.006306434
              63.968                    0.077307291                   0.083880140                   1.932655840                  -0.006572849
              64.968                    0.077203289                   0.084048043                   1.966147401                  -0.006844754
              65.967                    0.077096682                   0.084218827                   1.999535232                  -0.007122145
              66.967                    0.076987465                   0.084392482                   2.032821234                  -0.007405017
              67.966                    0.076875635                   0.084568999                   2.066006405                  -0.007693364
              68.966                    0.076761189                   0.084748370                   2.099090911                  -0.007987182
              69.965                    0.076644122                   0.084930587                   2.132074157                  -0.008286465
              70.965                    0.076524431                   0.085115640                   2.164954863                  -0.008591208
              71.964                    0.076402115                   0.085303520                   2.197731127                  -0.008901406
              72.964                    0.076277169                   0.085494219                   2.230400498                  -0.009217050
              73.963                    0.076149592                   0.085687727                   2.262960039                  -0.009538135
              74.963                    0.076019381                   0.085884035                   2.295406386                  -0.009864654
              75.962                    0.075886534                   0.086083132                   2.327735813                  -0.010196598
              76.962                    0.075751049                   0.086285009                   2.359944281                  -0.010533960
              77.961                    0.075612924                   0.086489654                   2.392027494                  -0.010876730
              78.961                    0.075472158                   0.086697057                   2.423980947                  -0.011224899
              79.960                    0.075328749                   0.086907207                   2.455799969                  -0.011578458
              80.960                    0.075182696                   0.087120091                   2.487479769                  -0.011937395
              81.959                    0.075033998                   0.087335698                   2.519015473                  -0.012301699
              82.959                    0.074882654                   0.087554014                   2.550402159                  -0.012671359
              83.958                    0.074728664                   0.087775027                   2.581634888                  -0.013046363
              84.958                    0.074572027                   0.087998723                   2.612708737                  -0.013426697
              85.957                    0.074412742                   0.088225089                   2.643618823                  -0.013812348
              86.957                    0.074250809                   0.088454110                   2.674360328                  -0.014203301
              87.956                    0.074086229                   0.088685771                   2.704928518                  -0.014599542
              88.956                    0.073919001                   0.088920058                   2.735318767                  -0.015001056
              89.955                    0.073749127                   0.089156954                   2.765526567                  -0.015407827
              90.955                    0.073576605                   0.089396444                   2.795547546                  -0.015819838
              91.954                    0.073401438                   0.089638511                   2.825377481                  -0.016237073
              92.954                    0.073223626                   0.089883139                   2.855012306                  -0.016659513
              93.953                    0.073043170                   0.090130312                   2.884448125                  -0.017087142
              94.953                    0.072860070                   0.090380010                   2.913681213                  -0.017519940
              95.952                    0.072674329                   0.090632218                   2.942708028                  -0.017957889
              96.952                    0.072485948                   0.090886917                   2.971525211                  -0.018400969
