#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000       6.7145022      0.0000000      0.0000000      6.7145022
      10.000       6.7132140      0.4003343      0.8584637      6.7172174
      20.000       6.7033557      1.7133597      3.4153644      6.7376229
      30.000       6.6767411      3.6882020      6.5417733      6.7873872
      40.000       6.6285838      5.9698908      9.3729252      6.8673794
      50.000       6.5571236      8.3225511     11.7379575      6.9732512
      60.000       6.4622210     10.6512433     13.8477813      7.1012956
      70.000       6.3442361     12.9393806     15.8887567      7.2499927
      80.000       6.2035452     15.1939020     17.9230952      7.4190574
      90.000       6.0404473     17.4214470     19.9335625      7.6083775
     100.000       5.8552023     19.6230373     21.8774579      7.8175060
     110.000       5.6480839     21.7953608     23.7159100      8.0455735
     120.000       5.4194102     23.9331372     25.4235639      8.2913867
     130.000       5.1695547     26.0308746     26.9886244      8.5535684
     140.000       4.8989421     28.0838293     28.4096232      8.8306782
     150.000       4.6080395     30.0883887     29.6918512      9.1212978
     160.000       4.2973439     32.0421196     30.8444739      9.4240830
     170.000       3.9673712     33.9436511     31.8784956      9.7377919
     180.000       3.6186466     35.7924972     32.8054432     10.0612961
     190.000       3.2516963     37.5888696     33.6365761     10.3935815
     200.000       2.8670417     39.3335092     34.3824517     10.7337435
     210.000       2.4651948     41.0275420     35.0527201     11.0809786
     220.000       2.0466549     42.6723637     35.6560571     11.4345749
     230.000       1.6119063     44.2695485     36.2001787     11.7939025
     240.000       1.1614171     45.8207783     36.6918997     12.1584039
     250.000       0.6956382     47.3277908     37.1372119     12.5275859
     260.000       0.2150028     48.7923392     37.5413700     12.9010110
     270.000      -0.2800729     50.2161643     37.9089766     13.2782915
     280.000      -0.7891904     51.6009736     38.2440614     13.6590822
     290.000      -1.3119679     52.9484275     38.5501543     14.0430761
     300.000      -1.8480398     54.2601294     38.8303495     14.4299990
     310.000      -2.3970564     55.5376203     39.0873629     14.8196059
     320.000      -2.9586831     56.7823752     39.3235819     15.2116770
     330.000      -3.5325995     57.9958022     39.5411089     15.6060152
     340.000      -4.1184992     59.1792419     39.7417983     16.0024431
     350.000      -4.7160886     60.3339691     39.9272892     16.4008006
     360.000      -5.3250869     61.4611943     40.0990331     16.8009431
     370.000      -5.9452247     62.5620659     40.2583183     17.2027397
     380.000      -6.5762440     63.6376729     40.4062899     17.6060717
     390.000      -7.2178974     64.6890476     40.5439686     18.0108312
     400.000      -7.8699474     65.7171682     40.6722653     18.4169198
     410.000      -8.5321663     66.7229616     40.7919950     18.8242480
     420.000      -9.2043352     67.7073067     40.9038883     19.2327336
     430.000      -9.8862437     68.6710361     41.0086010     19.6423018
     440.000     -10.5776898     69.6149398     41.1067232     20.0528837
     450.000     -11.2784789     70.5397667     41.1987871     20.4644161
     460.000     -11.9884239     71.4462278     41.2852729     20.8768408
     470.000     -12.7073445     72.3349977     41.3666151     21.2901044
     480.000     -13.4350671     73.2067174     41.4432074     21.7041573
     490.000     -14.1714241     74.0619959     41.5154073     22.1189539
     500.000     -14.9162541     74.9014120     41.5835397     22.5344519
     510.000     -15.6694013     75.7255165     41.6479002     22.9506121
     520.000     -16.4307151     76.5348334     41.7087589     23.3673982
     530.000     -17.2000503     77.3298618     41.7663620     23.7847765
     540.000     -17.9772663     78.1110773     41.8209349     24.2027154
     550.000     -18.7622273     78.8789329     41.8726842     24.6211857
     560.000     -19.5548019     79.6338611     41.9217992     25.0401603
     570.000     -20.3548628     80.3762743     41.9684538     25.4596135
     580.000     -21.1622870     81.1065667     42.0128080     25.8795217
     590.000     -21.9769550     81.8251145     42.0550092     26.2998625
     600.000     -22.7987513     82.5322775     42.0951931     26.7206151
     610.000     -23.6275638     83.2283998     42.1334851     27.1417601
     620.000     -24.4632836     83.9138106     42.1700011     27.5632789
     630.000     -25.3058053     84.5888252     42.2048484     27.9851545
     640.000     -26.1550265     85.2537456     42.2381262     28.4073707
     650.000     -27.0108476     85.9088611     42.2699267     28.8299121
     660.000     -27.8731720     86.5544493     42.3003353     29.2527646
     670.000     -28.7419057     87.1907763     42.3294316     29.6759145
     680.000     -29.6169575     87.8180978     42.3572894     30.0993491
     690.000     -30.4982384     88.4366591     42.3839774     30.5230563
     700.000     -31.3856622     89.0466959     42.4095600     30.9470249
     710.000     -32.2791447     89.6484349     42.4340968     31.3712441
     720.000     -33.1786040     90.2420938     42.4576438     31.7957036
     730.000     -34.0839603     90.8278824     42.4802531     32.2203938
     740.000     -34.9951361     91.4060024     42.5019736     32.6453057
     750.000     -35.9120555     91.9766479     42.5228510     33.0704305
     760.000     -36.8346448     92.5400063     42.5429281     33.4957600
