#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      14.6627127      0.0000000      0.0000000     14.6627127
      10.000      14.6625608      0.0670815      0.2449259     14.6632316
      20.000      14.6590000      0.8504994      2.9133050     14.6760100
      30.000      14.6406974      3.0543069      8.7346126     14.7323266
      40.000      14.5936471      6.5304733     15.8432296     14.8548660
      50.000      14.5073390     10.8363515     22.9746451     15.0491566
      60.000      14.3752969     15.6338516     29.8036887     15.3133280
      70.000      14.1937099     20.7194048     36.2832439     15.6440683
      80.000      13.9603749     25.9663140     42.3684485     16.0376800
      90.000      13.6741418     31.2865073     48.0013362     16.4899274
     100.000      13.3346210     36.6143524     53.1400976     16.9960563
     110.000      12.9419956     41.9003678     57.7717507     17.5510360
     120.000      12.4968759     47.1080571     61.9094491     18.1498428
     130.000      12.0001828     52.2115227     65.5841734     18.7876807
     140.000      11.4530517     57.1933304     68.8365225     19.4601180
     150.000      10.8567585     62.0426118     71.7105682     20.1631502
     160.000      10.2126614     66.7534538     74.2499035     20.8932140
     170.000       9.5221587     71.3235917     76.4954047     21.6471693
     180.000       8.7866576     75.7533842     78.4841608     22.4222667
     190.000       8.0075516     80.0450282     80.2491269     23.2161070
     200.000       7.1862061     84.2019696     81.8191939     24.0266000
     210.000       6.3239471     88.2284675     83.2194748     24.8519253
     220.000       5.4220557     92.1292752     84.4716855     25.6904963
     230.000       4.4817639     95.9094099     85.5945510     26.5409281
     240.000       3.5042527     99.5739892     86.6041968     27.4020101
     250.000       2.4906523    103.1281157     87.5145093     28.2726812
     260.000       1.4420419    106.5767977     88.3374551     29.1520093
     270.000       0.3594516    109.9248966     89.0833608     30.0391736
     280.000      -0.7561364    113.1770929     89.7611533     30.9334496
     290.000      -1.9037856    116.3378660     90.3785656     31.8341956
     300.000      -3.0826032    119.4114845     90.9423113     32.7408421
     310.000      -4.2917383    122.4020024     91.4582336     33.6528825
     320.000      -5.5303791    125.3132611     91.9314303     34.5698644
     330.000      -6.7977515    128.1488940     92.3663602     35.4913836
     340.000      -8.0931164    130.9123339     92.7669332     36.4170772
     350.000      -9.4157683    133.6068215     93.1365866     37.3466192
     360.000     -10.7650332    136.2354143     93.4783497     38.2797160
     370.000     -12.1402666    138.8009967     93.7948987     39.2161022
     380.000     -13.5408522    141.3062894     94.0886040     40.1555378
     390.000     -14.9662000    143.7538593     94.3615696     41.0978052
     400.000     -16.4157450    146.1461284     94.6156679     42.0427063
     410.000     -17.8889458    148.4853831     94.8525685     42.9900612
     420.000     -19.3852832    150.7737823     95.0737638     43.9397054
     430.000     -20.9042588    153.0133660     95.2805904     44.8914886
     440.000     -22.4453942    155.2060626     95.4742480     45.8452733
     450.000     -24.0082298    157.3536958     95.6558157     46.8009333
     460.000     -25.5923237    159.4579919     95.8262658     47.7583526
     470.000     -27.1972507    161.5205854     95.9864761     48.7174245
     480.000     -28.8226016    163.5430254     96.1372407     49.6780506
     490.000     -30.4679822    165.5267805     96.2792789     50.6401402
     500.000     -32.1330129    167.4732443     96.4132441     51.6036093
     510.000     -33.8173272    169.3837400     96.5397299     52.5683802
     520.000     -35.5205720    171.2595245     96.6592772     53.5343808
     530.000     -37.2424060    173.1017929     96.7723794     54.5015442
     540.000     -38.9824999    174.9116820     96.8794870     55.4698084
