# Phonon free energy and specific heat from phonopy-FHI-aims
# Phonon zero point energy =            0.043778004 eV 
#     Temperature (K)          Free energy (eV/cell)     Internal energy (eV/cell)                 c_v (kB/cell)              -TS_vib(eV/cell)
               0.000                    0.043778004                   0.043778004                   0.000000000                  -0.000000000
              20.000                    0.043537586                   0.044414941                   1.086892070                  -0.000877355
              40.000                    0.041692614                   0.047327710                   2.251133928                  -0.005635096
              60.000                    0.037910326                   0.052126714                   3.288043096                  -0.014216388
              80.000                    0.032246725                   0.058509827                   4.071605707                  -0.026263102
             100.000                    0.024831479                   0.066014187                   4.600911705                  -0.041182709
             120.000                    0.015829751                   0.074268208                   4.954228160                  -0.058438457
             140.000                    0.005403334                   0.083026989                   5.195168303                  -0.077623655
             160.000                   -0.006303910                   0.092134713                   5.364390283                  -0.098438622
             180.000                   -0.019168363                   0.101490969                   5.486782028                  -0.120659332
             200.000                   -0.033084812                   0.111029321                   5.577705240                  -0.144114134
             220.000                   -0.047963629                   0.120704521                   5.646870495                  -0.168668150
             240.000                   -0.063728068                   0.130484884                   5.700588685                  -0.194212952
             260.000                   -0.080311959                   0.140347654                   5.743075337                  -0.220659613
             280.000                   -0.097657832                   0.150276116                   5.777219536                  -0.247933948
             300.000                   -0.115715404                   0.160257739                   5.805048330                  -0.275973142
             320.000                   -0.134440379                   0.170282956                   5.828014495                  -0.304723335
             340.000                   -0.153793481                   0.180344349                   5.847179415                  -0.334137830
             360.000                   -0.173739672                   0.190436078                   5.863332083                  -0.364175751
             380.000                   -0.194247524                   0.200553490                   5.877068277                  -0.394801013
             400.000                   -0.215288698                   0.210692828                   5.888844316                  -0.425981527
             420.000                   -0.236837527                   0.220851034                   5.899014255                  -0.457688561
             440.000                   -0.258870655                   0.231025587                   5.907856061                  -0.489896242
             460.000                   -0.281366748                   0.241214396                   5.915590334                  -0.522581144
             480.000                   -0.304306247                   0.251415710                   5.922393889                  -0.555721957
             500.000                   -0.327671155                   0.261628052                   5.928409743                  -0.589299207
             520.000                   -0.351444862                   0.271850170                   5.933754559                  -0.623295032
             540.000                   -0.375611993                   0.282080990                   5.938524241                  -0.657692983
             560.000                   -0.400158275                   0.292319594                   5.942798204                  -0.692477869
             580.000                   -0.425070425                   0.302565185                   5.946642652                  -0.727635610
             600.000                   -0.450336050                   0.312817072                   5.950113123                  -0.763153122
             620.000                   -0.475943564                   0.323074652                   5.953256481                  -0.799018216
             640.000                   -0.501882108                   0.333337397                   5.956112490                  -0.835219505
             660.000                   -0.528141489                   0.343604841                   5.958715064                  -0.871746330
             680.000                   -0.554712118                   0.353876573                   5.961093265                  -0.908588691
             700.000                   -0.581584958                   0.364152229                   5.963272116                  -0.945737187
             720.000                   -0.608751480                   0.374431484                   5.965273250                  -0.983182964
             740.000                   -0.636203620                   0.384714049                   5.967115451                  -1.020917668
             760.000                   -0.663933742                   0.394999663                   5.968815087                  -1.058933405
             780.000                   -0.691934606                   0.405288095                   5.970386477                  -1.097222701
             800.000                   -0.720199339                   0.415579133                   5.971842186                  -1.135778472
             820.000                   -0.748721405                   0.425872588                   5.973193282                  -1.174593994
             840.000                   -0.777494584                   0.436168289                   5.974449541                  -1.213662873
             860.000                   -0.806512946                   0.446466080                   5.975619625                  -1.252979026
             880.000                   -0.835770836                   0.456765818                   5.976711229                  -1.292536654
             900.000                   -0.865262852                   0.467067376                   5.977731210                  -1.332330228
             920.000                   -0.894983829                   0.477370634                   5.978685694                  -1.372354463
             940.000                   -0.924928826                   0.487675484                   5.979580163                  -1.412604309
             960.000                   -0.955093106                   0.497981828                   5.980419542                  -1.453074934
             980.000                   -0.985472133                   0.508289574                   5.981208258                  -1.493761707
            1000.000                   -1.016061550                   0.518598639                   5.981950305                  -1.534660188
            1020.000                   -1.046857174                   0.528908945                   5.982649290                  -1.575766119
            1040.000                   -1.077854985                   0.539220421                   5.983308479                  -1.617075407
            1060.000                   -1.109051117                   0.549533001                   5.983930834                  -1.658584119
            1080.000                   -1.140441848                   0.559846624                   5.984519046                  -1.700288472
            1100.000                   -1.172023592                   0.570161233                   5.985075567                  -1.742184824
            1120.000                   -1.203792892                   0.580476775                   5.985602631                  -1.784269668
            1140.000                   -1.235746417                   0.590793202                   5.986102280                  -1.826539619
            1160.000                   -1.267880948                   0.601110468                   5.986576381                  -1.868991416
            1180.000                   -1.300193379                   0.611428530                   5.987026645                  -1.911621909
            1200.000                   -1.332680707                   0.621747349                   5.987454643                  -1.954428055
            1220.000                   -1.365340029                   0.632066887                   5.987861818                  -1.997406916
            1240.000                   -1.398168537                   0.642387110                   5.988249499                  -2.040555647
            1260.000                   -1.431163513                   0.652707985                   5.988618910                  -2.083871498
            1280.000                   -1.464322325                   0.663029482                   5.988971181                  -2.127351806
            1300.000                   -1.497642420                   0.673351572                   5.989307354                  -2.170993992
            1320.000                   -1.531121328                   0.683674228                   5.989628397                  -2.214795556
            1340.000                   -1.564756650                   0.693997425                   5.989935201                  -2.258754075
            1360.000                   -1.598546059                   0.704321139                   5.990228598                  -2.302867198
            1380.000                   -1.632487296                   0.714645348                   5.990509357                  -2.347132645
            1400.000                   -1.666578169                   0.724970031                   5.990778192                  -2.391548199
            1420.000                   -1.700816545                   0.735295167                   5.991035769                  -2.436111711
            1440.000                   -1.735200353                   0.745620737                   5.991282709                  -2.480821090
            1460.000                   -1.769727579                   0.755946725                   5.991519588                  -2.525674304
            1480.000                   -1.804396265                   0.766273112                   5.991746945                  -2.570669377
            1500.000                   -1.839204503                   0.776599884                   5.991965284                  -2.615804387
            1520.000                   -1.874150438                   0.786927024                   5.992175075                  -2.661077462
            1540.000                   -1.909232263                   0.797254519                   5.992376759                  -2.706486782
            1560.000                   -1.944448217                   0.807582355                   5.992570747                  -2.752030572
            1580.000                   -1.979796585                   0.817910518                   5.992757427                  -2.797707103
            1600.000                   -2.015275695                   0.828238998                   5.992937161                  -2.843514693
            1620.000                   -2.050883916                   0.838567781                   5.993110288                  -2.889451697
            1640.000                   -2.086619658                   0.848896858                   5.993277129                  -2.935516515
            1660.000                   -2.122481369                   0.859226216                   5.993437985                  -2.981707585
            1680.000                   -2.158467534                   0.869555847                   5.993593137                  -3.028023382
            1700.000                   -2.194576676                   0.879885741                   5.993742853                  -3.074462417
            1720.000                   -2.230807351                   0.890215888                   5.993887384                  -3.121023239
            1740.000                   -2.267158148                   0.900546280                   5.994026965                  -3.167704428
            1760.000                   -2.303627688                   0.910876909                   5.994161821                  -3.214504597
            1780.000                   -2.340214626                   0.921207766                   5.994292163                  -3.261422392
            1800.000                   -2.376917645                   0.931538843                   5.994418188                  -3.308456489
            1820.000                   -2.413735457                   0.941870135                   5.994540087                  -3.355605592
            1840.000                   -2.450666803                   0.952201633                   5.994658037                  -3.402868436
            1860.000                   -2.487710452                   0.962533331                   5.994772207                  -3.450243783
            1880.000                   -2.524865197                   0.972865223                   5.994882756                  -3.497730420
            1900.000                   -2.562129859                   0.983197302                   5.994989836                  -3.545327161
            1920.000                   -2.599503283                   0.993529563                   5.995093591                  -3.593032846
            1940.000                   -2.636984337                   1.003862000                   5.995194157                  -3.640846337
            1960.000                   -2.674571914                   1.014194608                   5.995291663                  -3.688766521
            1980.000                   -2.712264928                   1.024527381                   5.995386232                  -3.736792309
            2000.000                   -2.750062317                   1.034860314                   5.995477981                  -3.784922631
