# Phonon free energy and specific heat from phonopy-FHI-aims
# Phonon zero point energy =            0.031610617 eV 
#     Temperature (K)          Free energy (eV/cell)     Internal energy (eV/cell)                 c_v (kB/cell)              -TS_vib(eV/cell)
               0.000                    0.031610617                   0.031610617                   0.000000000                  -0.000000000
              20.000                    0.031296003                   0.032359026                   1.255431084                  -0.001063023
              40.000                    0.029026245                   0.036127330                   3.048339000                  -0.007101086
              60.000                    0.024183383                   0.042481206                   4.213181073                  -0.018297823
              80.000                    0.016928586                   0.050349078                   4.853810995                  -0.033420492
             100.000                    0.007579003                   0.059054623                   5.216292156                  -0.051475619
             120.000                   -0.003573393                   0.068247932                   5.434956480                  -0.071821326
             140.000                   -0.016290985                   0.077744048                   5.575125170                  -0.094035033
             160.000                   -0.030384326                   0.087439104                   5.669691864                  -0.117823430
             180.000                   -0.045701451                   0.097271148                   5.736235213                  -0.142972599
             200.000                   -0.062118827                   0.107201230                   5.784712521                  -0.169320057
             220.000                   -0.079534553                   0.117203751                   5.821062653                  -0.196738305
             240.000                   -0.097863392                   0.127261241                   5.848989066                  -0.225124633
             260.000                   -0.117033130                   0.137361392                   5.870891325                  -0.254394522
             280.000                   -0.136981886                   0.147495295                   5.888376316                  -0.284477181
             300.000                   -0.157656089                   0.157656349                   5.902551328                  -0.315312438
             320.000                   -0.179008946                   0.167839560                   5.914198679                  -0.346848506
             340.000                   -0.200999247                   0.178041084                   5.923883349                  -0.379040331
             360.000                   -0.223590439                   0.188257916                   5.932021367                  -0.411848355
             380.000                   -0.246749887                   0.198487670                   5.938924420                  -0.445237557
             400.000                   -0.270448284                   0.208728432                   5.944829666                  -0.479176716
             420.000                   -0.294659172                   0.218978646                   5.949920088                  -0.513637818
             440.000                   -0.319358546                   0.229237036                   5.954338659                  -0.548595582
             460.000                   -0.344524533                   0.239502546                   5.958198380                  -0.584027079
             480.000                   -0.370137125                   0.249774292                   5.961589497                  -0.619911417
             500.000                   -0.396177945                   0.260051532                   5.964584781                  -0.656229477
             520.000                   -0.422630063                   0.270333636                   5.967243429                  -0.692963699
             540.000                   -0.449477827                   0.280620068                   5.969613986                  -0.730097896
             560.000                   -0.476706730                   0.290910367                   5.971736565                  -0.767617097
             580.000                   -0.504303284                   0.301204135                   5.973644541                  -0.805507419
             600.000                   -0.532254920                   0.311501026                   5.975365865                  -0.843755946
             620.000                   -0.560549896                   0.321800741                   5.976924085                  -0.882350637
             640.000                   -0.589177221                   0.332103015                   5.978339155                  -0.921280235
             660.000                   -0.618126580                   0.342407617                   5.979628069                  -0.960534197
             680.000                   -0.647388281                   0.352714342                   5.980805375                  -1.000102622
             700.000                   -0.676953192                   0.363023009                   5.981883587                  -1.039976201
             720.000                   -0.706812703                   0.373333457                   5.982873511                  -1.080146160
             740.000                   -0.736958675                   0.383645542                   5.983784522                  -1.120604216
             760.000                   -0.767383406                   0.393959134                   5.984624786                  -1.161342540
             780.000                   -0.798079597                   0.404274119                   5.985401435                  -1.202353717
             800.000                   -0.829040321                   0.414590393                   5.986120730                  -1.243630714
             820.000                   -0.860258993                   0.424907861                   5.986788178                  -1.285166853
             840.000                   -0.891729349                   0.435226437                   5.987408642                  -1.326955787
             860.000                   -0.923445422                   0.445546046                   5.987986428                  -1.368991468
             880.000                   -0.955401518                   0.455866617                   5.988525359                  -1.411268135
             900.000                   -0.987592203                   0.466188085                   5.989028842                  -1.453780288
             920.000                   -1.020012282                   0.476510393                   5.989499917                  -1.496522675
             940.000                   -1.052656785                   0.486833487                   5.989941305                  -1.539490272
             960.000                   -1.085520953                   0.497157318                   5.990355448                  -1.582678271
             980.000                   -1.118600224                   0.507481840                   5.990744543                  -1.626082065
            1000.000                   -1.151890221                   0.517807013                   5.991110567                  -1.669697234
            1020.000                   -1.185386741                   0.528132799                   5.991455310                  -1.713519539
            1040.000                   -1.219085746                   0.538459161                   5.991780388                  -1.757544907
            1060.000                   -1.252983352                   0.548786067                   5.992087269                  -1.801769420
            1080.000                   -1.287075822                   0.559113488                   5.992377286                  -1.846189311
            1100.000                   -1.321359556                   0.569441395                   5.992651651                  -1.890800952
            1120.000                   -1.355831085                   0.579769762                   5.992911471                  -1.935600848
            1140.000                   -1.390487063                   0.590098566                   5.993157755                  -1.980585628
            1160.000                   -1.425324260                   0.600427782                   5.993391428                  -2.025752043
            1180.000                   -1.460339560                   0.610757391                   5.993613335                  -2.071096951
            1200.000                   -1.495529949                   0.621087373                   5.993824253                  -2.116617323
            1220.000                   -1.530892516                   0.631417710                   5.994024895                  -2.162310226
            1240.000                   -1.566424443                   0.641748384                   5.994215920                  -2.208172827
            1260.000                   -1.602123004                   0.652079379                   5.994397930                  -2.254202383
            1280.000                   -1.637985557                   0.662410681                   5.994571485                  -2.300396238
            1300.000                   -1.674009547                   0.672742275                   5.994737100                  -2.346751821
            1320.000                   -1.710192492                   0.683074148                   5.994895251                  -2.393266639
            1340.000                   -1.746531989                   0.693406287                   5.995046382                  -2.439938276
            1360.000                   -1.783025704                   0.703738681                   5.995190900                  -2.486764385
            1380.000                   -1.819671374                   0.714071318                   5.995329187                  -2.533742692
            1400.000                   -1.856466799                   0.724404189                   5.995461595                  -2.580870988
            1420.000                   -1.893409843                   0.734737283                   5.995588452                  -2.628147127
            1440.000                   -1.930498430                   0.745070592                   5.995710066                  -2.675569022
            1460.000                   -1.967730541                   0.755404105                   5.995826720                  -2.723134647
            1480.000                   -2.005104213                   0.765737816                   5.995938680                  -2.770842029
            1500.000                   -2.042617536                   0.776071715                   5.996046196                  -2.818689251
            1520.000                   -2.080268648                   0.786405797                   5.996149499                  -2.866674445
            1540.000                   -2.118055741                   0.796740052                   5.996248806                  -2.914795794
            1560.000                   -2.155977050                   0.807074476                   5.996344321                  -2.963051526
            1580.000                   -2.194030856                   0.817409061                   5.996436235                  -3.011439917
            1600.000                   -2.232215484                   0.827743802                   5.996524726                  -3.059959286
            1620.000                   -2.270529300                   0.838078692                   5.996609962                  -3.108607992
            1640.000                   -2.308970712                   0.848413727                   5.996692101                  -3.157384439
            1660.000                   -2.347538165                   0.858748900                   5.996771290                  -3.206287065
            1680.000                   -2.386230142                   0.869084208                   5.996847670                  -3.255314350
            1700.000                   -2.425045162                   0.879419645                   5.996921372                  -3.304464806
            1720.000                   -2.463981779                   0.889755206                   5.996992520                  -3.353736985
            1740.000                   -2.503038580                   0.900090888                   5.997061229                  -3.403129468
            1760.000                   -2.542214185                   0.910426687                   5.997127611                  -3.452640872
