# Phonon free energy and specific heat from phonopy-FHI-aims
# Phonon zero point energy =            0.597126002 eV 
#     Temperature (K)          Free energy (eV/cell)     Internal energy (eV/cell)                 c_v (kB/cell)              -TS_vib(eV/cell)
               0.000                    0.597126002                   0.597126002                   0.000000000                  -0.000000000
               1.000                    0.597126001                   0.597126007                   0.000206462                  -0.000000005
               1.999                    0.597125981                   0.597126060                   0.001184060                  -0.000000078
               2.999                    0.597125909                   0.597126249                   0.003504698                  -0.000000339
               3.998                    0.597125735                   0.597126727                   0.008032507                  -0.000000992
               4.998                    0.597125385                   0.597127723                   0.015738608                  -0.000002338
               5.997                    0.597124762                   0.597129569                   0.028047836                  -0.000004807
               6.997                    0.597123732                   0.597132752                   0.047282287                  -0.000009021
               7.996                    0.597122114                   0.597138015                   0.077036649                  -0.000015901
               8.996                    0.597119660                   0.597146463                   0.122130680                  -0.000026803
               9.995                    0.597116027                   0.597159651                   0.188038725                  -0.000043624
              10.995                    0.597110765                   0.597179605                   0.280045448                  -0.000068840
              11.994                    0.597103299                   0.597208766                   0.402465408                  -0.000105467
              12.994                    0.597092935                   0.597249890                   0.558140388                  -0.000156955
              13.993                    0.597078866                   0.597305903                   0.748264175                  -0.000227037
              14.993                    0.597060186                   0.597379766                   0.972475683                  -0.000319580
              15.992                    0.597035918                   0.597474354                   1.229120510                  -0.000438435
              16.992                    0.597005032                   0.597592352                   1.515585759                  -0.000587320
              17.991                    0.596966466                   0.597736193                   1.828637686                  -0.000769728
              18.991                    0.596919150                   0.597908016                   2.164719773                  -0.000988865
              19.990                    0.596862023                   0.598109646                   2.520191820                  -0.001247622
              20.990                    0.596794046                   0.598342600                   2.891506528                  -0.001548554
              21.989                    0.596714214                   0.598608097                   3.275329170                  -0.001893884
              22.989                    0.596621562                   0.598907082                   3.668610231                  -0.002285520
              23.988                    0.596515176                   0.599240247                   4.068621877                  -0.002725071
              24.988                    0.596394194                   0.599608069                   4.472968331                  -0.003213875
              25.987                    0.596257806                   0.600010829                   4.879578605                  -0.003753023
              26.987                    0.596105257                   0.600448643                   5.286688196                  -0.004343385
              27.986                    0.595935849                   0.600921488                   5.692814608                  -0.004985639
              28.986                    0.595748933                   0.601429227                   6.096730126                  -0.005680293
              29.985                    0.595543914                   0.601971623                   6.497434082                  -0.006427708
              30.985                    0.595320245                   0.602548363                   6.894126033                  -0.007228118
              31.984                    0.595077425                   0.603159076                   7.286180639                  -0.008081651
              32.984                    0.594814997                   0.603803339                   7.673124612                  -0.008988342
              33.983                    0.594532545                   0.604480696                   8.054615873                  -0.009948152
              34.983                    0.594229691                   0.605190669                   8.430424857                  -0.010960977
              35.982                    0.593906095                   0.605932760                   8.800417851                  -0.012026665
              36.982                    0.593561446                   0.606706466                   9.164542188                  -0.013145020
              37.981                    0.593195465                   0.607511281                   9.522813119                  -0.014315816
              38.981                    0.592807902                   0.608346706                   9.875302199                  -0.015538803
              39.980                    0.592398532                   0.609212245                  10.222127016                  -0.016813712
              40.980                    0.591967153                   0.610107417                  10.563442133                  -0.018140264
              41.979                    0.591513585                   0.611031757                  10.899431102                  -0.019518172
              42.979                    0.591037666                   0.611984813                  11.230299471                  -0.020947147
              43.978                    0.590539254                   0.612966155                  11.556268650                  -0.022426901
              44.978                    0.590018221                   0.613975369                  11.877570588                  -0.023957148
              45.977                    0.589474456                   0.615012065                  12.194443165                  -0.025537609
              46.977                    0.588907860                   0.616075872                  12.507126241                  -0.027168012
              47.976                    0.588318344                   0.617166438                  12.815858297                  -0.028848094
              48.976                    0.587705832                   0.618283433                  13.120873611                  -0.030577601
              49.975                    0.587070257                   0.619426547                  13.422399926                  -0.032356290
              50.975                    0.586411562                   0.620595490                  13.720656543                  -0.034183928
              51.974                    0.585729696                   0.621789989                  14.015852816                  -0.036060293
              52.974                    0.585024614                   0.623009788                  14.308186983                  -0.037985173
              53.973                    0.584296282                   0.624254649                  14.597845315                  -0.039958368
              54.973                    0.583544665                   0.625524350                  14.885001527                  -0.041979685
              55.972                    0.582769740                   0.626818682                  15.169816428                  -0.044048942
              56.972                    0.581971482                   0.628137449                  15.452437774                  -0.046165967
              57.971                    0.581149876                   0.629480469                  15.733000296                  -0.048330594
              58.971                    0.580304906                   0.630847570                  16.011625874                  -0.050542664
              59.970                    0.579436562                   0.632238590                  16.288423832                  -0.052802028
              60.970                    0.578544836                   0.633653375                  16.563491336                  -0.055108539
              61.969                    0.577629723                   0.635091780                  16.836913870                  -0.057462057
