# Phonon free energy and specific heat from phonopy-FHI-aims
# Phonon zero point energy =            0.297179127 eV 
#     Temperature (K)          Free energy (eV/cell)     Internal energy (eV/cell)                 c_v (kB/cell)              -TS_vib(eV/cell)
               0.000                    0.297179127                   0.297179127                   0.000000000                  -0.000000000
               1.000                    0.297179127                   0.297179127                   0.000029930                  -0.000000000
               1.999                    0.297179122                   0.297179144                   0.000462586                  -0.000000022
               2.999                    0.297179098                   0.297179223                   0.001479617                  -0.000000125
               3.998                    0.297179030                   0.297179424                   0.003370724                  -0.000000394
               4.998                    0.297178889                   0.297179841                   0.006575854                  -0.000000952
               5.997                    0.297178634                   0.297180614                   0.011774270                  -0.000001980
               6.997                    0.297178207                   0.297181960                   0.020156581                  -0.000003753
               7.996                    0.297177530                   0.297184232                   0.033643273                  -0.000006702
               8.996                    0.297176486                   0.297187976                   0.054834490                  -0.000011491
               9.995                    0.297174912                   0.297193983                   0.086667381                  -0.000019071
              10.995                    0.297172587                   0.297203292                   0.131943627                  -0.000030705
              11.994                    0.297169223                   0.297217163                   0.192913965                  -0.000047940
              12.994                    0.297164470                   0.297237017                   0.271025218                  -0.000072547
              13.993                    0.297157916                   0.297264359                   0.366845400                  -0.000106443
              14.993                    0.297149103                   0.297300712                   0.480128254                  -0.000151609
              15.992                    0.297137530                   0.297347542                   0.609961357                  -0.000210012
              16.992                    0.297122673                   0.297406219                   0.754947352                  -0.000283547
              17.991                    0.297103990                   0.297477976                   0.913382368                  -0.000373986
              18.991                    0.297080937                   0.297563892                   1.083410818                  -0.000482955
              19.990                    0.297052974                   0.297664884                   1.263147726                  -0.000611910
              20.990                    0.297019573                   0.297781709                   1.450767710                  -0.000762136
              21.989                    0.296980223                   0.297914971                   1.644564189                  -0.000934748
              22.989                    0.296934437                   0.298065135                   1.842984363                  -0.001130698
              23.988                    0.296881752                   0.298232538                   2.044645778                  -0.001350786
              24.988                    0.296821731                   0.298417405                   2.248339812                  -0.001595674
              25.987                    0.296753967                   0.298619867                   2.453026440                  -0.001865900
              26.987                    0.296678078                   0.298839968                   2.657823667                  -0.002161890
              27.986                    0.296593714                   0.299077687                   2.861994093                  -0.002483973
              28.986                    0.296500547                   0.299332942                   3.064930307                  -0.002832394
