# T/K,mu (10.0 Pa) / J mol-1,mu (26.8269579528 Pa) / J mol-1,mu (71.9685673001 Pa) / J mol-1,mu (193.069772888 Pa) / J mol-1,mu (517.947467923 Pa) / J mol-1,mu (1389.49549437 Pa) / J mol-1,mu (3727.59372031 Pa) / J mol-1,mu (10000.0 Pa) / J mol-1,mu (26826.9579528 Pa) / J mol-1,mu (71968.5673001 Pa) / J mol-1,mu (193069.772888 Pa) / J mol-1,mu (517947.467923 Pa) / J mol-1,mu (1389495.49437 Pa) / J mol-1,mu (3727593.72031 Pa) / J mol-1,mu (10000000.0 Pa) / J mol-1
200,-386.5214,-181.3989,23.7235,228.8459,433.9684,639.0908,844.2132,1049.3356,1254.4580,1459.5804,1664.7028,1869.8252,2074.9476,2280.0700,2485.1924
210,-947.7005,-732.3219,-516.9433,-301.5646,-86.1861,129.1925,344.5711,559.9497,775.3282,990.7068,1206.0853,1421.4639,1636.8424,1852.2210,2067.5995
220,-1517.0550,-1291.4201,-1065.7852,-840.1504,-614.5156,-388.8807,-163.2460,62.3888,288.0236,513.6583,739.2930,964.9277,1190.5624,1416.1971,1641.8318
230,-2094.3762,-1858.4848,-1622.5935,-1386.7022,-1150.8110,-914.9199,-679.0288,-443.1377,-207.2467,28.6443,264.5352,500.4262,736.3171,972.2080,1208.0989
240,-2679.4619,-2433.3137,-2187.1656,-1941.0177,-1694.8699,-1448.7222,-1202.5746,-956.4271,-710.2797,-464.1323,-217.9850,28.1623,274.3095,520.4567,766.6038
250,-3272.1172,-3015.7115,-2759.3062,-2502.9012,-2246.4963,-1990.0917,-1733.6873,-1477.2831,-1220.8790,-964.4750,-708.0711,-451.6674,-195.2637,61.1399,317.5434
260,-3872.1547,-3605.4907,-3338.8272,-3072.1642,-2805.5017,-2538.8396,-2272.1778,-2005.5163,-1738.8551,-1472.1942,-1205.5334,-938.8729,-672.2125,-405.5523,-138.8922
270,-4479.3952,-4202.4711,-3925.5481,-3648.6260,-3371.7047,-3094.7840,-2817.8640,-2540.9446,-2264.0257,-1987.1071,-1710.1890,-1433.2712,-1156.3537,-879.4365,-602.5195
280,-5093.6679,-4806.4814,-4519.2967,-4232.1135,-3944.9317,-3657.7511,-3370.5715,-3083.3930,-2796.2152,-2509.0382,-2221.8619,-1934.6861,-1647.5109,-1360.3361,-1073.1617
290,-5714.8110,-5417.3585,-5119.9089,-4822.4619,-4525.0171,-4227.5743,-3930.1333,-3632.6939,-3335.2559,-3037.8191,-2740.3833,-2442.9486,-2145.5146,-1848.0815,-1550.6490
300,-6342.6725,-6034.9488,-5727.2298,-5419.5148,-5111.8035,-4804.0955,-4496.3902,-4188.6875,-3880.9870,-3573.2884,-3265.5916,-2957.8963,-2650.2024,-2342.5097,-2034.8180
310,-6977.1103,-6659.1082,-6341.1134,-6023.1250,-5705.1422,-5387.1644,-5069.1910,-4751.2215,-4433.2555,-4115.2926,-3797.3323,-3479.3744,-3161.4186,-2843.4647,-2525.5125
320,-7617.9930,-7289.7028,-6961.4235,-6633.1539,-6304.8929,-5976.6395,-5648.3927,-5320.1518,-4991.9162,-4663.6851,-4335.4582,-4007.2349,-3679.0147,-3350.7974,-3022.5826
330,-8265.2003,-7926.6089,-7588.0338,-7249.4729,-6910.9247,-6572.3876,-6233.8605,-5895.3420,-5556.8312,-5218.3273,-4879.8294,-4541.3368,-4202.8490,-3864.3653,-3525.8853
340,-8918.6235,-8569.7141,-8220.8281,-7871.9628,-7523.1157,-7174.2847,-6825.4680,-6476.6639,-6127.8709,-5779.0877,-5430.3133,-5081.5466,-4732.7866,-4384.0327,-4035.2841
350,-9578.1663,-9218.9171,-8859.7011,-8500.5144,-8141.3535,-7782.2154,-7423.0975,-7063.9974,-6704.9130,-6345.8426,-5986.7845,-5627.7373,-5268.6997,-4909.6706,-4550.6491
360,-10243.7446,-9874.1281,-9504.5580,-9135.0286,-8765.5352,-8396.0734,-8026.6396,-7657.2306,-7287.8435,-6918.4756,-6549.1249,-6179.7893,-5810.4671,-5441.1566,-5071.8566
370,-10915.2876,-10535.2694,-10155.3151,-9775.4167,-9395.5675,-9015.7615,-8635.9938,-8256.2598,-7876.5557,-7496.8780,-7117.2235,-6737.5897,-6357.9741,-5978.3747,-5598.7895
380,-11592.7383,-11202.2755,-10811.9000,-10421.6003,-10031.3669,-9641.1917,-9251.0679,-8860.9894,-8470.9511,-8080.9481,-7690.9765,-7301.0325,-6911.1130,-6521.2152,-6131.3365
390,-12276.0548,-11875.0939,-11474.2518,-11073.5113,-10672.8593,-10272.2848,-9871.7783,-9471.3319,-9070.9385,-8670.5919,-8270.2868,-7870.0183,-7469.7822,-7069.5748,-6669.3927
400,-12965.2117,-12553.6856,-12142.3211,-11731.0924,-11319.9807,-10908.9706,-10498.0498,-10087.2074,-9676.4343,-9265.7223,-8855.0644,-8444.4543,-8033.8865,-7623.3560,-7212.8586
410,-13660.2040,-13238.0268,-12816.0711,-12394.2969,-11972.6762,-11551.1880,-11129.8154,-10708.5442,-10287.3623,-9866.2592,-9445.2258,-9024.2540,-8603.3366,-8182.4674,-7761.6408
420,-14361.0513,-13928.1111,-13495.4784,-13063.0889,-12630.9009,-12198.8844,-11767.0162,-11335.2778,-10903.6533,-10472.1293,-10040.6940,-9609.3371,-9178.0495,-8746.8233,-8315.6513
430,-15067.8067,-14623.9531,-14180.5342,-13737.4447,-13294.6197,-12852.0158,-12409.6013,-11967.3512,-11525.2451,-11083.2657,-10641.3981,-10199.6292,-9757.9476,-9316.3432,-8874.8071
440,-15780.5694,-15325.5945,-14871.2477,-14417.3528,-13963.8074,-13510.5471,-13057.5272,-12604.7144,-12152.0820,-11699.6079,-11247.2733,-10795.0617,-10342.9589,-9890.9523,-9439.0308
450,-16499.5044,-16033.1136,-15567.6497,-15102.8164,-14638.4497,-14174.4517,-13710.7584,-13247.3244,-12784.1148,-12321.1013,-11858.2603,-11395.5712,-10933.0165,-10470.5804,-10008.2493
460,-17224.8715,-16746.6381,-16269.7990,-15793.8562,-15318.5442,-14843.7120,-14369.2665,-13895.1446,-13421.3002,-12947.6971,-12474.3053,-12001.0997,-11528.0584,-11055.1623,-10582.3946
470,-17957.0678,-17466.3657,-16977.7916,-16490.5140,-16004.1021,-15518.3205,-15033.0309,-14548.1450,-14063.6008,-13579.3515,-13095.3597,-12611.5940,-12128.0276,-11644.6373,-11161.4026
480,-18696.6886,-18192.5917,-17691.7739,-17192.8592,-16695.1507,-16198.2797,-15702.0389,-15206.3020,-14710.9847,-14216.0263,-13721.3794,-13227.0052,-12732.8710,-12238.9488,-11745.2138
490,-19444.6144,-18925.7489,-18411.9610,-17900.9970,-17391.7374,-16883.6051,-16376.2862,-15869.5983,-15363.4256,-14857.6878,-14352.3249,-13847.2889,-13342.5401,-12838.0443,-12333.7722
500,-20202.1352,-19666.4625,-19138.6615,-18615.0801,-18093.9351,-17574.3261,-17055.7777,-16538.0235,-16020.9021,-15504.3070,-14988.1610,-14472.4047,-13956.9897,-13441.8750,-12927.0255
510,-20971.1303,-20415.6256,-19872.3122,-19335.3244,-18801.8490,-18270.4903,-17740.5287,-17211.5738,-16683.3985,-16155.8590,-15628.8562,-15102.3157,-14576.1784,-14050.3953,-13524.9246
520,-21754.3352,-21174.5061,-20613.5234,-20062.0300,-19515.6266,-18972.1672,-18430.5674,-17890.2536,-17350.9041,-16812.3236,-16274.3828,-15736.9882,-15200.0679,-14663.5629,-14127.4238
530,-22555.7489,-21944.8955,-21363.1414,-20795.6081,-20235.4697,-19679.4543,-19125.9364,-18574.0757,-18023.4142,-17473.6845,-16924.7164,-16376.3921,-15828.6229,-15281.3383,-14734.4797
540,-23381.2782,-22729.3265,-22122.3322,-21536.6175,-20961.6513,-20392.4841,-19826.6970,-19263.0630,-18700.9301,-18139.9296,-17579.8363,-17020.4997,-16461.8107,-15903.6846,-15346.0520
550,-24239.7837,-23531.3939,-22892.6974,-22285.8115,-21694.5358,-21111.4338,-20532.9329,-19957.2505,-19383.4598,-18811.0514,-18239.7245,-17669.2862,-17099.6012,-16530.5672,-15962.1023
560,-25144.7738,-24356.2474,-23676.4375,-23044.2004,-22434.6052,-21836.5372,-21244.7556,-20656.6877,-20071.0196,-19487.0469,-18904.3667,-18322.7294,-17741.9662,-17161.9535,-16582.5944
