# T/K,mu (0.01 Pa) / J mol-1,mu (0.0237137370566 Pa) / J mol-1,mu (0.056234132519 Pa) / J mol-1,mu (0.133352143216 Pa) / J mol-1,mu (0.316227766017 Pa) / J mol-1,mu (0.749894209332 Pa) / J mol-1,mu (1.77827941004 Pa) / J mol-1,mu (4.21696503429 Pa) / J mol-1,mu (10.0 Pa) / J mol-1,mu (23.7137370566 Pa) / J mol-1,mu (56.234132519 Pa) / J mol-1,mu (133.352143216 Pa) / J mol-1,mu (316.227766017 Pa) / J mol-1,mu (749.894209332 Pa) / J mol-1,mu (1778.27941004 Pa) / J mol-1,mu (4216.96503429 Pa) / J mol-1,mu (10000.0 Pa) / J mol-1,mu (23713.7370566 Pa) / J mol-1,mu (56234.132519 Pa) / J mol-1,mu (133352.143216 Pa) / J mol-1,mu (316227.766017 Pa) / J mol-1,mu (749894.209332 Pa) / J mol-1,mu (1778279.41004 Pa) / J mol-1,mu (4216965.03429 Pa) / J mol-1,mu (10000000.0 Pa) / J mol-1
200,-56321.3308,-56141.8486,-55962.3664,-55782.8842,-55603.4021,-55423.9199,-55244.4377,-55064.9556,-54885.4735,-54705.9913,-54526.5092,-54347.0271,-54167.5450,-53988.0628,-53808.5807,-53629.0986,-53449.6165,-53270.1344,-53090.6523,-52911.1702,-52731.6881,-52552.2060,-52372.7239,-52193.2418,-52013.7597
210,-56954.3036,-56765.8472,-56577.3907,-56388.9343,-56200.4780,-56012.0216,-55823.5652,-55635.1089,-55446.6526,-55258.1963,-55069.7400,-54881.2837,-54692.8275,-54504.3712,-54315.9149,-54127.4587,-53939.0024,-53750.5462,-53562.0899,-53373.6337,-53185.1775,-52996.7213,-52808.2650,-52619.8088,-52431.3526
220,-57595.4530,-57398.0221,-57200.5912,-57003.1604,-56805.7297,-56608.2990,-56410.8684,-56213.4377,-56016.0071,-55818.5766,-55621.1461,-55423.7156,-55226.2851,-55028.8546,-54831.4241,-54633.9937,-54436.5633,-54239.1329,-54041.7025,-53844.2721,-53646.8417,-53449.4113,-53251.9810,-53054.5506,-52857.1203
230,-58244.5712,-58038.1654,-57831.7598,-57625.3543,-57418.9489,-57212.5436,-57006.1385,-56799.7333,-56593.3283,-56386.9233,-56180.5184,-55974.1135,-55767.7087,-55561.3040,-55354.8992,-55148.4945,-54942.0898,-54735.6852,-54529.2806,-54322.8760,-54116.4714,-53910.0668,-53703.6623,-53497.2578,-53290.8532
240,-58901.4579,-58686.0766,-58470.6956,-58255.3148,-58039.9343,-57824.5539,-57609.1738,-57393.7938,-57178.4140,-56963.0343,-56747.6547,-56532.2752,-56316.8959,-56101.5166,-55886.1374,-55670.7583,-55455.3792,-55240.0002,-55024.6212,-54809.2423,-54593.8634,-54378.4846,-54163.1058,-53947.7270,-53732.3483
250,-59565.9214,-59341.5633,-59117.2057,-58892.8486,-58668.4920,-58444.1358,-58219.7800,-57995.4245,-57771.0693,-57546.7143,-57322.3596,-57098.0051,-56873.6508,-56649.2967,-56424.9427,-56200.5889,-55976.2352,-55751.8816,-55527.5281,-55303.1747,-55078.8213,-54854.4681,-54630.1149,-54405.7618,-54181.4087
260,-60237.7789,-60004.4419,-59771.1059,-59537.7709,-59304.4367,-59071.1032,-58837.7705,-58604.4384,-58371.1068,-58137.7757,-57904.4451,-57671.1149,-57437.7850,-57204.4554,-56971.1262,-56737.7972,-56504.4684,-56271.1399,-56037.8115,-55804.4833,-55571.1552,-55337.8273,-55104.4995,-54871.1719,-54637.8443
270,-60916.8582,-60674.5389,-60432.2215,-60189.9058,-59947.5917,-59705.2788,-59462.9673,-59220.6568,-58978.3473,-58736.0387,-58493.7309,-58251.4238,-58009.1173,-57766.8114,-57524.5061,-57282.2012,-57039.8967,-56797.5926,-56555.2888,-56312.9854,-56070.6822,-55828.3792,-55586.0765,-55343.7739,-55101.4716
280,-61602.9984,-61351.6918,-61100.3884,-60849.0880,-60597.7902,-60346.4947,-60095.2013,-59843.9098,-59592.6200,-59341.3317,-59090.0448,-58838.7591,-58587.4745,-58336.1909,-58084.9082,-57833.6263,-57582.3451,-57331.0645,-57079.7845,-56828.5051,-56577.2261,-56325.9475,-56074.6693,-55823.3914,-55572.1138
290,-62296.0516,-62035.7501,-61775.4540,-61515.1628,-61254.8758,-60994.5928,-60734.3132,-60474.0368,-60213.7631,-59953.4920,-59693.2232,-59432.9563,-59172.6913,-58912.4279,-58652.1660,-58391.9054,-58131.6460,-57871.3876,-57611.1303,-57350.8737,-57090.6179,-56830.3629,-56570.1084,-56309.8545,-56049.6011
300,-62995.8842,-62726.5770,-62457.2785,-62187.9877,-61918.7038,-61649.4262,-61380.1542,-61110.8872,-60841.6246,-60572.3661,-60303.1112,-60033.8596,-59764.6109,-59495.3647,-59226.1210,-58956.8793,-58687.6396,-58418.4015,-58149.1650,-57879.9298,-57610.6959,-57341.4631,-57072.2312,-56803.0003,-56533.7701
